# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.286
metadata : {}


# id : NWRW1800000048.286.1.1
파주농민들 ‘임진강생명평화축제’ 연다

파주농민들	파주/NNP+농민/NNG+들/XSN
‘임진강생명평화축제’	‘/SS+임진강/NNP+생명/NNG+평화/NNG+축제/NNG+’/SS
연다	열/VV+ㄴ다/EF


# id : NWRW1800000048.286.2.1
정부 대규모 준설·보 설치 추진에

정부	정부/NNG
대규모	대/XPN+규모/NNG
준설·보	준설/NNG+·/SP+보/NNG
설치	설치/NNG
추진에	추진/NNG+에/JKB


# id : NWRW1800000048.286.3.1
평화누리공원서 29일 공연 등 ‘맞불’

평화누리공원서	평화누리공원/NNP+서/JKB
29일	29/SN+일/NNB
공연	공연/NNG
등	등/NNB
‘맞불’	‘/SS+맞불/NNG+’/SS


# id : NWRW1800000048.286.4.1
전인권·정태춘·이승환 등 ‘재능기부’

전인권·정태춘·이승환	전인권/NNP+·/SP+정태춘/NNP+·/SP+이승환/NNP
등	등/NNB
‘재능기부’	‘/SS+재능/NNG+기부/NNG+’/SS


# id : NWRW1800000048.286.5.1
임진강 하구를 삶터로 살아가는 경기도 파주지역 농민과 주민들이 훼손 위기에 놓인 임진강과 주변 농토를 지키기 위해 오는 29일 임진각 평화누리공원에서 임진강생명평화축제 ‘물 좀 주소’를 연다.

임진강	임진강/NNP
하구를	하구/NNG+를/JKO
삶터로	삶터/NNG+로/JKB
살아가는	살아가/VV+는/ETM
경기도	경기도/NNP
파주지역	파주/NNP+지역/NNG
농민과	농민/NNG+과/JC
주민들이	주민/NNG+들/XSN+이/JKS
훼손	훼손/NNG
위기에	위기/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
임진강과	임진강/NNP+과/JC
주변	주변/NNG
농토를	농토/NNG+를/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
오는	오/VV+는/ETM
29일	29/SN+일/NNB
임진각	임진각/NNP
평화누리공원에서	평화누리공원/NNP+에서/JKB
임진강생명평화축제	임진강/NNP+생명/NNG+평화/NNG+축제/NNG
‘물	‘/SS+물/NNG
좀	좀/MAG
주소’를	주/VV+소/EF+’/SS+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.286.6.1
천호균 임진강생명평화축제 공동조직위원장은 3일 “임진강이 파헤쳐질 위기에 처했는데, 파주 사람들만으로는 공사를 막기에 역부족이라고 생각해 널리 알리자는 취지로 축제를 준비했다.

천호균	천호균/NNP
임진강생명평화축제	임진강/NNP+생명/NNG+평화/NNG+축제/NNG
공동조직위원장은	공동/NNG+조직/NNG+위원장/NNG+은/JX
3일	3/SN+일/NNB
“임진강이	“/SS+임진강/NNP+이/JKS
파헤쳐질	파헤치/VV+어/EC+지/VX+ㄹ/ETM
위기에	위기/NNG+에/JKB
처했는데,	처하/VV+았/EP+는데/EC+,/SP
파주	파주/NNP
사람들만으로는	사람/NNG+들/XSN+만/JX+으로/JKB+는/JX
공사를	공사/NNG+를/JKO
막기에	막/VV+기/ETN+에/JKB
역부족이라고	역부족/NNG+이/VCP+라고/EC
생각해	생각/NNG+하/XSV+아/EC
널리	널리/MAG
알리자는	알리/VV+자는/ETM
취지로	취지/NNG+로/JKB
축제를	축제/NNG+를/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.286.6.2
가수들이 공연을 통해 자신의 생각을 알리고 팬들이 함께 공유하면 임진강의 훼손을 막는 데 큰 힘이 될 것”이라고 말했다.

가수들이	가수/NNG+들/XSN+이/JKS
공연을	공연/NNG+을/JKO
통해	통하/VV+아/EC
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
알리고	알리/VV+고/EC
팬들이	팬/NNG+들/XSN+이/JKS
함께	함께/MAG
공유하면	공유/NNG+하/XSV+면/EC
임진강의	임진강/NNP+의/JKG
훼손을	훼손/NNG+을/JKO
막는	막/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
힘이	힘/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.286.7.1
북녘에서 발원해 비무장지대와 남쪽 민간인통제구역을 흐르는 ‘분단의 강’ 임진강은 60년 동안 개발의 삽질을 피해 멸종위기 동식물과 농어민이 함께 사는 생명의 보고로 꼽혀왔다.

북녘에서	북녘/NNG+에서/JKB
발원해	발원/NNG+하/XSV+아/EC
비무장지대와	비/XPN+무장/NNG+지대/NNG+와/JC
남쪽	남쪽/NNG
민간인통제구역을	민간인/NNG+통제/NNG+구역/NNG+을/JKO
흐르는	흐르/VV+는/ETM
‘분단의	‘/SS+분단/NNG+의/JKG
강’	강/NNG+’/SS
임진강은	임진강/NNP+은/JX
60년	60/SN+년/NNB
동안	동안/NNG
개발의	개발/NNG+의/JKG
삽질을	삽/NNG+질/XSN+을/JKO
피해	피하/VV+아/EC
멸종위기	멸종/NNG+위기/NNG
동식물과	동식물/NNG+과/JC
농어민이	농어민/NNG+이/JKS
함께	함께/MAG
사는	살/VV+는/ETM
생명의	생명/NNG+의/JKG
보고로	보고/NNG+로/JKB
꼽혀왔다.	꼽히/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.286.7.2
국토교통부는 4대강 사업에 이어 대규모 준설과 보를 설치하는 ‘임진강 거곡·마정지구 하천정비사업’을 추진해 농민과 환경단체의 반발을 사고 있다.

국토교통부는	국토/NNG+교통부/NNG+는/JX
4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
이어	잇/VV+어/EC
대규모	대/XPN+규모/NNG
준설과	준설/NNG+과/JC
보를	보/NNG+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
‘임진강	‘/SS+임진강/NNP
거곡·마정지구	거곡/NNP+·/SP+마정/NNP+지구/NNG
하천정비사업’을	하천/NNG+정비/NNG+사업/NNG+’/SS+을/JKO
추진해	추진/NNG+하/XSV+아/EC
농민과	농민/NNG+과/JC
