# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.238
metadata : {}


# id : NWRW1800000036.238.1.1
박영준 ‘인허가 청탁’ 민정수석실도 개입

박영준	박영준/NNP
‘인허가	‘/SS+인허가/NNG
청탁’	청탁/NNG+’/SS
민정수석실도	민정/NNG+수석실/NNG+도/JX
개입	개입/NNG


# id : NWRW1800000036.238.2.1
[한겨레] ‘영포라인’ 김덕수 전 행정관, 울산시에 “허가받게 해달라” 청탁

[한겨레]	[/SS+한겨레/NNP+]/SS
‘영포라인’	‘/SS+영포/NNP+라인/NNG+’/SS
김덕수	김덕수/NNP
전	전/MMD
행정관,	행정관/NNG+,/SP
울산시에	울산시/NNP+에/JKB
“허가받게	“/SS+허가/NNG+받/XSV+게/EC
해달라”	하/VX+아/EC+달/VX+라/EF+”/SS
청탁	청탁/NNG


# id : NWRW1800000036.238.3.1
‘말발’ 안먹히자 박 전 차장 공직지원관실 통해 지자체 압박

‘말발’	‘/SS+말발/NNG+’/SS
안먹히자	안/MAG+먹히/VV+자/EC
박	박/NNP
전	전/MMD
차장	차장/NNG
공직지원관실	공직/NNG+지원관실/NNG
통해	통하/VV+아/EC
지자체	지자체/NNG
압박	압박/NNG


# id : NWRW1800000036.238.4.1
청와대 민정수석실 선임행정관이 박영준(52·구속기소) 전 국무총리실 국무차장의 부탁을 받고 특정 기업의 인허가 문제에 개입한 사실이 20일 확인됐다.

청와대	청와대/NNP
민정수석실	민정/NNG+수석실/NNG
선임행정관이	선임/NNG+행정관/NNG+이/JKS
박영준(52·구속기소)	박영준/NNP+(/SS+52/SN+·/SP+구속/NNG+기소/NNG+)/SS
전	전/MMD
국무총리실	국무총리실/NNG
국무차장의	국무/NNG+차장/NNG+의/JKG
부탁을	부탁/NNG+을/JKO
받고	받/VV+고/EC
특정	특정/NNG
기업의	기업/NNG+의/JKG
인허가	인허가/NNG
문제에	문제/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
20일	20/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.238.4.2
박 전 차장은 민정수석실의 개입에도 일이 뜻대로 되지 않자, 국무총리실 공직윤리지원관실(지원관실)을 움직여 관련 지방자치단체 등을 압박했다.

박	박/NNP
전	전/MMD
차장은	차장/NNG+은/JX
민정수석실의	민정/NNG+수석실/NNG+의/JKG
개입에도	개입/NNG+에/JKB+도/JX
일이	일/NNG+이/JKC
뜻대로	뜻대로/MAG
되지	되/VV+지/EC
않자,	않/VX+자/EC+,/SP
국무총리실	국무총리실/NNG
공직윤리지원관실(지원관실)을	공직/NNG+윤리/NNG+지원관실/NNG+(/SS+지원관실/NNG+)/SS+을/JKO
움직여	움직이/VV+어/EC
관련	관련/NNG
지방자치단체	지방/NNG+자치/NNG+단체/NNG
등을	등/NNB+을/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.238.5.1
박 전 차장은 2008년 7월 경남 창원의 건설업체인 ㅅ사 이아무개 대표에게서 청탁과 함께 1억원을 건네받았다.

박	박/NNP
전	전/MMD
차장은	차장/NNG+은/JX
2008년	2008/SN+년/NNB
7월	7/SN+월/NNB
경남	경남/NNP
창원의	창원/NNP+의/JKG
건설업체인	건설업체/NNG+이/VCP+ㄴ/ETM
ㅅ사	ㅅ/NNG+사/NNG
이아무개	이/NNP+아무개/NP
대표에게서	대표/NNG+에게서/JKB
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
1억원을	1/SN+억/NR+원/NNB+을/JKO
건네받았다.	건네받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.238.5.2
이 대표는 “울산시 울주군 산업단지 개발 사업의 인허가를 받고 싶은데, 경쟁사인 ㅌ사가 먼저 울산시에 투자의향서를 제출했다는 이유로 인허가를 받기 힘들 것 같다”며 “이 사업의 책임자인 최아무개 울산시 경제통상실장에게 외압을 넣어 산업단지 사업권을 받을 수 있게 해달라”고 부탁했다.

이	이/NNP
대표는	대표/NNG+는/JX
“울산시	“/SS+울산시/NNP
울주군	울주군/NNP
산업단지	산업/NNG+단지/NNG
개발	개발/NNG
사업의	사업/NNG+의/JKG
인허가를	인허가/NNG+를/JKO
받고	받/VV+고/EC
싶은데,	싶/VX+은데/EC+,/SP
경쟁사인	경쟁사/NNG+이/VCP+ㄴ/ETM
ㅌ사가	ㅌ사/NNG+가/JKS
먼저	먼저/MAG
울산시에	울산시/NNP+에/JKB
투자의향서를	투자/NNG+의향서/NNG+를/JKO
제출했다는	제출/NNG+하/XSV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
받기	받/VV+기/ETN
힘들	힘들/VA+ㄹ/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
책임자인	책임자/NNG+이/VCP+ㄴ/ETM
최아무개	최/NNP+아무개/NP
울산시	울산시/NNP
경제통상실장에게	경제/NNG+통상실장/NNG+에게/JKB
외압을	외압/NNG+을/JKO
넣어	넣/VV+어/EC
사업권을	사업/NNG+권/XSN+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
해달라”고	하/VX+아/EC+달/VX+라/EF+”/SS+고/JKQ
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.238.6.1
박 전 차장은 지원관실을 동원하기 전에, 김덕수(56) 청와대 민정수석실 선임행정관을 통해 “ㅅ사가 인허가를 받을 수 있도록 해달라”고 청탁했다.

박	박/NNP
전	전/MMD
차장은	차장/NNG+은/JX
