# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.69
metadata : {}


# id : NWRW1800000032.69.1.1
“사회와 소통 넓혀야 기업 위기 잘넘긴다”

“사회와	“/SS+사회/NNG+와/JKB
소통	소통/NNG
넓혀야	넓히/VV+어야/EC
기업	기업/NNG
위기	위기/NNG
잘넘긴다”	잘/MAG+넘기/VV+ㄴ다/EF+”/SS


# id : NWRW1800000032.69.2.1
삼성경제연 보고서…내년 ‘상시 위기’ 극복 5대전략 내놔

삼성경제연	삼성경제연/NNP
보고서…내년	보고서/NNG+…/SE+내년/NNG
‘상시	‘/SS+상시/NNG
위기’	위기/NNG+’/SS
극복	극복/NNG
5대전략	5/SN+대/NNG+전략/NNG
내놔	내놓/VV+아/EF


# id : NWRW1800000032.69.3.1
‘신뢰·감동 주는 소통’ 강조…공격·수비경영 균형 등 제시

‘신뢰·감동	‘/SS+신뢰/NNG+·/SP+감동/NNG
주는	주/VV+는/ETM
소통’	소통/NNG+’/SS
강조…공격·수비경영	강조/NNG+…/SE+공격/NNG+·/SP+수비/NNG+경영/NNG
균형	균형/NNG
등	등/NNB
제시	제시/NNG


# id : NWRW1800000032.69.4.1
#1 2011 뉴질랜드 럭비 월드컵 대회를 후원하는 아디다스는 일반인들에게 판매하는 뉴질랜드 유니폼 가격을 2배 이상 높게 책정해 소비자들의 반발을 샀다.

#1	#/SW+1/SN
2011	2011/SN
뉴질랜드	뉴질랜드/NNP
럭비	럭비/NNG
월드컵	월드컵/NNG
대회를	대회/NNG+를/JKO
후원하는	후원/NNG+하/XSV+는/ETM
아디다스는	아디다스/NNP+는/JX
일반인들에게	일반인/NNG+들/XSN+에게/JKB
판매하는	판매/NNG+하/XSV+는/ETM
유니폼	유니폼/NNG
가격을	가격/NNG+을/JKO
2배	2/SN+배/NNG
이상	이상/NNG
높게	높/VA+게/EC
책정해	책정/NNG+하/XSV+아/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
반발을	반발/NNG+을/JKO
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.69.4.2
소비자들이 미국에선 뉴질랜드 유니폼이 반값에 판매되는 사실을 알고 항의하며 미국 쪽 인터넷 쇼핑몰로 주문하자, 아디다스는 미국 인터넷 쇼핑몰의 배송 지역에서 뉴질랜드를 뺐다.

소비자들이	소비자/NNG+들/XSN+이/JKS
미국에선	미국/NNP+에서/JKB+ㄴ/JX
뉴질랜드	뉴질랜드/NNP
유니폼이	유니폼/NNG+이/JKS
반값에	반값/NNG+에/JKB
판매되는	판매/NNG+되/XSV+는/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
항의하며	항의/NNG+하/XSV+며/EC
미국	미국/NNP
쪽	쪽/NNB
인터넷	인터넷/NNG
쇼핑몰로	쇼핑몰/NNG+로/JKB
주문하자,	주문/NNG+하/XSV+자/EC+,/SP
아디다스는	아디다스/NNP+는/JX
쇼핑몰의	쇼핑몰/NNG+의/JKG
배송	배송/NNG
지역에서	지역/NNG+에서/JKB
뉴질랜드를	뉴질랜드/NNP+를/JKO
뺐다.	빼/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.4.3
이런 사실이 페이스북 같은 소셜 미디어를 통해 알려지자, 소비자들이 아디다스 제품 불매운동에 나섰다.

이런	이런/MMD
사실이	사실/NNG+이/JKS
페이스북	페이스북/NNP
같은	같/VA+은/ETM
소셜	소셜/NNG
미디어를	미디어/NNG+를/JKO
통해	통하/VV+아/EC
알려지자,	알려지/VV+자/EC+,/SP
소비자들이	소비자/NNG+들/XSN+이/JKS
아디다스	아디다스/NNP
제품	제품/NNG
불매운동에	불매/NNG+운동/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.5.1
#2 2010년 1월 아이티 대지진이 발생하고 며칠 뒤 미국 크루즈 여행업체인 로열 캐러비안은 아이티 근처 바다에 배를 정박시키고 호화 파티를 열었다.

#2	#/SW+2/SN
2010년	2010/SN+년/NNB
1월	1/SN+월/NNB
아이티	아이티/NNP
대지진이	대/XPN+지진/NNG+이/JKS
발생하고	발생/NNG+하/XSV+고/EC
며칠	며칠/NNG
뒤	뒤/NNG
미국	미국/NNP
크루즈	크루즈/NNG
여행업체인	여행업체/NNG+이/VCP+ㄴ/ETM
로열	로열/NNP
캐러비안은	캐러비안/NNP+은/JX
근처	근처/NNG
바다에	바다/NNG+에/JKB
배를	배/NNG+를/JKO
정박시키고	정박/NNG+시키/XSV+고/EC
호화	호화/NNG
파티를	파티/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.5.2
상품 프로그램에 있던 것이지만, 대지진 현장 근처에서 열었다는 점에서 비난이 쏟아졌다.

상품	상품/NNG
프로그램에	프로그램/NNG+에/JKB
있던	있/VA+던/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
대지진	대/XPN+지진/NNG
현장	현장/NNG
근처에서	근처/NNG+에서/JKB
열었다는	열/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
비난이	비난/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.5.3
아이티에선 로열 캐러비안의 크루즈 운항을 중단시켜야 한다는 여론까지 일었다.

아이티에선	아이티/NNP+에서/JKB+ㄴ/JX
로열	로열/NNP
캐러비안의	캐러비안/NNP+의/JKG
크루즈	크루즈/NNG
운항을	운항/NNG+을/JKO
중단시켜야	중단/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
여론까지	여론/NNG+까지/JX
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.5.4
하지만 사회단체들의 옹호로 로열 캐러비언은 크루즈 운항 중단 위기를 넘겼다.

하지만	하지만/MAJ
사회단체들의	사회단체/NNG+들/XSN+의/JKG
옹호로	옹호/NNG+로/JKB
로열	로열/NNP
캐러비언은	캐러비언/NNP+은/JX
크루즈	크루즈/NNG
운항	운항/NNG
중단	중단/NNG
위기를	위기/NNG+를/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.5.5
아이티에서 오랜 기간 사회공헌 활동을 해왔고, 대지진 참사 당일에도 크루즈선을 이용해 100만달러어치의 구호품을 전달한 게 사람들의 분노를 잠재웠다.

아이티에서	아이티/NNP+에서/JKB
오랜	오랜/MMA
기간	기간/NNG
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
해왔고,	하/VV+아/EC+오/VX+았/EP+고/EC+,/SP
대지진	대/XPN+지진/NNG
참사	참사/NNG
당일에도	당일/NNG+에/JKB+도/JX
크루즈선을	크루즈선/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
100만달러어치의	100/SN+만/NR+달러/NNB+어치/XSN+의/JKG
구호품을	구호품/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
사람들의	사람/NNG+들/XSN+의/JKG
분노를	분노/NNG+를/JKO
잠재웠다.	잠재우/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.6.1
삼성경제연구소가 16일 내놓은 ‘2012년 한국기업의 5대 경영 이슈’ 보고서를 통해 “위기를 잘 넘기려면 사회와의 소통을 확대해야 한다”며 소개한 사례이다.

삼성경제연구소가	삼성경제연구소/NNP+가/JKS
16일	16/SN+일/NNB
내놓은	내놓/VV+은/ETM
‘2012년	‘/SS+2012/SN+년/NNB
한국기업의	한국/NNP+기업/NNG+의/JKG
5대	5/SN+대/NNG
경영	경영/NNG
이슈’	이슈/NNG+’/SS
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
“위기를	“/SS+위기/NNG+를/JKO
잘	잘/MAG
넘기려면	넘기/VV+려면/EC
사회와의	사회/NNG+와/JKB+의/JKG
소통을	소통/NNG+을/JKO
확대해야	확대/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
소개한	소개/NNG+하/XSV+ㄴ/ETM
사례이다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.69.6.2
연구소는 보고서에서 “2012년 한국 기업들은 저성장 기조 심화와 불확실성 확대에 따른 ‘상시위기’ 상황에 직면할 것”으로 전망하며, 5가지 위기 극복 전략을 제시했다.

연구소는	연구소/NNG+는/JX
보고서에서	보고서/NNG+에서/JKB
“2012년	“/SS+2012/SN+년/NNB
한국	한국/NNP
기업들은	기업/NNG+들/XSN+은/JX
저성장	저/XPN+성장/NNG
기조	기조/NNG
심화와	심화/NNG+와/JC
불확실성	불확실/NNG+성/XSN
확대에	확대/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
‘상시위기’	‘/SS+상시/NNG+위기/NNG+’/SS
상황에	상황/NNG+에/JKB
직면할	직면/NNG+하/XSV+ㄹ/ETM
것”으로	것/NNB+”/SS+으로/JKB
전망하며,	전망/NNG+하/XSV+며/EC+,/SP
5가지	5/SN+가지/NNB
위기	위기/NNG
극복	극복/NNG
전략을	전략/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.69.7.1
보고서는 먼저 부상하는 ‘소셜 파워’와의 소통을 확대할 것을 권했다.

보고서는	보고서/NNG+는/JX
먼저	먼저/MAG
부상하는	부상/NNG+하/XSV+는/ETM
‘소셜	‘/SS+소셜/NNG
파워’와의	파워/NNG+’/SS+와/JKB+의/JKG
소통을	소통/NNG+을/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.69.7.2
정치·경제·사회 변화의 촉매제로 자리잡고 있는 소셜 파워와의 소통 여부에 따라 위기가 극복될 수도, 커질 수도 있다는 것이다.

정치·경제·사회	정치/NNG+·/SP+경제/NNG+·/SP+사회/NNG
변화의	변화/NNG+의/JKG
촉매제로	촉매제/NNG+로/JKB
자리잡고	자리/NNG+잡/VV+고/EC
있는	있/VX+는/ETM
소셜	소셜/NNG
파워와의	파워/NNG+와/JKB+의/JKG
소통	소통/NNG
여부에	여부/NNG+에/JKB
따라	따르/VV+아/EC
위기가	위기/NNG+가/JKS
극복될	극복/NNG+되/XSV+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
커질	커지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.69.7.3
실제로 예전엔 저절로 쉽게 사그라들던 여론이 소셜 미디어를 매개로 확산되면서 결집된 행동으로 표출돼 기업경영에 영향을 미치는 경우가 많다.

실제로	실제로/MAG
예전엔	예전/NNG+에/JKB+ㄴ/JX
저절로	저절로/MAG
쉽게	쉽/VA+게/EC
사그라들던	사그라들/VV+던/ETM
여론이	여론/NNG+이/JKS
소셜	소셜/NNG
미디어를	미디어/NNG+를/JKO
매개로	매개/NNG+로/JKB
확산되면서	확산/NNG+되/XSV+면서/EC
결집된	결집/NNG+되/XSV+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
표출돼	표출/NNG+되/XSV+어/EC
기업경영에	기업/NNG+경영/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.69.7.4
최근 미국에선 대형 은행의 횡포에 저항해 은행 계좌를 폐쇄하자는 보이콧 운동이 페이스북을 타고 확산되면서 3주만에 60여만명이 동참했다.

최근	최근/MAG
미국에선	미국/NNP+에서/JKB+ㄴ/JX
대형	대형/NNG
은행의	은행/NNG+의/JKG
횡포에	횡포/NNG+에/JKB
저항해	저항/NNG+하/XSV+아/EC
은행	은행/NNG
계좌를	계좌/NNG+를/JKO
폐쇄하자는	폐쇄/NNG+하/XSV+자는/ETM
보이콧	보이콧/NNG
운동이	운동/NNG+이/JKS
페이스북을	페이스북/NNP+을/JKO
타고	타/VV+고/EC
확산되면서	확산/NNG+되/XSV+면서/EC
3주만에	3/SN+주/NNB+만/NNB+에/JKB
60여만명이	60/SN+여/XSN+만/NR+명/NNB+이/JKS
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.69.7.5
보고서는 소통 방식과 관련해서도 “현대 소비자는 ‘영혼을 가진 능동적 참여자’로 진화하고 있다”며 “신뢰와 감동을 주는 소통이어야 한다”고 지적했다.

보고서는	보고서/NNG+는/JX
소통	소통/NNG
방식과	방식/NNG+과/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
“현대	“/SS+현대/NNG
소비자는	소비자/NNG+는/JX
‘영혼을	‘/SS+영혼/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
능동적	능동/NNG+적/XSN
참여자’로	참여자/NNG+’/SS+로/JKB
진화하고	진화/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“신뢰와	“/SS+신뢰/NNG+와/JC
감동을	감동/NNG+을/JKO
주는	주/VV+는/ETM
소통이어야	소통/NNG+이/VCP+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.69.8.1
보고서는 또 “경기 침체에 대한 불만의 표적이 정부에서 기업으로 확장되면서 반기업 정서가 전세계적으로 고조되고 있다”며, 사회와 공생하려고 노력할 것을 권했다.

보고서는	보고서/NNG+는/JX
또	또/MAG
“경기	“/SS+경기/NNG
침체에	침체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만의	불만/NNG+의/JKG
표적이	표적/NNG+이/JKS
정부에서	정부/NNG+에서/JKB
기업으로	기업/NNG+으로/JKB
확장되면서	확장/NNG+되/XSV+면서/EC
반기업	반/XPN+기업/NNG
정서가	정서/NNG+가/JKS
전세계적으로	전/MMN+세계/NNG+적/XSN+으로/JKB
고조되고	고조/NNG+되/XSV+고/EC
있다”며,	있/VX+다/EF+”/SS+며/EC+,/SP
사회와	사회/NNG+와/JKB
공생하려고	공생/NNG+하/XSV+려고/EC
노력할	노력/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.69.8.2
기업이 이윤 극대화를 넘어 사회의 책임있는 주체로서 의무에 충실해야 한다는 요구가 증가하고 있다는 것이다.

기업이	기업/NNG+이/JKS
이윤	이윤/NNG
극대화를	극대/NNG+화/XSN+를/JKO
넘어	넘/VV+어/EC
사회의	사회/NNG+의/JKG
책임있는	책임/NNG+있/VA+는/ETM
주체로서	주체/NNG+로서/JKB
의무에	의무/NNG+에/JKB
충실해야	충실/NNG+하/XSA+아야/EC
한다는	하/VX+ㄴ다는/ETM
요구가	요구/NNG+가/JKS
증가하고	증가/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.69.8.3
아디다스와 로열 캐러비안의 사례에서 보듯, 친사회적인 기업 이미지는 위기 상황에서 어려움에 빠진 기업을 살릴 수도, 멀쩡한 기업을 곤란한 처지로 빠트릴 수도 있다.

아디다스와	아디다스/NNP+와/JC
