# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.56
metadata : {}


# id : NWRW1800000049.56.1.1
日, 2021년까지 ‘아베 天下’

日,	日/SH+,/SP
2021년까지	2021/SN+년/NNB+까지/JX
‘아베	‘/SS+아베/NNP
天下’	天下/SH+’/SS


# id : NWRW1800000049.56.2.1
자민당, 사실상 총재 임기 연장 확정 임기제한 없애거나 9년으로 연장… 내년 3월 당대회서 최종 결론

자민당,	자민당/NNP+,/SP
사실상	사실/NNG+상/XSN
총재	총재/NNG
임기	임기/NNG
연장	연장/NNG
확정	확정/NNG
임기제한	임기/NNG+제한/NNG
없애거나	없애/VV+거나/EC
9년으로	9/SN+년/NNB+으로/JKB
연장…	연장/NNG+…/SE
내년	내년/NNG
3월	3/SN+월/NNB
당대회서	당/NNG+대회/NNG+서/JKB
최종	최종/NNG
결론	결론/NNG


# id : NWRW1800000049.56.3.1
당초 6년 임기를 마치고 2018년 물러날 예정이었던 아베 신조(安倍晋三) 일본 총리가 2021년까지 임기를 3년 더 연장하는 데 사실상 성공했다.

당초	당초/NNG
6년	6/SN+년/NNB
임기를	임기/NNG+를/JKO
마치고	마치/VV+고/EC
2018년	2018/SN+년/NNB
물러날	물러나/VV+ㄹ/ETM
예정이었던	예정/NNG+이/VCP+었/EP+던/ETM
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
2021년까지	2021/SN+년/NNB+까지/JX
3년	3/SN+년/NNB
더	더/MAG
연장하는	연장/NNG+하/XSV+는/ETM
데	데/NNB
사실상	사실/NNG+상/XSN
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.56.3.2
아베 총리는 자신의 숙원인 평화헌법 개헌을 통해 일본을 ‘전쟁할 수 있는 보통국가’로 탈바꿈시키는 작업에 박차를 가할 것으로 보인다.

아베	아베/NNP
총리는	총리/NNG+는/JX
자신의	자신/NNG+의/JKG
숙원인	숙원/NNG+이/VCP+ㄴ/ETM
평화헌법	평화/NNG+헌법/NNG
개헌을	개헌/NNG+을/JKO
통해	통하/VV+아/EC
일본을	일본/NNP+을/JKO
‘전쟁할	‘/SS+전쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
보통국가’로	보통/NNG+국가/NNG+’/SS+로/JKB
탈바꿈시키는	탈바꿈/NNG+시키/XSV+는/ETM
작업에	작업/NNG+에/JKB
박차를	박차/NNG+를/JKO
가할	가하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.56.3.3
2020년 열리는 도쿄 올림픽도 자신의 손으로 치를 수 있게 됐다.

2020년	2020/SN+년/NNB
열리는	열리/VV+는/ETM
도쿄	도쿄/NNP
올림픽도	올림픽/NNG+도/JX
자신의	자신/NNG+의/JKG
손으로	손/NNG+으로/JKB
치를	치르/VV+ㄹ/ETM
수	수/NNB
