# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.348
metadata : {}


# id : NWRW1800000038.348.1.1
美 대북금융제재 총책, 이번주 韓中日 방문… 추가제재 신호탄?

美	美/SH
대북금융제재	대북/NNG+금융/NNG+제재/NNG
총책,	총책/NNG+,/SP
이번주	이번/NNG+주/NNG
韓中日	韓中日/SH
방문…	방문/NNG+…/SE
추가제재	추가/NNG+제재/NNG
신호탄?	신호탄/NNG+?/SF


# id : NWRW1800000038.348.2.1
데이비드 코언 재무부 차관 오늘 일본 방문 후 내일 訪韓

데이비드	데이비드/NNP
코언	코언/NNP
재무부	재무부/NNG
차관	차관/NNG
오늘	오늘/NNG
일본	일본/NNP
방문	방문/NNG
후	후/NNG
내일	내일/NNG
訪韓	訪韓/SH


# id : NWRW1800000038.348.3.1
미국의 대북(對北) 금융 제재를 총괄하는 데이비드 코언사진> 재무부 테러·금융정보 담당 차관이 19일 한국을 방문한다.

미국의	미국/NNP+의/JKG
대북(對北)	대북/NNG+(/SS+對北/SH+)/SS
금융	금융/NNG
제재를	제재/NNG+를/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
데이비드	데이비드/NNP
코언사진>	코언/NNP+사진/NNG+>/SS
재무부	재무부/NNG
테러·금융정보	테러/NNG+·/SP+금융/NNG+정보/NNG
담당	담당/NNG
차관이	차관/NNG+이/JKS
19일	19/SN+일/NNB
한국을	한국/NNP+을/JKO
방문한다.	방문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.348.3.2
20일 외교통상부·기획재정부 관계자 등과 만나 북한의 3차 핵실험에 대한 유엔의 대북 제재 결의 2094호 이행 방안을 협의할 계획이다.

20일	20/SN+일/NNB
외교통상부·기획재정부	외교/NNG+통상부/NNG+·/SP+기획/NNG+재정부/NNG
관계자	관계자/NNG
등과	등/NNB+과/JKB
만나	만나/VV+아/EC
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험에	핵/NNG+실험/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
유엔의	유엔/NNP+의/JKG
대북	대북/NNG
제재	제재/NNG
결의	결의/NNG
2094호	2094/SN+호/NNB
이행	이행/NNG
방안을	방안/NNG+을/JKO
협의할	협의/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.348.3.3
코언 차관은 18일 일본 방문을 시작으로 22일까지 한국, 중국 순으로 동북아를 순회할 예정이다.

코언	코언/NNP
차관은	차관/NNG+은/JX
18일	18/SN+일/NNB
일본	일본/NNP
방문을	방문/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
22일까지	22/SN+일/NNB+까지/JX
한국,	한국/NNP+,/SP
중국	중국/NNP
순으로	순/NNB+으로/JKB
동북아를	동북아/NNP+를/JKO
순회할	순회/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.348.4.1
지난 7일 채택된 유엔안보리 결의 2094호는 북한의 핵무기나 대량살상무기(WMD) 개발에 사용될 수 있는 자금 이전 등을 금지하고 있다.

지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
채택된	채택/NNG+되/XSV+ㄴ/ETM
유엔안보리	유엔/NNP+안보리/NNG
결의	결의/NNG
2094호는	2094/SN+호/NNB+는/JX
북한의	북한/NNP+의/JKG
핵무기나	핵무기/NNG+나/JC
대량살상무기(WMD)	대량/NNG+살상/NNG+무기/NNG+(/SS+WMD/SL+)/SS
개발에	개발/NNG+에/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자금	자금/NNG
이전	이전/NNG
등을	등/NNB+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.348.4.2
북한 은행의 해외 신규 지점 개설도 막았다.

북한	북한/NNP
은행의	은행/NNG+의/JKG
해외	해외/NNG
신규	신규/NNG
지점	지점/NNG
개설도	개설/NNG+도/JX
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.348.4.3
하지만 중국의 상하이 등 해외 은행에 가·차명 계좌로 분산된 것으로 알려진 김정은 정권의 비자금은 제재 대상에서 빠져 있다는 지적도 받아왔다.

하지만	하지만/MAJ
중국의	중국/NNP+의/JKG
상하이	상하이/NNP
등	등/NNB
해외	해외/NNG
은행에	은행/NNG+에/JKB
가·차명	가·차명/NNG
계좌로	계좌/NNG+로/JKB
분산된	분산/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
김정은	김정은/NNP
정권의	정권/NNG+의/JKG
비자금은	비자금/NNG+은/JX
제재	제재/NNG
대상에서	대상/NNG+에서/JKB
빠져	빠지/VV+어/EC
있다는	있/VX+다는/ETM
지적도	지적/NNG+도/JX
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.348.5.1
코언 차관은 한·중·일 3국 방문을 통해서 유엔안보리의 제재 외에도 제2의 'BDA식 금융 제재'를 추진하는 방안을 타진할 가능성이 큰 것으로 관측된다.

코언	코언/NNP
차관은	차관/NNG+은/JX
한·중·일	한·중·일/NNP
3국	3국/NNG
방문을	방문/NNG+을/JKO
통해서	통하/VV+아서/EC
유엔안보리의	유엔/NNP+안보리/NNG+의/JKG
제재	제재/NNG
외에도	외/NNB+에/JKB+도/JX
제2의	제/XPN+2/SN+의/JKG
'BDA식	'/SS+BDA식/NNG
금융	금융/NNG
제재'를	제재/NNG+'/SS+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
타진할	타진/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
관측된다.	관측/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.348.5.2
미 재무부는 2005년 마카오 소재 은행 방코델타아시아(BDA)를 '돈세탁 우려 대상'으로 지정했다.

미	미/NNP
재무부는	재무부/NNG+는/JX
2005년	2005/SN+년/NNB
마카오	마카오/NNP
소재	소재/NNG
은행	은행/NNG
방코델타아시아(BDA)를	방코델타아시아/NNP+(/SS+BDA/SL+)/SS+를/JKO
'돈세탁	'/SS+돈세탁/NNG
우려	우려/NNG
대상'으로	대상/NNG+'/SS+으로/JKB
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.348.5.3
이에 놀란 마카오 당국은 BDA에 분산 예치돼 있던 북한 자금 2500만달러를 동결시켜 이 지역에서 북한의 금융 활동을 마비시켰다.

이에	이/NP+에/JKB
놀란	놀라/VV+ㄴ/ETM
마카오	마카오/NNP
당국은	당국/NNG+은/JX
BDA에	BDA/SL+에/JKB
분산	분산/NNG
예치돼	예치/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
북한	북한/NNP
자금	자금/NNG
2500만달러를	2500/SN+만/NR+달러/NNB+를/JKO
동결시켜	동결/NNG+시키/XSV+어/EC
이	이/MMD
지역에서	지역/NNG+에서/JKB
북한의	북한/NNP+의/JKG
금융	금융/NNG
활동을	활동/NNG+을/JKO
마비시켰다.	마비/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.348.5.4
BDA 제재는 당시 북한 측에서 "피가 얼어붙는다"는 말이 나올 정도로 성공한 제재였다.

BDA	BDA/SL
제재는	제재/NNG+는/JX
당시	당시/NNG
북한	북한/NNP
측에서	측/NNB+에서/JKB
"피가	"/SS+피/NNG+가/JKS
얼어붙는다"는	얼어붙/VV+는다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
제재였다.	제재/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.348.5.5
코언 차관은 특히 이번 방문을 통해 대북 금융 제재의 열쇠를 쥔 중국 측에 협조를 요청할 것으로 보인다.

코언	코언/NNP
차관은	차관/NNG+은/JX
특히	특히/MAG
이번	이번/NNG
방문을	방문/NNG+을/JKO
통해	통하/VV+아/EC
대북	대북/NNG
금융	금융/NNG
제재의	제재/NNG+의/JKG
열쇠를	열쇠/NNG+를/JKO
쥔	쥐/VV+ㄴ/ETM
중국	중국/NNP
측에	측/NNB+에/JKB
협조를	협조/NNG+를/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.348.6.1
2005년 당시 스튜어트 레비 재무부 차관과 함께 BDA 제재를 이끌었던 대니얼 글레이저 미 재무부 테러·금융 담당 차관보는 지난달 미 조지타운대 강연에서 북한에 대한 강력한 금융 제재를 시사한 바 있다.

2005년	2005/SN+년/NNB
당시	당시/NNG
스튜어트	스튜어트/NNP
레비	레비/NNP
재무부	재무부/NNG
차관과	차관/NNG+과/JKB
함께	함께/MAG
BDA	BDA/SL
제재를	제재/NNG+를/JKO
이끌었던	이끌/VV+었/EP+던/ETM
대니얼	대니얼/NNP
글레이저	글레이저/NNP
미	미/NNP
테러·금융	테러/NNG+·/SP+금융/NNG
담당	담당/NNG
차관보는	차관보/NNG+는/JX
지난달	지난달/NNG
조지타운대	조지타운대/NNP
강연에서	강연/NNG+에서/JKB
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
금융	금융/NNG
시사한	시사/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


