# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.362
metadata : {}


# id : NWRW1800000045.362.1.1
“韓日관계 최악 벗어나… 위안부 문제 해결에 미래 달려”

“韓日관계	“/SS+韓日/SH+관계/NNG
최악	최악/NNG
벗어나…	벗어나/VV+아/EF+…/SE
위안부	위안부/NNG
문제	문제/NNG
해결에	해결/NNG+에/JKB
미래	미래/NNG
달려”	달리/VV+어/EF+”/SS


# id : NWRW1800000045.362.2.1
[한일 국교정상화 50년] 양국 전문가 ‘미래협력’ 제언

[한일	[/SS+한일/NNP
국교정상화	국교/NNG+정상/NNG+화/XSN
50년]	50/SN+년/NNB+]/SS
양국	양국/NNG
전문가	전문가/NNG
‘미래협력’	‘/SS+미래/NNG+협력/NNG+’/SS
제언	제언/NNG


# id : NWRW1800000045.362.3.1
“한일 정상이 조만간 만날 수 있는 환경이 조성되고 있는 것이다.

“한일	“/SS+한일/NNP
정상이	정상/NNG+이/JKS
조만간	조만간/MAG
만날	만나/VV+ㄹ/ETM
수	수/NNB
있는	있/VX+는/ETM
환경이	환경/NNG+이/JKS
조성되고	조성/NNG+되/XSV+고/EC
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.362.3.2
앞으로 50년 동안 일본이 우리에게 어떤 나라가 돼야 하는지 비전을 가질 필요가 있다.”(공로명 전 외무부 장관)

앞으로	앞/NNG+으로/JKB
50년	50/SN+년/NNB
동안	동안/NNG
일본이	일본/NNP+이/JKS
우리에게	우리/NP+에게/JKB
어떤	어떤/MMD
나라가	나라/NNG+가/JKC
돼야	되/VV+어야/EC
하는지	하/VX+는지/EF
비전을	비전/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.”(공로명	있/VA+다/EF+./SF+”/SS+(/SS+공로명/NNP
전	전/MMD
외무부	외무부/NNG
장관)	장관/NNG+)/SS


# id : NWRW1800000045.362.4.1
“한일 관계가 최악의 시기를 탈출했다.

“한일	“/SS+한일/NNP
관계가	관계/NNG+가/JKS
최악의	최악/NNG+의/JKG
시기를	시기/NNG+를/JKO
탈출했다.	탈출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.362.4.2
