# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.379
metadata : {}


# id : NWRW1800000049.379.1.1
“민무신불립(民無信不立)” 남기고 떠난 김현웅 법무

“민무신불립(民無信不立)”	“/SS+민무신불립/NNG+(/SS+民無信不立/SH+)/SS+”/SS
남기고	남기/VV+고/EC
떠난	떠나/VV+ㄴ/ETM
김현웅	김현웅/NNP
법무	법무/NNG


# id : NWRW1800000049.379.2.1
이임식서 ‘국민의 신뢰’ 강조 “국가 위해 심사숙고 끝 사직”

이임식서	이임식/NNG+서/JKB
‘국민의	‘/SS+국민/NNG+의/JKG
신뢰’	신뢰/NNG+’/SS
강조	강조/NNG
“국가	“/SS+국가/NNG
위해	위하/VV+아/EC
심사숙고	심사숙고/NNG
끝	끝/NNG
사직”	사직/NNG+”/SS


# id : NWRW1800000049.379.3.1
“장관 취임 후 오직 ‘민무신불립(民無信不立·백성들이 윗사람을 믿지 못하면 나라가 서지 못한다)’의 자세로 국민에게 신뢰받는 법무 행정을 위해 쉼 없이 노력했다.

“장관	“/SS+장관/NNG
취임	취임/NNG
후	후/NNG
오직	오직/MAG
‘민무신불립(民無信不立·백성들이	‘/SS+민무신불립/NNG+(/SS+民無信不立/SH+·/SP+백성/NNG+들/XSN+이/JKS
윗사람을	윗사람/NNG+을/JKO
믿지	믿/VV+지/EC
못하면	못하/VX+면/EC
나라가	나라/NNG+가/JKS
서지	서/VV+지/EC
못한다)’의	못하/VX+ㄴ다/EF+)/SS+’/SS+의/JKG
자세로	자세/NNG+로/JKB
국민에게	국민/NNG+에게/JKB
신뢰받는	신뢰/NNG+받/XSV+는/ETM
법무	법무/NNG
행정을	행정/NNG+을/JKO
위해	위하/VV+아/EC
쉼	쉬/VV+ㅁ/ETN
없이	없이/MAG
노력했다.	노력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.379.3.2
국가와 국민을 위해 무엇이 올바르고 나은 길인지 심사숙고 끝에 사직하기로 했다.”

국가와	국가/NNG+와/JC
국민을	국민/NNG+을/JKO
위해	위하/VV+아/EC
무엇이	무엇/NP+이/JKS
올바르고	올바르/VA+고/EC
나은	낫/VA+은/ETM
길인지	길/NNG+이/VCP+ㄴ지/EF
심사숙고	심사숙고/NNG
끝에	끝/NNG+에/JKB
사직하기로	사직/NNG+하/XSV+기/ETN+로/JKB
했다.”	하/VV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000049.379.4.1
지난해 7월 9일 임명된 김현웅 법무부 장관(57·사법연수원 16기)은 29일 정부과천청사 법무부에서 열린 이임식에서 이 말을 남기고 장관직을 떠났다.

지난해	지난해/NNG
7월	7/SN+월/NNB
9일	9/SN+일/NNB
임명된	임명/NNG+되/XSV+ㄴ/ETM
김현웅	김현웅/NNP
법무부	법무부/NNG
장관(57·사법연수원	장관/NNG+(/SS+57/SN+·/SP+사법/NNG+연수원/NNG
16기)은	16/SN+기/NNG+)/SS+은/JX
29일	29/SN+일/NNB
정부과천청사	정부과천청사/NNP
법무부에서	법무부/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
이임식에서	이임식/NNG+에서/JKB
이	이/MMD
말을	말/NNG+을/JKO
남기고	남기/VV+고/EC
장관직을	장관직/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.379.4.2
검찰이 사상 처음으로 현직 대통령을 피의자로 입건한 가운데 박근혜 대통령은 대면 조사를 거부하고 국민의 하야 요구가 거세지는 상황에서 김 장관이 ‘백성의 신뢰’를 언급한 것이다.

검찰이	검찰/NNG+이/JKS
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
현직	현직/NNG
대통령을	대통령/NNG+을/JKO
피의자로	피의자/NNG+로/JKB
입건한	입건/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
대면	대면/NNG
조사를	조사/NNG+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
국민의	국민/NNG+의/JKG
하야	하야/NNG
요구가	요구/NNG+가/JKS
거세지는	거세지/VV+는/ETM
상황에서	상황/NNG+에서/JKB
김	김/NNP
장관이	장관/NNG+이/JKS
‘백성의	‘/SS+백성/NNG+의/JKG
신뢰’를	신뢰/NNG+’/SS+를/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.379.5.1
김 장관은 “힘든 시기에 여러분께 무거운 짐을 남겨두고 떠나게 돼 정말 마음이 아프고 가는 발걸음도 쉬이 떨어지지 않는다”며 “법무·검찰은 국가 존립의 근간인 법질서 확립의 막중한 책무가 있음을 잊지 말아야 한다”고 말했다.

김	김/NNP
장관은	장관/NNG+은/JX
“힘든	“/SS+힘들/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
여러분께	여러분/NP+께/JKB
무거운	무겁/VA+ㄴ/ETM
짐을	짐/NNG+을/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
떠나게	떠나/VV+게/EC
돼	되/VV+어/EC
정말	정말/MAG
마음이	마음/NNG+이/JKS
아프고	아프/VA+고/EC
가는	가/VV+는/ETM
발걸음도	발걸음/NNG+도/JX
쉬이	쉬이/MAG
떨어지지	떨어지/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“법무·검찰은	“/SS+법무/NNG+·/SP+검찰/NNG+은/JX
국가	국가/NNG
존립의	존립/NNG+의/JKG
근간인	근간/NNG+이/VCP+ㄴ/ETM
법질서	법질서/NNG
확립의	확립/NNG+의/JKG
막중한	막중하/VA+ㄴ/ETM
책무가	책무/NNG+가/JKS
있음을	있/VA+음/ETN+을/JKO
잊지	잊/VV+지/EC
말아야	말/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.379.5.2
그는 또 “법무·검찰개혁에 대한 각계의 요청이 빈발하는 등 쉽게 헤쳐 나가기 어려운 상황이 지속될 수도 있다”며 ‘부위정경(扶危定傾·위기를 맞아 잘못됨을 바로잡고 나라를 바로 세운다)’도 강조했다.

그는	그/NP+는/JX
또	또/MAG
“법무·검찰개혁에	“/SS+법무/NNG+·/SP+검찰/NNG+개혁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
각계의	각계/NNG+의/JKG
요청이	요청/NNG+이/JKS
빈발하는	빈발/NNG+하/XSV+는/ETM
등	등/NNB
쉽게	쉽/VA+게/EC
헤쳐	헤치/VV+어/EC
나가기	나가/VX+기/ETN
어려운	어렵/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
지속될	지속/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
‘부위정경(扶危定傾·위기를	‘/SS+부위정경/NNG+(/SS+扶危定傾/SH+·/SP+위기/NNG+를/JKO
맞아	맞/VV+아/EC
잘못됨을	잘못/MAG+되/XSV+ㅁ/ETN+을/JKO
바로잡고	바로잡/VV+고/EC
나라를	나라/NNG+를/JKO
바로	바로/MAG
세운다)’도	세우/VV+ㄴ다/EF+)/SS+’/SS+도/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.379.6.1
김 장관은 최순실 씨(60·구속 기소)의 국정 농단 의혹을 수사한 검찰이 박 대통령을 피의자로 입건한 다음 날인 21일 사의를 표명했다.

김	김/NNP
장관은	장관/NNG+은/JX
최순실	최순실/NNP
씨(60·구속	씨/NNB+(/SS+60/SN+·/SP+구속/NNG
기소)의	기소/NNG+)/SS+의/JKG
국정	국정/NNG
농단	농단/NNG
의혹을	의혹/NNG+을/JKO
수사한	수사/NNG+하/XSV+ㄴ/ETM
검찰이	검찰/NNG+이/JKS
박	박/NNP
대통령을	대통령/NNG+을/JKO
피의자로	피의자/NNG+로/JKB
입건한	입건/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
21일	21/SN+일/NNB
사의를	사의/NNG+를/JKO
