# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.286
metadata : {}


# id : NWRW1800000052.286.1.1
“스포츠클럽·운동부 통합리그 만들자”

“스포츠클럽·운동부	“/SS+스포츠/NNG+클럽/NNG+·/SP+운동부/NNG
통합리그	통합/NNG+리그/NNG
만들자”	만들/VV+자/EF+”/SS


# id : NWRW1800000052.286.2.1
[한겨레] 손천택 교수 “동떨어진 교육이 문제”

[한겨레]	[/SS+한겨레/NNP+]/SS
손천택	손천택/NNP
교수	교수/NNG
“동떨어진	“/SS+동떨어지/VA+ㄴ/ETM
교육이	교육/NNG+이/JKS
문제”	문제/NNG+”/SS


# id : NWRW1800000052.286.3.1
황교선 장학관 “학교체육연맹 필요”

황교선	황교선/NNP
장학관	장학관/NNG
“학교체육연맹	“/SS+학교/NNG+체육/NNG+연맹/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000052.286.4.1
학교체육 활성화를 위해 스포츠클럽과 학교 운동부의 통합리그가 필요하다는 의견이 제시됐다.

학교체육	학교/NNG+체육/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
스포츠클럽과	스포츠/NNG+클럽/NNG+과/JC
학교	학교/NNG
운동부의	운동부/NNG+의/JKG
통합리그가	통합/NNG+리그/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
의견이	의견/NNG+이/JKS
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.286.5.1
대한체육회는 7일 서울 송파구 올림픽파크텔에서 ‘2016 학교체육진흥 포럼’을 열고 향후 학교체육이 나아가야 할 방향을 모색했다.

대한체육회는	대한체육회/NNP+는/JX
7일	7/SN+일/NNB
서울	서울/NNP
송파구	송파구/NNP
올림픽파크텔에서	올림픽파크텔/NNP+에서/JKB
‘2016	‘/SS+2016/SN
학교체육진흥	학교/NNG+체육/NNG+진흥/NNG
포럼’을	포럼/NNG+’/SS+을/JKO
열고	열/VV+고/EC
향후	향후/NNG
학교체육이	학교/NNG+체육/NNG+이/JKS
나아가야	나아가/VV+아야/EC
할	하/VX+ㄹ/ETM
방향을	방향/NNG+을/JKO
모색했다.	모색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.286.5.2
이 자리에는 문화체육관광부·교육부를 비롯해 일선에서 학교체육 업무를 담당하는 17개 시·도교육청과 학교 관계자들이 참석했다.

이	이/MMD
자리에는	자리/NNG+에/JKB+는/JX
문화체육관광부·교육부를	문화/NNG+체육/NNG+관광부/NNG+·/SP+교육부/NNG+를/JKO
비롯해	비롯하/VV+아/EC
일선에서	일선/NNG+에서/JKB
학교체육	학교/NNG+체육/NNG
업무를	업무/NNG+를/JKO
