# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.129
metadata : {}


# id : NWRW1800000028.129.1.1
둘다 1~2인 가구 살기에 적합해 /준주택, 오피스텔 등 준주거시설 /도시형, 다세대 등 소형공동주택

둘다	둘/NR+다/MAG
1~2인	1/SN+~/SO+2/SN+인/NNG
가구	가구/NNG
살기에	살/VV+기/ETN+에/JKB
적합해	적합/NNG+하/XSA+아/EC
/준주택,	//SP+준/XPN+주택/NNG+,/SP
오피스텔	오피스텔/NNG
등	등/NNB
준주거시설	준/XPN+주거/NNG+시설/NNG
/도시형,	//SP+도시/NNG+형/XSN+,/SP
다세대	다세대/NNG
소형공동주택	소형/NNG+공동/NNG+주택/NNG


# id : NWRW1800000028.129.2.1
최근 국토해양부가 관련 규제를 대폭 완화해 건설을 촉진하기로 한 ‘준주택’과 ‘도시형생활주택’에 대한 관심이 높아지고 있습니다.

최근	최근/MAG
국토해양부가	국토/NNG+해양부/NNG+가/JKS
관련	관련/NNG
규제를	규제/NNG+를/JKO
대폭	대폭/MAG
완화해	완화/NNG+하/XSV+아/EC
건설을	건설/NNG+을/JKO
촉진하기로	촉진/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
‘준주택’과	‘/SS+준/XPN+주택/NNG+’/SS+과/JC
‘도시형생활주택’에	‘/SS+도시/NNG+형/XSN+생활/NNG+주택/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
높아지고	높아지/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000028.129.2.2
준주택과 도시형생활주택은 모두 1~2인 가구가 거주하기 편한 주택이라는 공통분모를 갖고 있습니다.

준주택과	준/XPN+주택/NNG+과/JC
도시형생활주택은	도시/NNG+형/XSN+생활/NNG+주택/NNG+은/JX
모두	모두/MAG
1~2인	1/SN+~/SO+2/SN+인/NNG
가구가	가구/NNG+가/JKS
거주하기	거주/NNG+하/XSV+기/ETN
편한	편하/VA+ㄴ/ETM
주택이라는	주택/NNG+이/VCP+라는/ETM
공통분모를	공통분모/NNG+를/JKO
갖고	갖/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000028.129.3.1
준주택은 ‘주택은 아니지만 주거용으로 이용 가능한 시설’을 뜻하는 것으로 지난 14일 입법예고된 주택법 시행령에 새로 도입된 개념입니다.

준주택은	준/XPN+주택/NNG+은/JX
‘주택은	‘/SS+주택/NNG+은/JX
아니지만	아니/VCN+지만/EC
주거용으로	주거/NNG+용/XSN+으로/JKB
이용	이용/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
시설’을	시설/NNG+’/SS+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
입법예고된	입법/NNG+예고/NNG+되/XSV+ㄴ/ETM
주택법	주택법/NNG
시행령에	시행령/NNG+에/JKB
새로	새로/MAG
도입된	도입/NNG+되/XSV+ㄴ/ETM
개념입니다.	개념/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.3.2
새 법은 1~2인 가구 확대 추세, 고령화 등을 반영해 ‘오피스텔’, ‘노인복지주택’, ‘고시원’을 준주택으로 정했습니다.

새	새/MMA
법은	법/NNG+은/JX
1~2인	1/SN+~/SO+2/SN+인/NNG
가구	가구/NNG
확대	확대/NNG
추세,	추세/NNG+,/SP
고령화	고령/NNG+화/XSN
등을	등/NNB+을/JKO
반영해	반영/NNG+하/XSV+아/EC
‘오피스텔’,	‘/SS+오피스텔/NNG+’/SS+,/SP
‘노인복지주택’,	‘/SS+노인/NNG+복지/NNG+주택/NNG+’/SS+,/SP
‘고시원’을	‘/SS+고시원/NNG+’/SS+을/JKO
준주택으로	준/XPN+주택/NNG+으로/JKB
정했습니다.	정하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000028.129.4.1
이들 준주택은 과거에는 법상 주택으로 분류되지 않았습니다.

이들	이/NP+들/XSN
준주택은	준/XPN+주택/NNG+은/JX
과거에는	과거/NNG+에/JKB+는/JX
법상	법/NNG+상/XSN
주택으로	주택/NNG+으로/JKB
