# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.162
metadata : {}


# id : NWRW1800000030.162.1.1
또 죽창·쇠파이프… 고개 드는 불법·폭력 시위

또	또/MAG
죽창·쇠파이프…	죽창/NNG+·/SP+쇠/NNG+파이프/NNG+…/SE
고개	고개/NNG
드는	들/VV+는/ETM
불법·폭력	불법/NNG+·/SP+폭력/NNG
시위	시위/NNG


# id : NWRW1800000030.162.2.1
•작년보다 57% 급증, 경찰관 부상은 30배나

•작년보다	•/SW+작년/NNG+보다/JKB
57%	57/SN+%/SW
급증,	급증/NNG+,/SP
경찰관	경찰관/NNG
부상은	부상/NNG+은/JX
30배나	30/SN+배/NNG+나/JX


# id : NWRW1800000030.162.3.1
2008년 광우병 촛불시위, 2009년 쌍용자동차노조의 공장 점거 농성 이후 잠잠하던 불법·폭력 시위가 올 들어 다시 늘어나고 있다.

2008년	2008/SN+년/NNB
광우병	광우병/NNG
촛불시위,	촛불/NNG+시위/NNG+,/SP
2009년	2009/SN+년/NNB
쌍용자동차노조의	쌍용자동차노조/NNP+의/JKG
공장	공장/NNG
점거	점거/NNG
농성	농성/NNG
이후	이후/NNG
잠잠하던	잠잠하/VA+던/ETM
불법·폭력	불법/NNG+·/SP+폭력/NNG
시위가	시위/NNG+가/JKS
올	올/NNG
들어	들/VV+어/EC
다시	다시/MAG
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.162.4.1
올 상반기(1~6월) 불법·폭력시위는 22회로 작년 상반기 14회에 비해 57%나 늘었고, 시위대에게 폭행당해 부상을 입은 경찰도 올 상반기 112명으로 작년 같은 기간 4명에 비해 급격하게 늘어났다.

올	올/NNG
상반기(1~6월)	상반기/NNG+(/SS+1/SN+~/SO+6/SN+월/NNB+)/SS
불법·폭력시위는	불법/NNG+·/SP+폭력/NNG+시위/NNG+는/JX
22회로	22/SN+회/NNB+로/JKB
작년	작년/NNG
상반기	상반기/NNG
14회에	14/SN+회/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
57%나	57/SN+%/SW+나/JX
늘었고,	늘/VV+었/EP+고/EC+,/SP
시위대에게	시위대/NNG+에게/JKB
폭행당해	폭행/NNG+당하/XSV+아/EC
부상을	부상/NNG+을/JKO
입은	입/VV+은/ETM
경찰도	경찰/NNG+도/JX
112명으로	112/SN+명/NNB+으로/JKB
같은	같/VA+은/ETM
기간	기간/NNG
4명에	4/SN+명/NNB+에/JKB
급격하게	급격하/VA+게/EC
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.162.5.1
경찰 관계자는 "광우병 시위와 기업을 볼모로 한 대규모 불법 시위로 역풍(逆風)을 맞았던 전문 시위꾼들이 올 들어 다시 세력 규합에 나선 것으로 보인다"며 "합법적으로 진행되는 집회·시위를 극소수가 주도해 불법 집회로 이끌어가는 측면도 있다"고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"광우병	"/SS+광우병/NNG
시위와	시위/NNG+와/JC
기업을	기업/NNG+을/JKO
볼모로	볼모/NNG+로/JKB
한	하/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
불법	불법/NNG
시위로	시위/NNG+로/JKB
역풍(逆風)을	역풍/NNG+(/SS+逆風/SH+)/SS+을/JKO
맞았던	맞/VV+았/EP+던/ETM
전문	전문/NNG
시위꾼들이	시위/NNG+꾼/XSN+들/XSN+이/JKS
올	올/NNG
들어	들/VV+어/EC
다시	다시/MAG
세력	세력/NNG
규합에	규합/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"며	보이/VV+ㄴ다/EF+"/SS+며/EC
"합법적으로	"/SS+합법/NNG+적/XSN+으로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
집회·시위를	집회/NNG+·/SP+시위/NNG+를/JKO
극소수가	극소수/NNG+가/JKS
주도해	주도/NNG+하/XSV+아/EC
집회로	집회/NNG+로/JKB
이끌어가는	이끌/VV+어/EC+가/VX+는/ETM
측면도	측면/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.162.6.1
부산 영도구의 한진중공업 비정규직 해고사태와 관련해 지난 6월부터 시작된 이른바 '희망버스' 시위도 부산 도심을 점거하는 불법·폭력시위로 변하고 있다.

부산	부산/NNP
영도구의	영도구/NNP+의/JKG
한진중공업	한진중공업/NNP
비정규직	비/XPN+정규직/NNG
해고사태와	해고/NNG+사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
6월부터	6/SN+월/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
이른바	이른바/MAG
'희망버스'	'/SS+희망/NNG+버스/NNG+'/SS
시위도	시위/NNG+도/JX
도심을	도심/NNG+을/JKO
점거하는	점거/NNG+하/XSV+는/ETM
불법·폭력시위로	불법/NNG+·/SP+폭력/NNG+시위/NNG+로/JKB
변하고	변하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.162.7.1
올 들어 가장 과격했던 시위는 지난 6월 충남 아산에서 금속노조 등이 주도해 진행했던 유성기업노조의 시위였다.

올	올/NNG
들어	들/VV+어/EC
가장	가장/MAG
과격했던	과격/NNG+하/XSA+았/EP+던/ETM
시위는	시위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
충남	충남/NNP
아산에서	아산/NNP+에서/JKB
금속노조	금속노조/NNP
등이	등/NNB+이/JKS
주도해	주도/NNG+하/XSV+아/EC
진행했던	진행/NNG+하/XSV+았/EP+던/ETM
유성기업노조의	유성기업/NNP+노조/NNG+의/JKG
시위였다.	시위/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.162.7.2
당초 노조의 요구사항은 '주간 연속 2교대제' 등 비교적 온건했지만, 나중에는 공장 불법 점거와 쇠파이프가 등장하면서 유혈사태가 벌어졌다.

당초	당초/NNG
노조의	노조/NNG+의/JKG
요구사항은	요구/NNG+사항/NNG+은/JX
'주간	'/SS+주간/NNG
연속	연속/NNG
2교대제'	2/SN+교대/NNG+제/XSN+'/SS
등	등/NNB
비교적	비교/NNG+적/XSN
온건했지만,	온건/NNG+하/XSA+았/EP+지만/EC+,/SP
나중에는	나중/NNG+에/JKB+는/JX
공장	공장/NNG
불법	불법/NNG
점거와	점거/NNG+와/JC
쇠파이프가	쇠/NNG+파이프/NNG+가/JKS
등장하면서	등장/NNG+하/XSV+면서/EC
유혈사태가	유혈/NNG+사태/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.162.7.3
당시 시위 현장에서는 시위대에 고립된 경찰 108명이 죽창과 쇠파이프에 맞아 얼굴이 찢어지는 등 부상을 당했다.

당시	당시/NNG
시위	시위/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
시위대에	시위대/NNG+에/JKB
고립된	고립/NNG+되/XSV+ㄴ/ETM
경찰	경찰/NNG
108명이	108/SN+명/NNB+이/JKS
죽창과	죽창/NNG+과/JC
쇠파이프에	쇠/NNG+파이프/NNG+에/JKB
맞아	맞/VV+아/EC
얼굴이	얼굴/NNG+이/JKS
찢어지는	찢어지/VV+는/ETM
등	등/NNB
부상을	부상/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.162.8.1
불법·폭력시위가 최고조에 달했던 해는 2008년으로 광우병 촛불시위 등이 전국적으로 벌어지면서 한 해에 89회 불법·폭력시위가 열렸다.

불법·폭력시위가	불법/NNG+·/SP+폭력/NNG+시위/NNG+가/JKS
최고조에	최/XPN+고조/NNG+에/JKB
달했던	달하/VV+았/EP+던/ETM
해는	해/NNG+는/JX
2008년으로	2008/SN+년/NNB+으로/JKB
광우병	광우병/NNG
촛불시위	촛불/NNG+시위/NNG
등이	등/NNB+이/JKS
전국적으로	전국/NNG+적/XSN+으로/JKB
벌어지면서	벌어지/VV+면서/EC
한	한/MMN
해에	해/NNB+에/JKB
89회	89/SN+회/NNB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.162.8.2
시위 현장에서 부상당한 경찰도 506명이었다.

시위	시위/NNG
현장에서	현장/NNG+에서/JKB
부상당한	부상/NNG+당하/XSV+ㄴ/ETM
경찰도	경찰/NNG+도/JX
506명이었다.	506/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.162.8.3
경찰은 이달에만 5000~1만명 규모의 대규모 시위가 3~4차례 더 진행될 것으로 보고 있다.

경찰은	경찰/NNG+은/JX
이달에만	이달/NNG+에/JKB+만/JX
5000~1만명	5000/SN+~/SO+1/SN+만/NR+명/NNB
규모의	규모/NNG+의/JKG
대규모	대/XPN+규모/NNG
시위가	시위/NNG+가/JKS
3~4차례	3/SN+~/SO+4/SN+차례/NNG
더	더/MAG
진행될	진행/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


