# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.131
metadata : {}


# id : NWRW1800000021.131.1.1
서울 재건축 - 일반아파트 가격차 더 커져

서울	서울/NNP
재건축	재/XPN+건축/NNG
-	-/SO
일반아파트	일반/NNG+아파트/NNG
가격차	가격차/NNG
더	더/MAG
커져	커지/VV+어/EF


# id : NWRW1800000021.131.2.1
올해 들어 서울지역 재건축 아파트 가격이 상승하면서 재건축 아파트와 일반 아파트의 가격 차이가 벌어진 것으로 나타났다.

올해	올해/NNG
들어	들/VV+어/EC
서울지역	서울지역/NNP
재건축	재/XPN+건축/NNG
아파트	아파트/NNG
가격이	가격/NNG+이/JKS
상승하면서	상승/NNG+하/XSV+면서/EC
아파트와	아파트/NNG+와/JC
일반	일반/NNG
아파트의	아파트/NNG+의/JKG
가격	가격/NNG
차이가	차이/NNG+가/JKS
벌어진	벌어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.131.3.1
26일 부동산뱅크에 따르면 지난해 12월 말 서울지역 재건축 아파트의 3.3m²당 평균 매매가격은 2901만 원으로 일반 아파트(1573만 원)보다 1328만 원 높았다.

26일	26/SN+일/NNB
부동산뱅크에	부동산뱅크/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
12월	12/SN+월/NNB
말	말/NNB
서울지역	서울지역/NNP
재건축	재/XPN+건축/NNG
아파트의	아파트/NNG+의/JKG
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
평균	평균/NNG
매매가격은	매매/NNG+가격/NNG+은/JX
2901만	2901/SN+만/NR
원으로	원/NNB+으로/JKB
일반	일반/NNG
아파트(1573만	아파트/NNG+(/SS+1573/SN+만/NR
원)보다	원/NNB+)/SS+보다/JKB
1328만	1328/SN+만/NR
원	원/NNB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.131.4.1
올해 들어 이 격차는 1월 말 1411만 원, 2월 말 1495만 원, 3월 말 1514만 원으로 벌어졌다.

올해	올해/NNG
들어	들/VV+어/EC
이	이/MMD
격차는	격차/NNG+는/JX
1월	1/SN+월/NNB
말	말/NNB
1411만	1411/SN+만/NR
원,	원/NNB+,/SP
2월	2/SN+월/NNB
1495만	1495/SN+만/NR
3월	3/SN+월/NNB
1514만	1514/SN+만/NR
원으로	원/NNB+으로/JKB
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.131.4.2
이달 17일 현재 재건축 아파트의 평균 매매가가 3.3m²당 3205만 원, 일반 아파트는 1568만 원으로 차이가 1637만 원으로 더 커졌다.

이달	이달/NNG
17일	17/SN+일/NNB
현재	현재/MAG
재건축	재/XPN+건축/NNG
아파트의	아파트/NNG+의/JKG
평균	평균/NNG
매매가가	매매/NNG+가/XSN+가/JKS
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
3205만	3205/SN+만/NR
원,	원/NNB+,/SP
일반	일반/NNG
아파트는	아파트/NNG+는/JX
1568만	1568/SN+만/NR
원으로	원/NNB+으로/JKB
차이가	차이/NNG+가/JKS
1637만	1637/SN+만/NR
더	더/MAG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.131.4.3
구별로 가격 격차가 가장 큰 곳은 강동구로 일반 아파트(1428만 원)보다 재건축 아파트(2933만 원)가 1505만 원이 비쌌으며 이어 강남(1501만 원) 송파(1042만 원) 용산(655만 원) 강서(613만 원) 성동(612만 원) 서초(599만 원) 노원(540만 원) 영등포구(381만 원)의 순이었다.

구별로	구별/NNG+로/JKB
가격	가격/NNG
격차가	격차/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
곳은	곳/NNG+은/JX
강동구로	강동구/NNP+로/JKB
일반	일반/NNG
아파트(1428만	아파트/NNG+(/SS+1428/SN+만/NR
원)보다	원/NNB+)/SS+보다/JKB
재건축	재/XPN+건축/NNG
아파트(2933만	아파트/NNG+(/SS+2933/SN+만/NR
원)가	원/NNB+)/SS+가/JKS
1505만	1505/SN+만/NR
원이	원/NNB+이/JKS
비쌌으며	비싸/VA+았/EP+으며/EC
이어	잇/VV+어/EC
강남(1501만	강남/NNP+(/SS+1501/SN+만/NR
원)	원/NNB+)/SS
송파(1042만	송파/NNP+(/SS+1042/SN+만/NR
용산(655만	용산/NNP+(/SS+655/SN+만/NR
강서(613만	강서/NNP+(/SS+613/SN+만/NR
성동(612만	성동/NNP+(/SS+612/SN+만/NR
서초(599만	서초/NNP+(/SS+599/SN+만/NR
노원(540만	노원/NNP+(/SS+540/SN+만/NR
영등포구(381만	영등포구/NNP+(/SS+381/SN+만/NR
원)의	원/NNB+)/SS+의/JKG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


