# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.12
metadata : {}


# id : NWRW1800000025.12.1.1
‘강심장’ 제작진, 손가락 욕 파문에 “편집과정 실수” 사과

‘강심장’	‘/SS+강심장/NNG+’/SS
제작진,	제작진/NNG+,/SP
손가락	손가락/NNG
욕	욕/NNG
파문에	파문/NNG+에/JKB
“편집과정	“/SS+편집/NNG+과정/NNG
실수”	실수/NNG+”/SS
사과	사과/NNG


# id : NWRW1800000025.12.2.1
SBS 예능프로그램 ‘강심장’에서 출연진이 상대방에게 ‘손가락 욕’을 한 것이 편집되지 않은 채 방송돼 논란이 일고 있다.

SBS	SBS/SL
예능프로그램	예능/NNG+프로그램/NNG
‘강심장’에서	‘/SS+강심장/NNG+’/SS+에서/JKB
출연진이	출연진/NNG+이/JKS
상대방에게	상대방/NNG+에게/JKB
‘손가락	‘/SS+손가락/NNG
욕’을	욕/NNG+’/SS+을/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
편집되지	편집/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
방송돼	방송/NNG+되/XSV+어/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.12.2.2
5일 방송에서는 개그우먼 정주리가 무대에 나와 발언을 하고 있을 때 무대 뒤편에서 개그맨 김영철이 가수 브라이언에게 가운뎃손가락으로 욕설을 뜻하는 장면이 전파를 탔다.

5일	5/SN+일/NNB
방송에서는	방송/NNG+에서/JKB+는/JX
개그우먼	개그우먼/NNG
정주리가	정주리/NNP+가/JKS
무대에	무대/NNG+에/JKB
나와	나오/VV+아/EC
발언을	발언/NNG+을/JKO
하고	하/VV+고/EC
있을	있/VX+을/ETM
때	때/NNG
무대	무대/NNG
뒤편에서	뒤편/NNG+에서/JKB
개그맨	개그맨/NNG
김영철이	김영철/NNP+이/JKS
가수	가수/NNG
브라이언에게	브라이언/NNP+에게/JKB
가운뎃손가락으로	가운뎃손가락/NNG+으로/JKB
욕설을	욕설/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
장면이	장면/NNG+이/JKS
전파를	전파/NNG+를/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.12.2.3
방송이 나가자 프로그램 게시판에는 방송 중 손가락 욕을 한 개그맨 김영철과 이를 편집하지 않은 제작진을 지적하는 글이 이어졌다.

방송이	방송/NNG+이/JKS
나가자	나가/VV+자/EC
프로그램	프로그램/NNG
게시판에는	게시판/NNG+에/JKB+는/JX
방송	방송/NNG
중	중/NNB
손가락	손가락/NNG
욕을	욕/NNG+을/JKO
한	하/VV+ㄴ/ETM
개그맨	개그맨/NNG
김영철과	김영철/NNP+과/JC
이를	이/NP+를/JKO
편집하지	편집/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
제작진을	제작진/NNG+을/JKO
지적하는	지적/NNG+하/XSV+는/ETM
글이	글/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.12.2.4
제작진은 12일 “미처 확인하지 못하고 여과 없이 방송에 내보낸 것은 전적으로 제작진의 불찰”이라고 말했다.

제작진은	제작진/NNG+은/JX
12일	12/SN+일/NNB
“미처	“/SS+미처/MAG
확인하지	확인/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
여과	여과/NNG
없이	없이/MAG
방송에	방송/NNG+에/JKB
내보낸	내보내/VV+ㄴ/ETM
것은	것/NNB+은/JX
전적으로	전적/NNG+으로/JKB
제작진의	제작진/NNG+의/JKG
불찰”이라고	불찰/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


