# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.78
metadata : {}


# id : NWRW1800000037.78.1.1
[중국, 한국기업의 미래]동반성장의 파트너로 中 인식

[중국,	[/SS+중국/NNP+,/SP
한국기업의	한국/NNP+기업/NNG+의/JKG
미래]동반성장의	미래/NNG+]/SS+동반/NNG+성장/NNG+의/JKG
파트너로	파트너/NNG+로/JKB
中	中/SH
인식	인식/NNG


# id : NWRW1800000037.78.2.1
김광중 중국지역총괄 전무

김광중	김광중/NNP
중국지역총괄	중국지역/NNP+총괄/NNG
전무	전무/NNG


# id : NWRW1800000037.78.3.1
LG화학은 1995년 중국에 진출한 이래 꾸준하게 기업 규모를 키워오고 있다.

LG화학은	LG화학/NNP+은/JX
1995년	1995/SN+년/NNB
중국에	중국/NNP+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
꾸준하게	꾸준하/VA+게/EC
기업	기업/NNG
규모를	규모/NNG+를/JKO
키워오고	키우/VV+어/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.78.3.2
지난해 기준으로 전체 매출의 40%가량을 중국 사업을 통해 일궈냈을 정도다.

지난해	지난해/NNG
기준으로	기준/NNG+으로/JKB
전체	전체/NNG
매출의	매출/NNG+의/JKG
40%가량을	40/SN+%/SW+가량/XSN+을/JKO
중국	중국/NNP
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
일궈냈을	일구/VV+어/EC+내/VX+었/EP+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.78.3.3
그동안 중국 내 9개 생산법인과 지주회사를 철저하게 현지화해 운영한 성과라는 평가를 받는다.

그동안	그동안/NNG
중국	중국/NNP
내	내/NNB
9개	9/SN+개/NNB
생산법인과	생산/NNG+법인/NNG+과/JC
지주회사를	지주/NNG+회사/NNG+를/JKO
철저하게	철저/NNG+하/XSA+게/EC
현지화해	현지/NNG+화/XSN+하/XSV+아/EC
