# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.15
metadata : {}


# id : NWRW1800000026.15.1.1
울부짖는 쿠르드족의 눈물;MBC '세계와 나 W'

울부짖는	울부짖/VV+는/ETM
쿠르드족의	쿠르드족/NNP+의/JKG
눈물;MBC	눈물/NNG+;/SW+MBC/SL
'세계와	'/SS+세계/NNG+와/JC
나	나/NP
W'	W/SL+'/SS


# id : NWRW1800000026.15.2.1
한 달째 터키 전역에서는 연일 쿠르드족 사람들의 시위가 벌어지고 있다.

한	한/MMN
달째	달/NNB+째/XSN
터키	터키/NNP
전역에서는	전역/NNG+에서/JKB+는/JX
연일	연일/MAG
쿠르드족	쿠르드족/NNP
사람들의	사람/NNG+들/XSN+의/JKG
시위가	시위/NNG+가/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.15.2.2
지난해 말 터키 헌법재판소가 내린 친 쿠르드 정당 해산 결정에 대한 반발이다.

지난해	지난해/NNG
말	말/NNB
터키	터키/NNP
헌법재판소가	헌법/NNG+재판소/NNG+가/JKS
내린	내리/VV+ㄴ/ETM
친	친/XPN
쿠르드	쿠르드/NNP
정당	정당/NNG
해산	해산/NNG
결정에	결정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반발이다.	반발/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.15.3.1
15일 밤 11시 55분에 방송되는 MBC TV '세계와 나 W'는 터키 정부의 범국가적인 민족말살 정책에 의해 고난과 비극의 현대사를 겪어온 쿠르드족 사람과 역사를 조명한다.

15일	15/SN+일/NNB
밤	밤/NNG
11시	11/SN+시/NNB
55분에	55/SN+분/NNB+에/JKB
방송되는	방송/NNG+되/XSV+는/ETM
MBC	MBC/SL
TV	TV/SL
'세계와	'/SS+세계/NNG+와/JC
나	나/NP
W'는	W/SL+'/SS+는/JX
터키	터키/NNP
정부의	정부/NNG+의/JKG
범국가적인	범/XPN+국가/NNG+적/XSN+이/VCP+ㄴ/ETM
민족말살	민족/NNG+말살/NNG
정책에	정책/NNG+에/JKB
의해	의하/VV+아/EC
고난과	고난/NNG+과/JC
비극의	비극/NNG+의/JKG
현대사를	현대사/NNG+를/JKO
겪어온	겪/VV+어/EC+오/VX+ㄴ/ETM
쿠르드족	쿠르드족/NNP
사람과	사람/NNG+과/JC
역사를	역사/NNG+를/JKO
조명한다.	조명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.15.3.2
역사상 단 한 번도 독립국가를 가져본 적 없는 3000만 쿠르드인들은 언어는 물론 인간답게 살 권리마저 빼앗겨 왔다.

역사상	역사/NNG+상/XSN
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
독립국가를	독립/NNG+국가/NNG+를/JKO
가져본	가지/VV+어/EC+보/VX+ㄴ/ETM
적	적/NNB
없는	없/VA+는/ETM
3000만	3000/SN+만/NR
쿠르드인들은	쿠르드인/NNP+들/XSN+은/JX
언어는	언어/NNG+는/JX
물론	물론/MAG
인간답게	인간/NNG+답/XSA+게/EC
살	살/VV+ㄹ/ETM
권리마저	권리/NNG+마저/JX
빼앗겨	빼앗기/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.15.4.1
지난해 9월, 쿠르드족 12살 소녀 제일란은 인근 군부대에서 쏜 폭탄에 맞아 숨을 거뒀다.

지난해	지난해/NNG
9월,	9/SN+월/NNB+,/SP
쿠르드족	쿠르드족/NNP
12살	12/SN+살/NNB
소녀	소녀/NNG
제일란은	제일란/NNP+은/JX
인근	인근/NNG
군부대에서	군부대/NNG+에서/JKB
쏜	쏘/VV+ㄴ/ETM
폭탄에	폭탄/NNG+에/JKB
맞아	맞/VV+아/EC
숨을	숨/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.15.4.2
하지만 터키 군부대 관계자는 사과는커녕, 제일란이 실수로 지뢰를 밟은 것이라며 잘못을 전가했다.

하지만	하지만/MAJ
터키	터키/NNP
군부대	군부대/NNG
관계자는	관계자/NNG+는/JX
사과는커녕,	사과/NNG+는커녕/JX+,/SP
제일란이	제일란/NNP+이/JKS
실수로	실수/NNG+로/JKB
지뢰를	지뢰/NNG+를/JKO
밟은	밟/VV+은/ETM
것이라며	것/NNB+이/VCP+라며/EC
잘못을	잘못/NNG+을/JKO
전가했다.	전가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.15.4.3
딸이 세상을 떠난 후, 하루도 빠짐없이 사고 현장에 나온다는 제일란의 어머니는 "우리가 만약 터키 국민이었더라도 이렇게 하겠냐"며 울부짖었다.

딸이	딸/NNG+이/JKS
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
후,	후/NNG+,/SP
하루도	하루/NNG+도/JX
빠짐없이	빠짐없이/MAG
사고	사고/NNG
현장에	현장/NNG+에/JKB
나온다는	나오/VV+ㄴ다는/ETM
제일란의	제일란/NNP+의/JKG
어머니는	어머니/NNG+는/JX
"우리가	"/SS+우리/NP+가/JKS
만약	만약/NNG
터키	터키/NNP
국민이었더라도	국민/NNG+이/VCP+었/EP+더라도/EC
이렇게	이렇/VA+게/EC
하겠냐"며	하/VV+겠/EP+냐/EF+"/SS+며/EC
울부짖었다.	울부짖/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.15.4.4
같은 날 '세계와 나 W'는 겨울 한파의 절정을 보여주는 '시베리아와 핀란드를 가다'를 방송한다.

같은	같/VA+은/ETM
날	날/NNG
'세계와	'/SS+세계/NNG+와/JC
나	나/NP
W'는	W/SL+'/SS+는/JX
겨울	겨울/NNG
한파의	한파/NNG+의/JKG
절정을	절정/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
'시베리아와	'/SS+시베리아/NNP+와/JC
핀란드를	핀란드/NNP+를/JKO
가다'를	가/VV+다/EF+'/SS+를/JKO
방송한다.	방송/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.15.4.5
현재 서울도 사상 최대 폭설로 '순백의 도시'로 변했지만, 시베리아와 북극의 겨울은 한국과는 비교도 안 된다.

현재	현재/MAG
서울도	서울/NNP+도/JX
사상	사상/NNG
최대	최대/NNG
폭설로	폭설/NNG+로/JKB
'순백의	'/SS+순백/NNG+의/JKG
도시'로	도시/NNG+'/SS+로/JKB
변했지만,	변하/VV+았/EP+지만/EC+,/SP
시베리아와	시베리아/NNP+와/JC
북극의	북극/NNG+의/JKG
겨울은	겨울/NNG+은/JX
한국과는	한국/NNP+과/JKB+는/JX
비교도	비교/NNG+도/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.15.5.1
핀란드 사미족 마을은 365일 중 185일이 눈으로 뒤덮여 있는 스칸디나비아반도 최북단이다.

핀란드	핀란드/NNP
사미족	사미족/NNP
마을은	마을/NNG+은/JX
365일	365/SN+일/NNB
중	중/NNB
185일이	185/SN+일/NNB+이/JKS
눈으로	눈/NNG+으로/JKB
뒤덮여	뒤덮이/VV+어/EC
있는	있/VX+는/ETM
스칸디나비아반도	스칸디나비아반도/NNP
최북단이다.	최/XPN+북단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.15.5.2
