# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.365
metadata : {}


# id : NWRW1800000026.365.1.1
[대구·경북] 국제자동화기기전 등 개최 10~13일 대구 엑스코서

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
국제자동화기기전	국제/NNG+자동/NNG+화/XSN+기기전/NNG
등	등/NNB
개최	개최/NNG
10~13일	10/SN+~/SO+13/SN+일/NNB
대구	대구/NNP
엑스코서	엑스코/NNP+서/JKB


# id : NWRW1800000026.365.2.1
대구시와 경북도는 첨단기계와 부품, 소재를 한자리에서 선보이는 '제11회 대구국제자동화기기전' 및 '제5회 국제부품·소재산업전'을 10일부터 13일까지 4일간 대구 엑스코에서 연다고 8일 밝혔다.

대구시와	대구시/NNP+와/JC
경북도는	경북도/NNP+는/JX
첨단기계와	첨단/NNG+기계/NNG+와/JC
부품,	부품/NNG+,/SP
소재를	소재/NNG+를/JKO
한자리에서	한자리/NNG+에서/JKB
선보이는	선보이/VV+는/ETM
'제11회	'/SS+제/XPN+11/SN+회/NNB
대구국제자동화기기전'	대구/NNP+국제/NNG+자동/NNG+화/XSN+기기전/NNG+'/SS
및	및/MAG
'제5회	'/SS+제/XPN+5/SN+회/NNB
국제부품·소재산업전'을	국제/NNG+부품/NNG+·/SP+소재/NNG+산업전/NNG+'/SS+을/JKO
10일부터	10/SN+일/NNB+부터/JX
13일까지	13/SN+일/NNB+까지/JX
4일간	4/SN+일/NNB+간/XSN
대구	대구/NNP
엑스코에서	엑스코/NNP+에서/JKB
연다고	열/VV+ㄴ다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.365.3.1
대구·경북지역 유일의 기계 및 부품소재 전시회이자 올해 영남권 최대 전문전시회인 이번 행사에서는 20여개 국에서 270여개 업체가 참가해 기계·금속·전자·나노기술이 융합된 메카트로닉스와 공장자동화, 제어계측, 로봇, 부품소재 등을 망라한 첨단제품 및 기술의 경연장으로 활용한다.

대구·경북지역	대구/NNP+·/SP+경북/NNP+지역/NNG
유일의	유일/NNG+의/JKG
기계	기계/NNG
및	및/MAG
부품소재	부품/NNG+소재/NNG
전시회이자	전시회/NNG+이/VCP+자/EC
올해	올해/NNG
영남권	영남/NNP+권/XSN
최대	최대/NNG
전문전시회인	전문/NNG+전시회/NNG+이/VCP+ㄴ/ETM
이번	이번/NNG
행사에서는	행사/NNG+에서/JKB+는/JX
20여개	20/SN+여/XSN+개/NNB
국에서	국/NA+에서/JKB
270여개	270/SN+여/XSN+개/NNB
업체가	업체/NNG+가/JKS
참가해	참가/NNG+하/XSV+아/EC
기계·금속·전자·나노기술이	기계/NNG+·/SP+금속/NNG+·/SP+전자/NNG+·/SP+나노/NNG+기술/NNG+이/JKS
융합된	융합/NNG+되/XSV+ㄴ/ETM
메카트로닉스와	메카트로닉스/NNG+와/JC
공장자동화,	공장/NNG+자동/NNG+화/XSN+,/SP
제어계측,	제어/NNG+계측/NNG+,/SP
로봇,	로봇/NNG+,/SP
등을	등/NNB+을/JKO
망라한	망라/NNG+하/XSV+ㄴ/ETM
첨단제품	첨단/NNG+제품/NNG
기술의	기술/NNG+의/JKG
경연장으로	경연장/NNG+으로/JKB
활용한다.	활용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.365.4.1
또 수출상담회, 세라믹부품소재 산업 상생협력세미나, 항공기부품견본전시회, 대구·경북IT융합산업발전포럼, 전국 메카트로닉스경진대회시상식 및 수상작발표회, '대구·경북 기계금속 업종 구인구직 만남의 장 행사'등 다양한 행사가 동시에 열린다.

또	또/MAG
수출상담회,	수출/NNG+상담회/NNG+,/SP
세라믹부품소재	세라믹/NNG+부품/NNG+소재/NNG
산업	산업/NNG
상생협력세미나,	상생/NNG+협력/NNG+세미나/NNG+,/SP
항공기부품견본전시회,	항공기/NNG+부품/NNG+견본/NNG+전시회/NNG+,/SP
대구·경북IT융합산업발전포럼,	대구/NNP+·/SP+경북/NNP+IT/SL+융합/NNG+산업/NNG+발전/NNG+포럼/NNG+,/SP
전국	전국/NNG
메카트로닉스경진대회시상식	메카트로닉스/NNG+경진/NNG+대회/NNG+시상식/NNG
및	및/MAG
수상작발표회,	수상작/NNG+발표회/NNG+,/SP
'대구·경북	'/SS+대구/NNP+·/SP+경북/NNP
기계금속	기계/NNG+금속/NNG
업종	업종/NNG
구인구직	구인/NNG+구직/NNG
만남의	만남/NNG+의/JKG
장	장/NNG
행사'등	행사/NNG+'/SS+등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
행사가	행사/NNG+가/JKS
동시에	동시/NNG+에/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


