# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.134
metadata : {}


# id : NWRW1800000056.134.1.1
“탄생 100년, 윤동주 정본 시집은 아직 존재하지 않는다”

“탄생	“/SS+탄생/NNG
100년,	100/SN+년/NNB+,/SP
윤동주	윤동주/NNP
정본	정본/NNG
시집은	시집/NNG+은/JX
아직	아직/MAG
존재하지	존재/NNG+하/XSV+지/EC
않는다”	않/VX+는다/EF+”/SS


# id : NWRW1800000056.134.2.1
[한겨레] 일본의 한국문학 전문가 오무라 교수 주장

[한겨레]	[/SS+한겨레/NNP+]/SS
일본의	일본/NNP+의/JKG
한국문학	한국/NNP+문학/NNG
전문가	전문가/NNG
오무라	오무라/NNP
교수	교수/NNG
주장	주장/NNG


# id : NWRW1800000056.134.3.1
“육필원고와 현재 시집 사이에 차이 있어”

“육필원고와	“/SS+육필/NNG+원고/NNG+와/JC
현재	현재/MAG
시집	시집/NNG
사이에	사이/NNG+에/JKB
차이	차이/NNG
있어”	있/VA+어/EF+”/SS


# id : NWRW1800000056.134.4.1
펜클럽 주최 세계한글작가대회 특별강연

펜클럽	펜클럽/NNG
주최	주최/NNG
세계한글작가대회	세계/NNG+한글/NNG+작가/NNG+대회/NNG
특별강연	특별/NNG+강연/NNG


# id : NWRW1800000056.134.5.1
올해로 탄생 100주년을 맞은 윤동주의 시집 정본은 아직 존재하지 않는다는 주장이 나왔다.

올해로	올해/NNG+로/JKB
탄생	탄생/NNG
100주년을	100/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
윤동주의	윤동주/NNP+의/JKG
시집	시집/NNG
정본은	정본/NNG+은/JX
아직	아직/MAG
존재하지	존재/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.134.6.1
국제펜클럽한국본부(이사장 손해일) 주최로 12~15일 경북 경주화백컨벤션센터에서 열리는 제3회 세계한글작가대회에 참가하는 일본의 한국문학 전문가 오무라 마스오 와세다대 명예교수(사진)는 13일 오전에 행할 특별강연 ‘원고로 읽는 윤동주 시’에서 이렇게 주장했다.

국제펜클럽한국본부(이사장	국제펜클럽한국본부/NNP+(/SS+이사장/NNG
손해일)	손해일/NNP+)/SS
주최로	주최/NNG+로/JKB
12~15일	12/SN+~/SO+15/SN+일/NNB
경북	경북/NNP
경주화백컨벤션센터에서	경주화백컨벤션센터/NNP+에서/JKB
열리는	열리/VV+는/ETM
제3회	제/XPN+3/SN+회/NNB
세계한글작가대회에	세계/NNG+한글/NNG+작가/NNG+대회/NNG+에/JKB
참가하는	참가/NNG+하/XSV+는/ETM
일본의	일본/NNP+의/JKG
한국문학	한국/NNP+문학/NNG
전문가	전문가/NNG
오무라	오무라/NNP
마스오	마스오/NNP
와세다대	와세다대/NNP
명예교수(사진)는	명예/NNG+교수/NNG+(/SS+사진/NNG+)/SS+는/JX
13일	13/SN+일/NNB
오전에	오전/NNG+에/JKB
행할	행하/VV+ㄹ/ETM
특별강연	특별/NNG+강연/NNG
‘원고로	‘/SS+원고/NNG+로/JKB
읽는	읽/VV+는/ETM
윤동주	윤동주/NNP
시’에서	시/NNG+’/SS+에서/JKB
이렇게	이렇/VA+게/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.134.6.2
오무라 교수는 1985년 중국 용정에서 윤동주의 묘를 처음 발견했으며 <윤동주와 한국문학> <조선 근대문학과 일본> 등의 연구서를 낸 한국문학 전문가다.

오무라	오무라/NNP
교수는	교수/NNG+는/JX
1985년	1985/SN+년/NNB
중국	중국/NNP
용정에서	용정/NNP+에서/JKB
윤동주의	윤동주/NNP+의/JKG
묘를	묘/NNG+를/JKO
처음	처음/NNG
발견했으며	발견/NNG+하/XSV+았/EP+으며/EC
<윤동주와	</SS+윤동주/NNP+와/JC
한국문학>	한국/NNP+문학/NNG+>/SS
<조선	</SS+조선/NNP
근대문학과	근대/NNG+문학/NNG+과/JC
일본>	일본/NNP+>/SS
등의	등/NNB+의/JKG
연구서를	연구서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
한국문학	한국/NNP+문학/NNG
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.134.6.3
1999년 왕신영·심원섭 등 한국인 연구자들과 윤동주의 조카 윤인석 교수와 함께 <사진판 윤동주 자필 시고 전집>을 펴낸 바 있는 그는 미리 배포한 강연 원고에서 ‘병원’ ‘곡간’ ‘아침’ ‘별 헤는 밤’ 등 윤동주의 시 네 편을 예로 들며 정본 확정이 불가능한 까닭을 설명한다.

1999년	1999/SN+년/NNB
왕신영·심원섭	왕신영/NNP+·/SP+심원섭/NNP
등	등/NNB
한국인	한국인/NNG
연구자들과	연구자/NNG+들/XSN+과/JC
윤동주의	윤동주/NNP+의/JKG
조카	조카/NNG
윤인석	윤인석/NNP
교수와	교수/NNG+와/JKB
함께	함께/MAG
<사진판	</SS+사진판/NNG
윤동주	윤동주/NNP
자필	자필/NNG
