# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.381
metadata : {}


# id : NWRW1800000026.381.1.1
SK telecom_국가적 차원의 성장동력 만드는 '7대 플랫폼' 선정

SK	SK/SL
telecom_국가적	telecom/SL+_/SW+국가/NNG+적/XSN
차원의	차원/NNG+의/JKG
성장동력	성장/NNG+동력/NNG
만드는	만들/VV+는/ETM
'7대	'/SS+7/SN+대/NNG
플랫폼'	플랫폼/NNG+'/SS
선정	선정/NNG


# id : NWRW1800000026.381.2.1
SK텔레콤은 국가적 차원의 성장동력을 창출하기 위해 '글로벌 플랫폼 사업자'를 목표로 '7개 조기 육성 서비스 플랫폼군'을 선정해 추진하고 있다.

SK텔레콤은	SK텔레콤/NNP+은/JX
국가적	국가/NNG+적/XSN
차원의	차원/NNG+의/JKG
성장동력을	성장/NNG+동력/NNG+을/JKO
창출하기	창출/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
'글로벌	'/SS+글로벌/NNG
플랫폼	플랫폼/NNG
사업자'를	사업자/NNG+'/SS+를/JKO
목표로	목표/NNG+로/JKB
'7개	'/SS+7/SN+개/NNB
조기	조기/NNG
육성	육성/NNG
서비스	서비스/NNG
플랫폼군'을	플랫폼군/NNG+'/SS+을/JKO
선정해	선정/NNG+하/XSV+아/EC
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.381.3.1
'서비스 플랫폼'이란 글로벌 SNS(소셜네트워크서비스)인 페이스북이나 구글 맵스(지도), 애플의 온라인 응용프로그램 장터인 '아이튠스'처럼 콘텐츠와 서비스, 애플리케이션(응용프로그램)을 고객의 단말기에 전달하는 그릇을 일컫는다.

'서비스	'/SS+서비스/NNG
플랫폼'이란	플랫폼/NNG+'/SS+이란/JX
글로벌	글로벌/NNG
SNS(소셜네트워크서비스)인	SNS/SL+(/SS+소셜/NNG+네트워크/NNG+서비스/NNG+)/SS+이/VCP+ㄴ/ETM
페이스북이나	페이스북/NNP+이나/JC
구글	구글/NNP
맵스(지도),	맵스/NNP+(/SS+지도/NNG+)/SS+,/SP
애플의	애플/NNP+의/JKG
온라인	온라인/NNG
응용프로그램	응용/NNG+프로그램/NNG
장터인	장터/NNG+이/VCP+ㄴ/ETM
'아이튠스'처럼	'/SS+아이튠스/NNP+'/SS+처럼/JKB
콘텐츠와	콘텐츠/NNG+와/JC
서비스,	서비스/NNG+,/SP
애플리케이션(응용프로그램)을	애플리케이션/NNG+(/SS+응용/NNG+프로그램/NNG+)/SS+을/JKO
고객의	고객/NNG+의/JKG
단말기에	단말기/NNG+에/JKB
전달하는	전달/NNG+하/XSV+는/ETM
그릇을	그릇/NNG+을/JKO
일컫는다.	일컫/VV+는다/EF+./SF


# id : NWRW1800000026.381.3.2
예를 들어 지도만 보여주거나 음악만 틀어주면 응용프로그램에 불과하지만, 이를 외부 개발자와 협력해 생산할 수 있으면 '서비스 플랫폼'이 되는 것.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
지도만	지도/NNG+만/JX
보여주거나	보이/VV+어/EC+주/VX+거나/EC
음악만	음악/NNG+만/JX
틀어주면	틀/VV+어/EC+주/VX+면/EC
응용프로그램에	응용/NNG+프로그램/NNG+에/JKB
불과하지만,	불과/MAG+하/XSA+지만/EC+,/SP
이를	이/NP+를/JKO
외부	외부/NNG
개발자와	개발자/NNG+와/JKB
협력해	협력/NNG+하/XSV+아/EC
생산할	생산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으면	있/VA+으면/EC
'서비스	'/SS+서비스/NNG
플랫폼'이	플랫폼/NNG+'/SS+이/JKC
되는	되/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000026.381.3.3
SK텔레콤은 지도 서비스인 'T맵'과 문자서비스, 온라인 응용프로그램 장터 'T스토어' 등을 이러한 서비스 플랫폼으로 발전시킨다는 계획이다.

SK텔레콤은	SK텔레콤/NNP+은/JX
지도	지도/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
'T맵'과	'/SS+T맵/NNP+'/SS+과/JC
문자서비스,	문자/NNG+서비스/NNG+,/SP
온라인	온라인/NNG
