# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.161
metadata : {}


# id : NWRW1800000022.161.1.1
[수도권Ⅰ] 보트·요트·해양장비 수출상담회 개최;경기국제보트쇼 기간 중

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
보트·요트·해양장비	보트/NNG+·/SP+요트/NNG+·/SP+해양/NNG+장비/NNG
수출상담회	수출/NNG+상담회/NNG
개최;경기국제보트쇼	개최/NNG+;/SW+경기/NNP+국제/NNG+보트/NNG+쇼/NNG
기간	기간/NNG
중	중/NNB


# id : NWRW1800000022.161.2.1
경기도는 해양레저산업 육성을 위해 '2009 경기국제보트쇼'(6월 3~7일)에 참가하는 해외 바이어와 함께 수출상담회를 개최한다.

경기도는	경기도/NNP+는/JX
해양레저산업	해양/NNG+레저/NNG+산업/NNG
육성을	육성/NNG+을/JKO
위해	위하/VV+아/EC
'2009	'/SS+2009/SN
경기국제보트쇼'(6월	경기/NNP+국제/NNG+보트/NNG+쇼/NNG+'/SS+(/SS+6/SN+월/NNB
3~7일)에	3/SN+~/SO+7/SN+일/NNB+)/SS+에/JKB
참가하는	참가/NNG+하/XSV+는/ETM
해외	해외/NNG
바이어와	바이어/NNG+와/JKB
함께	함께/MAG
수출상담회를	수출/NNG+상담회/NNG+를/JKO
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.161.3.1
이번 수출상담회는 6월 3일부터 4일까지 이틀간 국제보트쇼 행사장인 화성시 서신면 전곡항에서 열리며 보트쇼를 찾은 미국·유럽 등 20개국 130여명의 해외 바이어와 국내 200여개 해양레저산업체가 1대1 비즈니스 상담방식으로 이루어진다.

이번	이번/NNG
수출상담회는	수출/NNG+상담회/NNG+는/JX
6월	6/SN+월/NNB
3일부터	3/SN+일/NNB+부터/JX
4일까지	4/SN+일/NNB+까지/JX
이틀간	이틀/NNG+간/XSN
국제보트쇼	국제/NNG+보트/NNG+쇼/NNG
행사장인	행사장/NNG+이/VCP+ㄴ/ETM
화성시	화성시/NNP
서신면	서신면/NNP
전곡항에서	전곡항/NNP+에서/JKB
열리며	열리/VV+며/EC
보트쇼를	보트/NNG+쇼/NNG+를/JKO
찾은	찾/VV+은/ETM
미국·유럽	미국/NNP+·/SP+유럽/NNP
등	등/NNB
20개국	20/SN+개국/NNB
130여명의	130/SN+여/XSN+명/NNB+의/JKG
해외	해외/NNG
바이어와	바이어/NNG+와/JC
국내	국내/NNG
200여개	200/SN+여/XSN+개/NNB
해양레저산업체가	해양/NNG+레저/NNG+산업체/NNG+가/JKS
1대1	1/SN+대/NNB+1/SN
비즈니스	비즈니스/NNG
상담방식으로	상담/NNG+방식/NNG+으로/JKB
이루어진다.	이루어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.161.4.1
주요 상담 품목은 보트, 요트, 해양레저장비 및 관련 액세서리, 선박엔진 등이며 소형가전, 해양GPS와 같은 IT·전자제품 관련 품목 업체들의 상담에 집중할 계획이다.

주요	주요/NNG
상담	상담/NNG
품목은	품목/NNG+은/JX
보트,	보트/NNG+,/SP
요트,	요트/NNG+,/SP
해양레저장비	해양/NNG+레저/NNG+장비/NNG
및	및/MAG
관련	관련/NNG
액세서리,	액세서리/NNG+,/SP
선박엔진	선박/NNG+엔진/NNG
등이며	등/NNB+이/VCP+며/EC
소형가전,	소형/NNG+가전/NNG+,/SP
해양GPS와	해양/NNG+GPS/SL+와/JKB
같은	같/VA+은/ETM
IT·전자제품	IT/SL+·/SP+전자/NNG+제품/NNG
품목	품목/NNG
업체들의	업체/NNG+들/XSN+의/JKG
상담에	상담/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.161.5.1
해외 바이어와 국내업체 간 상담은 전곡항 내 콘퍼런스 룸 및 전시장 등의 26개 상담부스와 30개 상담테이블에서 실시할 예정이며 원활한 상담을 위해 바이어마다 무료 통역원을 배치할 계획이다.

해외	해외/NNG
바이어와	바이어/NNG+와/JC
국내업체	국내/NNG+업체/NNG
간	간/NNB
상담은	상담/NNG+은/JX
전곡항	전곡항/NNP
내	내/NNB
콘퍼런스	콘퍼런스/NNG
룸	룸/NNG
및	및/MAG
전시장	전시장/NNG
등의	등/NNB+의/JKG
26개	26/SN+개/NNB
상담부스와	상담/NNG+부스/NNG+와/JC
30개	30/SN+개/NNB
상담테이블에서	상담/NNG+테이블/NNG+에서/JKB
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이며	예정/NNG+이/VCP+며/EC
원활한	원활/NNG+하/XSA+ㄴ/ETM
상담을	상담/NNG+을/JKO
위해	위하/VV+아/EC
바이어마다	바이어/NNG+마다/JX
무료	무료/NNG
통역원을	통역원/NNG+을/JKO
배치할	배치/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.161.6.1
경기도는 이번 보트쇼 해외바이어 초청 수출상담회에 참여할 국내 업체를 5월 15일까지 모집할 계획이며 참가를 희망하는 업체는 경기도수출지원안내시스템(http://trade.gg.go.kr)에서 온라인 신청하면 된다.

경기도는	경기도/NNP+는/JX
이번	이번/NNG
보트쇼	보트/NNG+쇼/NNG
해외바이어	해외/NNG+바이어/NNG
초청	초청/NNG
수출상담회에	수출/NNG+상담회/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
국내	국내/NNG
업체를	업체/NNG+를/JKO
5월	5/SN+월/NNB
15일까지	15/SN+일/NNB+까지/JX
모집할	모집/NNG+하/XSV+ㄹ/ETM
계획이며	계획/NNG+이/VCP+며/EC
참가를	참가/NNG+를/JKO
희망하는	희망/NNG+하/XSV+는/ETM
업체는	업체/NNG+는/JX
경기도수출지원안내시스템(http://trade.gg.go.kr)에서	경기도/NNP+수출/NNG+지원/NNG+안내/NNG+시스템/NNG+(/SS+http/SL+:/SP+//SP+//SP+trade/SL+./SP+gg/SL+./SP+go/SL+./SP+kr/SL+)/SS+에서/JKB
온라인	온라인/NNG
신청하면	신청/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


