# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.101
metadata : {}


# id : NWRW1800000049.101.1.1
열화 같은 ‘응답’에 불친절한 결말

열화	열화/NNG
같은	같/VA+은/ETM
‘응답’에	‘/SS+응답/NNG+’/SS+에/JKB
불친절한	불/XPN+친절/NNG+하/XSA+ㄴ/ETM
결말	결말/NNG


# id : NWRW1800000049.101.2.1
종영 ‘응답하라 1988’이 남긴 것

종영	종영/NNG
‘응답하라	‘/SS+응답/NNG+하/XSV+라/EF
1988’이	1988/SN+’/SS+이/JKS
남긴	남기/VV+ㄴ/ETM
것	것/NNB


# id : NWRW1800000049.101.3.1
시청자의 응답은 뜨거웠다.

시청자의	시청자/NNG+의/JKG
응답은	응답/NNG+은/JX
뜨거웠다.	뜨겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.101.4.1
16일 방송된 tvN 드라마 ‘응답하라 1988(응팔)’ 마지막 회인 20화가 평균 시청률 19.6%(닐슨코리아 전국 유료가구 기준)를 기록했다.

16일	16/SN+일/NNB
방송된	방송/NNG+되/XSV+ㄴ/ETM
tvN	tvN/SL
드라마	드라마/NNG
‘응답하라	‘/SS+응답/NNG+하/XSV+라/EF
1988(응팔)’	1988/SN+(/SS+응팔/NNP+)/SS+’/SS
마지막	마지막/NNG
회인	회/NNB+이/VCP+ㄴ/ETM
20화가	20/SN+화/NNB+가/JKS
평균	평균/NNG
시청률	시청/NNG+률/XSN
19.6%(닐슨코리아	19/SN+./SP+6/SN+%/SW+(/SS+닐슨코리아/NNP
전국	전국/NNG
유료가구	유료/NNG+가구/NNG
기준)를	기준/NNG+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.101.4.2
15일 방송된 19화(18.6%)에 이어 이틀 연속 역대 케이블 프로그램 최고 시청률을 갈아 치웠다.

15일	15/SN+일/NNB
방송된	방송/NNG+되/XSV+ㄴ/ETM
19화(18.6%)에	19/SN+화/NNB+(/SS+18/SN+./SP+6/SN+%/SW+)/SS+에/JKB
이어	잇/VV+어/EC
이틀	이틀/NNG
연속	연속/NNG
역대	역대/NNG
케이블	케이블/NNG
프로그램	프로그램/NNG
최고	최고/NNG
시청률을	시청/NNG+률/XSN+을/JKO
갈아	갈/VV+아/EC
치웠다.	치우/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.101.4.3
이전 기록은 2010년 10월 22일 엠넷 오디션 프로그램 ‘슈퍼스타K2’ 결승전이 기록한 18.1%였다.

이전	이전/NNG
기록은	기록/NNG+은/JX
2010년	2010/SN+년/NNB
10월	10/SN+월/NNB
22일	22/SN+일/NNB
엠넷	엠넷/NNP
오디션	오디션/NNG
프로그램	프로그램/NNG
‘슈퍼스타K2’	‘/SS+슈퍼스타/NNG+K/SL+2/SN+’/SS
결승전이	결승전/NNG+이/JKS
기록한	기록/NNG+하/XSV+ㄴ/ETM
18.1%였다.	18/SN+./SP+1/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.101.5.1
1988년 서울 도봉구 쌍문동 골목길의 훈훈한 풍경을 담은 ‘응답하라’ 시리즈의 세 번째 이야기는 ‘응답하라 1997’ ‘응답하라 1994’ 같은 이전 편보다 뜨거운 반응을 얻었다.

1988년	1988/SN+년/NNB
서울	서울/NNP
도봉구	도봉구/NNP
쌍문동	쌍문동/NNP
골목길의	골목길/NNG+의/JKG
훈훈한	훈훈하/VA+ㄴ/ETM
풍경을	풍경/NNG+을/JKO
담은	담/VV+은/ETM
‘응답하라’	‘/SS+응답/NNG+하/XSV+라/EF+’/SS
시리즈의	시리즈/NNG+의/JKG
세	세/MMN
번째	번/NNB+째/XSN
이야기는	이야기/NNG+는/JX
‘응답하라	‘/SS+응답/NNG+하/XSV+라/EF
1997’	1997/SN+’/SS
1994’	1994/SN+’/SS
같은	같/VA+은/ETM
이전	이전/NNG
편보다	편/NNB+보다/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.101.6.1
○ 공동체에 대한 추억을 담아내

○	○/SW
공동체에	공동체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추억을	추억/NNG+을/JKO
담아내	담아내/VV+어/EC


# id : NWRW1800000049.101.7.1
‘응팔’은 청춘 멜로에 방점을 찍었던 이전 시리즈와 달리 가족 극이었다.

‘응팔’은	‘/SS+응팔/NNP+’/SS+은/JX
청춘	청춘/NNG
멜로에	멜로/NNG+에/JKB
방점을	방점/NNG+을/JKO
찍었던	찍/VV+었/EP+던/ETM
이전	이전/NNG
시리즈와	시리즈/NNG+와/JKB
달리	달리/MAG
가족	가족/NNG
극이었다.	극/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.101.7.2
덕선(혜리) 택(박보검) 정환(류준열) 선우(고경표) 동룡(이동휘) 등 골목길 5인방의 얽히고설킨 러브라인뿐만 아니라 이들 가족의 이야기를 비중 있게 다뤘다.

덕선(혜리)	덕선/NNP+(/SS+혜리/NNP+)/SS
택(박보검)	택/NNP+(/SS+박보검/NNP+)/SS
정환(류준열)	정환/NNP+(/SS+류준열/NNP+)/SS
선우(고경표)	선우/NNP+(/SS+고경표/NNP+)/SS
동룡(이동휘)	동룡/NNP+(/SS+이동휘/NNP+)/SS
등	등/NNB
골목길	골목길/NNG
5인방의	5/SN+인방/NNG+의/JKG
얽히고설킨	얽히고설키/VV+ㄴ/ETM
러브라인뿐만	러브/NNG+라인/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
이들	이/NP+들/XSN
가족의	가족/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
비중	비중/NNG
있게	있/VA+게/EC
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.101.8.1
명예퇴직에 내몰린 중년 가장 동일(성동일)의 애환, 갱년기 50대 여성 미란(라미란)의 어려움, 배우자를 먼저 보낸 무성(최무성)과 선영(김선영)의 재혼 등을 다뤄 젊은층과 장년층 시청자를 모두 잡았다.

명예퇴직에	명예퇴직/NNG+에/JKB
내몰린	내몰리/VV+ㄴ/ETM
중년	중년/NNG
가장	가장/NNG
동일(성동일)의	동일/NNP+(/SS+성동일/NNP+)/SS+의/JKG
애환,	애환/NNG+,/SP
갱년기	갱년기/NNG
50대	50/SN+대/NNB
여성	여성/NNG
미란(라미란)의	미란/NNP+(/SS+라미란/NNP+)/SS+의/JKG
어려움,	어려움/NNG+,/SP
배우자를	배우자/NNG+를/JKO
먼저	먼저/MAG
보낸	보내/VV+ㄴ/ETM
무성(최무성)과	무성/NNP+(/SS+최무성/NNP+)/SS+과/JC
선영(김선영)의	선영/NNP+(/SS+김선영/NNP+)/SS+의/JKG
재혼	재혼/NNG
등을	등/NNB+을/JKO
다뤄	다루/VV+어/EC
젊은층과	젊/VA+은/ETM+층/NNG+과/JKB
장년층	장년/NNG+층/XSN
시청자를	시청자/NNG+를/JKO
모두	모두/MAG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.101.8.2
정덕현 대중문화평론가는 “가족 극에서 흔히 봐왔던 세대 갈등과 막장 없이 참신하게 풀어낸 다양한 에피소드는 여주인공 남편 찾기 못지않은 재미를 주며 시청층을 넓혔다”고 평가했다.

정덕현	정덕현/NNP
대중문화평론가는	대중문화/NNG+평론가/NNG+는/JX
“가족	“/SS+가족/NNG
극에서	극/NNG+에서/JKB
흔히	흔히/MAG
봐왔던	보/VV+아/EC+오/VX+았/EP+던/ETM
세대	세대/NNG
갈등과	갈등/NNG+과/JC
막장	막장/NNG
없이	없이/MAG
참신하게	참신하/VA+게/EC
풀어낸	풀어내/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
에피소드는	에피소드/NNG+는/JX
여주인공	여주인공/NNG
남편	남편/NNG
찾기	찾/VV+기/ETN
못지않은	못지않/VA+은/ETM
재미를	재미/NNG+를/JKO
주며	주/VV+며/EC
시청층을	시청/NNG+층/XSN+을/JKO
넓혔다”고	넓히/VV+었/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.101.9.1
과거 이야기와 현재의 문화, 생활코드를 적절히 조화시킨 것도 성공의 이유로 꼽힌다.

과거	과거/NNG
이야기와	이야기/NNG+와/JC
현재의	현재/NNG+의/JKG
문화,	문화/NNG+,/SP
생활코드를	생활/NNG+코드/NNG+를/JKO
적절히	적절히/MAG
조화시킨	조화/NNG+시키/XSV+ㄴ/ETM
것도	것/NNB+도/JX
성공의	성공/NNG+의/JKG
이유로	이유/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.101.9.2
당시로서는 흔하지 않았지만 선우와 보라 같은 연상연하 커플은 요즘은 자연스럽게 받아들이는 분위기다.

당시로서는	당시/NNG+로서/JKB+는/JX
흔하지	흔하/VA+지/EC
않았지만	않/VX+았/EP+지만/EC
선우와	선우/NNP+와/JC
보라	보라/NNP
같은	같/VA+은/ETM
연상연하	연상/NNG+연하/NNG
커플은	커플/NNG+은/JX
요즘은	요즘/NNG+은/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
받아들이는	받아들이/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.101.9.3
공부에는 적성이 안 맞지만 한 분야에 몰두하는 ‘덕후’ 정봉(안재홍)이 사업가로 성공하는 설정도 과거를 현재화했다는 분석이다.

공부에는	공부/NNG+에/JKB+는/JX
적성이	적성/NNG+이/JKS
안	안/MAG
맞지만	맞/VV+지만/EC
한	한/MMN
분야에	분야/NNG+에/JKB
몰두하는	몰두/NNG+하/XSV+는/ETM
‘덕후’	‘/SS+덕후/NNG+’/SS
정봉(안재홍)이	정봉/NNP+(/SS+안재홍/NNP+)/SS+이/JKS
사업가로	사업가/NNG+로/JKB
성공하는	성공/NNG+하/XSV+는/ETM
설정도	설정/NNG+도/JX
과거를	과거/NNG+를/JKO
현재화했다는	현재/NNG+화/XSN+하/XSV+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.101.10.1
