# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.309
metadata : {}


# id : NWRW1800000048.309.1.1
‘국정화 반대’ 징계 국립대 부설학교부터?

‘국정화	‘/SS+국정/NNG+화/XSN
반대’	반대/NNG+’/SS
징계	징계/NNG
국립대	국립대/NNG
부설학교부터?	부설/NNG+학교/NNG+부터/JX+?/SF


# id : NWRW1800000048.309.2.1
부설 중학 교사 소명자료 받아

부설	부설/NNG
중학	중학/NNG
교사	교사/NNG
소명자료	소명/NNG+자료/NNG
받아	받/VV+아/EF


# id : NWRW1800000048.309.3.1
‘본보기 희생양’ 우려 높아

‘본보기	‘/SS+본보기/NNG
희생양’	희생양/NNG+’/SS
우려	우려/NNG
높아	높/VA+아/EF


# id : NWRW1800000048.309.4.1
국립대 부설 초·중·고 교사들이 ‘역사 교과서 국정화 반대’ 시국선언과 관련한 교육부 징계의 ‘본보기’가 될 수 있다는 우려가 나오고 있다.

국립대	국립대/NNG
부설	부설/NNG
초·중·고	초·중·고/NNG
교사들이	교사/NNG+들/XSN+이/JKS
‘역사	‘/SS+역사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
반대’	반대/NNG+’/SS
시국선언과	시국/NNG+선언/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
교육부	교육부/NNG
징계의	징계/NNG+의/JKG
‘본보기’가	‘/SS+본보기/NNG+’/SS+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.309.4.2
진보 성향 교육감들이 교육부의 징계 요구에 사실상 반대하고 있는 가운데, 교육부가 직접 영향력을 행사하는 국립대 부설 학교들에 징계 압박이 쏠릴 수 있기 때문이다.

진보	진보/NNG
성향	성향/NNG
교육감들이	교육감/NNG+들/XSN+이/JKS
교육부의	교육부/NNG+의/JKG
징계	징계/NNG
요구에	요구/NNG+에/JKB
사실상	사실/NNG+상/XSN
반대하고	반대/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
교육부가	교육부/NNG+가/JKS
직접	직접/MAG
영향력을	영향력/NNG+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
국립대	국립대/NNG
부설	부설/NNG
학교들에	학교/NNG+들/XSN+에/JKB
압박이	압박/NNG+이/JKS
쏠릴	쏠리/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.309.5.1
비수도권 지역의 한 사범대 부설 중학교 ㄱ 교사는 27일 “우리 학교 교장이 지난 24일 시국선언 참여 교사들을 면담해 경위를 파악한 뒤 징계에 대비한 소명자료를 받았다”며 “이는 다른 공립학교에서 아직 아무런 징계 움직임이 없는 것과 대조적인 ‘속도전’”이라고 말했다.

비수도권	비/XPN+수도/NNG+권/XSN
지역의	지역/NNG+의/JKG
한	한/MMN
사범대	사범대/NNG
부설	부설/NNG
중학교	중학교/NNG
ㄱ	ㄱ/NNG
교사는	교사/NNG+는/JX
27일	27/SN+일/NNB
“우리	“/SS+우리/NP
학교	학교/NNG
교장이	교장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
시국선언	시국/NNG+선언/NNG
참여	참여/NNG
교사들을	교사/NNG+들/XSN+을/JKO
면담해	면담/NNG+하/XSV+아/EC
