# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.165
metadata : {}


# id : NWRW1800000054.165.1.1
노인정액제냐 중증 입원비냐… 정부, 의료비지원 고민

노인정액제냐	노인/NNG+정액/NNG+제/XSN+이/VCP+냐/EF
중증	중증/NNG
입원비냐…	입원비/NNG+이/VCP+냐/EF+…/SE
정부,	정부/NNG+,/SP
의료비지원	의료비/NNG+지원/NNG
고민	고민/NNG


# id : NWRW1800000054.165.2.1
의료계 "정액제로 노인 부담 늘어… 보조금 늘려야" vs 복지부 "중증질환 보장부터 늘릴지 우선순위 검토"

의료계	의료/NNG+계/XSN
"정액제로	"/SS+정액/NNG+제/XSN+로/JKB
노인	노인/NNG
부담	부담/NNG
늘어…	늘/VV+어/EC+…/SE
보조금	보조금/NNG
늘려야"	늘리/VV+어야/EC+"/SS
vs	vs/SL
복지부	복지부/NNG
"중증질환	"/SS+중증/NNG+질환/NNG
보장부터	보장/NNG+부터/JX
늘릴지	늘리/VV+ㄹ지/EC
우선순위	우선순위/NNG
검토"	검토/NNG+"/SS


# id : NWRW1800000054.165.3.1
전남에 사는 양모(71) 할머니는 요즘 동네 의원을 찾는 횟수를 대폭 줄였다.

전남에	전남/NNP+에/JKB
사는	살/VV+는/ETM
양모(71)	양/NNP+모/NP+(/SS+71/SN+)/SS
할머니는	할머니/NNG+는/JX
요즘	요즘/NNG
동네	동네/NNG
의원을	의원/NNG+을/JKO
찾는	찾/VV+는/ETM
횟수를	횟수/NNG+를/JKO
대폭	대폭/MAG
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.165.3.2
허리가 자주 아파 1주일에 2~3번 병원을 찾아 핫팩·초음파·전기자극 등 '물리치료 3종 세트' 치료를 받았는데, 1500원 하던 진료비가 작년부터 4700원으로 올랐기 때문이다.

허리가	허리/NNG+가/JKS
자주	자주/MAG
아파	아프/VA+아/EC
1주일에	1/SN+주일/NNB+에/JKB
2~3번	2/SN+~/SO+3/SN+번/NNB
병원을	병원/NNG+을/JKO
찾아	찾/VV+아/EC
핫팩·초음파·전기자극	핫팩/NNG+·/SP+초/XPN+음파/NNG+·/SP+전기/NNG+자극/NNG
등	등/NNB
'물리치료	'/SS+물리/NNG+치료/NNG
3종	3/SN+종/NNG
세트'	세트/NNG+'/SS
치료를	치료/NNG+를/JKO
받았는데,	받/VV+았/EP+는데/EC+,/SP
1500원	1500/SN+원/NNB
하던	하/VV+던/ETM
진료비가	진료비/NNG+가/JKS
작년부터	작년/NNG+부터/JX
4700원으로	4700/SN+원/NNB+으로/JKB
올랐기	오르/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.165.3.3
양 할머니는 "허리 아파도 1주일에 한 번 겨우 병원 간다"면서 "아픈 노인에게 왜 이렇게 진료비를 많이 올리는지 모르겠다"고 말했다.

양	양/NNP
할머니는	할머니/NNG+는/JX
"허리	"/SS+허리/NNG
아파도	아프/VA+아도/EC
1주일에	1/SN+주일/NNB+에/JKB
한	한/MMN
번	번/NNB
겨우	겨우/MAG
병원	병원/NNG
간다"면서	가/VV+ㄴ다/EF+"/SS+면서/EC
"아픈	"/SS+아프/VA+ㄴ/ETM
노인에게	노인/NNG+에게/JKB
왜	왜/MAG
이렇게	이렇/VA+게/EC
진료비를	진료비/NNG+를/JKO
많이	많이/MAG
올리는지	올리/VV+는지/EC
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.165.4.1
정부가 지난달 열린 '내수 활성화 관계 장관 회의'에서 "'동네 의원 외래 진료 본인 부담금 노인정액제'(이하 노인정액제) 개편 방안을 마련하겠다"고 밝히면서 관련 논의가 빨라지고 있다.

정부가	정부/NNG+가/JKS
지난달	지난달/NNG
열린	열리/VV+ㄴ/ETM
'내수	'/SS+내수/NNG
활성화	활성/NNG+화/XSN
관계	관계/NNG
장관	장관/NNG
회의'에서	회의/NNG+'/SS+에서/JKB
"'동네	"/SS+'/SS+동네/NNG
의원	의원/NNG
외래	외래/NNG
진료	진료/NNG
본인	본인/NNG
부담금	부담금/NNG
노인정액제'(이하	노인/NNG+정액/NNG+제/XSN+'/SS+(/SS+이하/NNG
노인정액제)	노인/NNG+정액/NNG+제/XSN+)/SS
개편	개편/NNG
방안을	방안/NNG+을/JKO
마련하겠다"고	마련/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝히면서	밝히/VV+면서/EC
관련	관련/NNG
논의가	논의/NNG+가/JKS
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.165.4.2
노인정액제란 노인이 의원급 의료 기관에서 진료를 받은 뒤 총진료비가 1만5000원 이하로 나오면 1500원만 내도록 하고, 1만5000원을 초과하면 진료비 총액의 30%를 내게 하는 제도다.

노인정액제란	노인/NNG+정액/NNG+제/XSN+란/JX
노인이	노인/NNG+이/JKS
의원급	의원/NNG+급/NNG
의료	의료/NNG
기관에서	기관/NNG+에서/JKB
진료를	진료/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
총진료비가	총/MMA+진료비/NNG+가/JKS
1만5000원	1/SN+만/NR+5000/SN+원/NNB
이하로	이하/NNG+로/JKB
나오면	나오/VV+면/EC
1500원만	1500/SN+원/NNB+만/JX
내도록	내/VV+도록/EC
하고,	하/VX+고/EC+,/SP
1만5000원을	1/SN+만/NR+5000/SN+원/NNB+을/JKO
초과하면	초과/NNG+하/XSV+면/EC
진료비	진료비/NNG
총액의	총액/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
내게	내/VV+게/EC
하는	하/VX+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.165.4.3
노인정액제 기준 금액(총진료비 1만5000원)과 기본 진료비(1500원)는 지난 2001년 이후 16년간 바뀌지 않고 있다.

노인정액제	노인/NNG+정액/NNG+제/XSN
기준	기준/NNG
금액(총진료비	금액/NNG+(/SS+총/MMA+진료비/NNG
1만5000원)과	1/SN+만/NR+5000/SN+원/NNB+)/SS+과/JC
기본	기본/NNG
진료비(1500원)는	진료비/NNG+(/SS+1500/SN+원/NNB+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
2001년	2001/SN+년/NNB
이후	이후/NNG
16년간	16/SN+년/NNB+간/XSN
바뀌지	바뀌/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.165.5.1
◇"가난한 노인, 병원도 제대로 못 가서야"

◇"가난한	◇/SW+"/SS+가난/NNG+하/XSA+ㄴ/ETM
노인,	노인/NNG+,/SP
병원도	병원/NNG+도/JX
제대로	제대로/MAG
못	못/MAG
가서야"	가/VV+아서/EC+야/JX+"/SS


# id : NWRW1800000054.165.6.1
정부는 "의료계와 협의체를 구성해 논의한 뒤 이르면 올 하반기부터 새 제도를 시행하겠다"는 방침이다.

정부는	정부/NNG+는/JX
"의료계와	"/SS+의료/NNG+계/XSN+와/JKB
협의체를	협의체/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
논의한	논의/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이르면	이르/VA+면/EC
올	올/NNG
하반기부터	하반기/NNG+부터/JX
새	새/MMA
제도를	제도/NNG+를/JKO
시행하겠다"는	시행/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.165.6.2
하지만 개편 방향을 놓고 의료계는 "정액제 기준 금액을 확 올리거나 국고 보조를 늘려 달라"고 주장하는 반면 정부는 "노인 의료비가 급증하니 신중하게 접근하자"는 입장을 갖고 있다.

하지만	하지만/MAJ
개편	개편/NNG
방향을	방향/NNG+을/JKO
놓고	놓/VV+고/EC
의료계는	의료/NNG+계/XSN+는/JX
"정액제	"/SS+정액/NNG+제/XSN
기준	기준/NNG
금액을	금액/NNG+을/JKO
확	확/MAG
올리거나	올리/VV+거나/EC
국고	국고/NNG
보조를	보조/NNG+를/JKO
늘려	늘리/VV+어/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
주장하는	주장/NNG+하/XSV+는/ETM
반면	반면/NNG
정부는	정부/NNG+는/JX
"노인	"/SS+노인/NNG
의료비가	의료비/NNG+가/JKS
급증하니	급증/NNG+하/XSV+니/EC
신중하게	신중/NNG+하/XSA+게/EC
접근하자"는	접근/NNG+하/XSV+자/EF+"/SS+는/ETM
입장을	입장/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.165.7.1
대한의사협회는 ①정액제 기준 금액을 상향 조정(1만5000→2만5000원)하거나 ②정액제(2만원까지 정액)와 정률제의 혼합 ③바우처 등 노인에겐 국고 보조 ④노인 연령별 본인 부담 차등 등과 같은 개선안을 정부에 전달한 바 있다.

대한의사협회는	대한의사협회/NNP+는/JX
①정액제	①/SW+정액/NNG+제/XSN
기준	기준/NNG
금액을	금액/NNG+을/JKO
상향	상향/NNG
조정(1만5000→2만5000원)하거나	조정/NNG+(/SS+1/SN+만/NR+5000/SN+→/SW+2/SN+만/NR+5000/SN+원/NNB+)/SS+하/VV+거나/EC
②정액제(2만원까지	②/SW+정액/NNG+제/XSN+(/SS+2/SN+만/NR+원/NNB+까지/JX
정액)와	정액/NNG+)/SS+와/JC
정률제의	정률/NNG+제/XSN+의/JKG
혼합	혼합/NNG
③바우처	③/SW+바우처/NNG
등	등/NNB
노인에겐	노인/NNG+에게/JKB+ㄴ/JX
국고	국고/NNG
보조	보조/NNG
④노인	④/SW+노인/NNG
연령별	연령/NNG+별/XSN
본인	본인/NNG
부담	부담/NNG
차등	차등/NNG
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
개선안을	개선안/NNG+을/JKO
정부에	정부/NNG+에/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.165.7.2
기본적으로는 정액제 기준 금액을 확 올리거나 정부 보조를 늘려 달라는 뜻이다.

기본적으로는	기본/NNG+적/XSN+으로/JKB+는/JX
정액제	정액/NNG+제/XSN
기준	기준/NNG
금액을	금액/NNG+을/JKO
확	확/MAG
올리거나	올리/VV+거나/EC
정부	정부/NNG
보조를	보조/NNG+를/JKO
늘려	늘리/VV+어/EC
달라는	달/VX+라는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.165.7.3
의협 관계자는 "노인들이 경제적인 이유로 치료를 제대로 못 받으면 결국 노인의 건강권까지 침해할 수 있다"고 말했다.

의협	의협/NNP
관계자는	관계자/NNG+는/JX
"노인들이	"/SS+노인/NNG+들/XSN+이/JKS
경제적인	경제/NNG+적/XSN+이/VCP+ㄴ/ETM
이유로	이유/NNG+로/JKB
치료를	치료/NNG+를/JKO
제대로	제대로/MAG
못	못/MAG
받으면	받/VV+으면/EC
결국	결국/MAG
노인의	노인/NNG+의/JKG
건강권까지	건강/NNG+권/XSN+까지/JX
침해할	침해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.165.8.1
◇"2400억~5500억원 재정 필요"

◇"2400억~5500억원	◇/SW+"/SS+2400/SN+억/NR+~/SO+5500/SN+억/NR+원/NNB
재정	재정/NNG
필요"	필요/NNG+"/SS


# id : NWRW1800000054.165.9.1
정부도 노인정액제 기준 금액을 어떤 식으로든 손질할 필요가 있다는 입장이지만 한정된 건보 재정을 어디에 더 투입할지는 더 고민이 필요하다는 입장이다.

정부도	정부/NNG+도/JX
노인정액제	노인/NNG+정액/NNG+제/XSN
기준	기준/NNG
금액을	금액/NNG+을/JKO
어떤	어떤/MMD
식으로든	식/NNB+으로/JKB+이/VCP+든/EC
손질할	손질/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
입장이지만	입장/NNG+이/VCP+지만/EC
한정된	한정/NNG+되/XSV+ㄴ/ETM
건보	건보/NNG
재정을	재정/NNG+을/JKO
어디에	어디/NP+에/JKB
더	더/MAG
