# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.95
metadata : {}


# id : NWRW1800000045.95.1.1
GS그룹, 출범 10년, 전문성 앞세워 해외 시장 개척

GS그룹,	GS그룹/NNP+,/SP
출범	출범/NNG
10년,	10/SN+년/NNB+,/SP
전문성	전문/NNG+성/XSN
앞세워	앞세우/VV+어/EC
해외	해외/NNG
시장	시장/NNG
개척	개척/NNG


# id : NWRW1800000045.95.2.1
[광복 70년 경제성장 70년]

[광복	[/SS+광복/NNG
70년	70/SN+년/NNB
경제성장	경제/NNG+성장/NNG
70년]	70/SN+년/NNB+]/SS


# id : NWRW1800000045.95.3.1
GS그룹은 반세기에 걸친 LG그룹과의 동반자 관계를 성공적으로 매듭짓고 10년 전인 2005년 3월 출범했다.

GS그룹은	GS그룹/NNP+은/JX
반세기에	반세기/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
LG그룹과의	LG그룹/NNP+과/JKB+의/JKG
동반자	동반자/NNG
관계를	관계/NNG+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
매듭짓고	매듭짓/VV+고/EC
10년	10/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2005년	2005/SN+년/NNB
3월	3/SN+월/NNB
출범했다.	출범/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.95.3.2
1947년 허만정 씨와 구인회 LG그룹 창업회장이 락희화학공업사를 세울 때부터 이어 온 57년간의 동업 관계가 막을 내리고 새로운 기업의 출발을 알리는 순간이었다.

1947년	1947/SN+년/NNB
허만정	허만정/NNP
씨와	씨/NNB+와/JC
구인회	구인회/NNP
LG그룹	LG그룹/NNP
창업회장이	창업/NNG+회장/NNG+이/JKS
락희화학공업사를	락희화학공업사/NNP+를/JKO
세울	세우/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
이어	잇/VV+어/EC
온	오/VX+ㄴ/ETM
57년간의	57/SN+년/NNB+간/XSN+의/JKG
동업	동업/NNG
관계가	관계/NNG+가/JKS
막을	막/NNG+을/JKO
내리고	내리/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
기업의	기업/NNG+의/JKG
출발을	출발/NNG+을/JKO
알리는	알리/VV+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.95.4.1
GS그룹은 출범 이후 국내외의 여러 가지 어려운 경제 여건 속에서도 허창수 회장을 중심으로 에너지, 유통, 건설 분야에서 전문지식을 갖춘 경영진과 임직원 모두의 노력으로 비약적인 성장을 해 왔다.

GS그룹은	GS그룹/NNP+은/JX
출범	출범/NNG
이후	이후/NNG
국내외의	국내외/NNG+의/JKG
여러	여러/MMN
가지	가지/NNB
어려운	어렵/VA+ㄴ/ETM
경제	경제/NNG
여건	여건/NNG
속에서도	속/NNG+에서/JKB+도/JX
허창수	허창수/NNP
회장을	회장/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
에너지,	에너지/NNG+,/SP
유통,	유통/NNG+,/SP
건설	건설/NNG
분야에서	분야/NNG+에서/JKB
전문지식을	전문/NNG+지식/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
경영진과	경영진/NNG+과/JC
임직원	임직원/NNG
모두의	모두/NNG+의/JKG
노력으로	노력/NNG+으로/JKB
비약적인	비약/NNG+적/XSN+이/VCP+ㄴ/ETM
성장을	성장/NNG+을/JKO
해	하/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.95.5.1
허 회장은 그룹 출범을 앞둔 2005년 2월 기자간담회를 열고 “에너지와 유통 중심으로 사업을 확대해 이 분야를 이끄는 기업을 만들겠다”고 선언했다.

허	허/NNP
회장은	회장/NNG+은/JX
그룹	그룹/NNG
출범을	출범/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
2월	2/SN+월/NNB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
“에너지와	“/SS+에너지/NNG+와/JC
유통	유통/NNG
중심으로	중심/NNG+으로/JKB
사업을	사업/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
이	이/MMD
분야를	분야/NNG+를/JKO
이끄는	이끌/VV+는/ETM
기업을	기업/NNG+을/JKO
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.95.6.1
허 회장은 “경쟁력 있는 핵심 사업에 재원을 중점 투자해 사업의 집중력을 높이고 자회사와 계열사의 유통 관련 사업에서 시너지 효과를 만들어 낼 것”이라고 말한 바 있다.

허	허/NNP
회장은	회장/NNG+은/JX
“경쟁력	“/SS+경쟁력/NNG
있는	있/VA+는/ETM
핵심	핵심/NNG
사업에	사업/NNG+에/JKB
재원을	재원/NNG+을/JKO
중점	중점/NNG
투자해	투자/NNG+하/XSV+아/EC
사업의	사업/NNG+의/JKG
집중력을	집중력/NNG+을/JKO
높이고	높이/VV+고/EC
자회사와	자회사/NNG+와/JC
계열사의	계열사/NNG+의/JKG
유통	유통/NNG
관련	관련/NNG
사업에서	사업/NNG+에서/JKB
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
만들어	만들/VV+어/EC
낼	내/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.95.7.1
허 회장은 또 “바르고 유리알같이 투명한 기업을 만들어 지주회사뿐 아니라 자회사와 계열사도 사회적 책임을 다하도록 하겠다”고 말해 기업의 책임의식을 강조하기도 했다.

허	허/NNP
회장은	회장/NNG+은/JX
또	또/MAG
“바르고	“/SS+바르/VA+고/EC
유리알같이	유리알/NNG+같이/JKB
투명한	투명/NNG+하/XSA+ㄴ/ETM
기업을	기업/NNG+을/JKO
만들어	만들/VV+어/EC
지주회사뿐	지주/NNG+회사/NNG+뿐/JX
아니라	아니/VCN+라/EC
자회사와	자회사/NNG+와/JC
계열사도	계열사/NNG+도/JX
사회적	사회/NNG+적/XSN
책임을	책임/NNG+을/JKO
다하도록	다/MAG+하/XSV+도록/EC
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
기업의	기업/NNG+의/JKG
책임의식을	책임/NNG+의식/NNG+을/JKO
강조하기도	강조/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.95.8.1
출범 10년을 맞은 GS그룹은 지주회사인 ㈜GS와 GS에너지, GS칼텍스, GS리테일, GS홈쇼핑, GS EPS 등의 주요 자회사 및 계열사를 포함해 79개 기업으로 이루어져 있다.

출범	출범/NNG
10년을	10/SN+년/NNB+을/JKO
맞은	맞/VV+은/ETM
GS그룹은	GS그룹/NNP+은/JX
지주회사인	지주/NNG+회사/NNG+이/VCP+ㄴ/ETM
㈜GS와	㈜/SW+GS/SL+와/JC
GS에너지,	GS에너지/NNP+,/SP
GS칼텍스,	GS칼텍스/NNP+,/SP
GS리테일,	GS리테일/NNP+,/SP
GS홈쇼핑,	GS홈쇼핑/NNP+,/SP
GS	GS/SL
EPS	EPS/SL
등의	등/NNB+의/JKG
주요	주요/NNG
자회사	자회사/NNG
및	및/MAG
계열사를	계열사/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
79개	79/SN+개/NNB
기업으로	기업/NNG+으로/JKB
이루어져	이루어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.95.8.2
공정위 자산 규모 기준 재계 순위 7위(공기업 제외)의 기업집단으로 명실상부한 한국 대표 그룹 중 하나로 자리매김했다.

공정위	공정위/NNG
자산	자산/NNG
규모	규모/NNG
기준	기준/NNG
재계	재계/NNG
순위	순위/NNG
7위(공기업	7/SN+위/NNB+(/SS+공기업/NNG
제외)의	제외/NNG+)/SS+의/JKG
기업집단으로	기업/NNG+집단/NNG+으로/JKB
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
한국	한국/NNP
대표	대표/NNG
그룹	그룹/NNG
중	중/NNB
하나로	하나/NR+로/JKB
자리매김했다.	자리매김/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.95.9.1
출범 당시 23조 원이던 매출은 지난해 63조3000억 원으로, 18조7000억 원이던 자산은 58조2000억 원으로 각각 3배 정도로 늘었다.

출범	출범/NNG
당시	당시/NNG
23조	23/SN+조/NR
원이던	원/NNB+이/VCP+던/ETM
매출은	매출/NNG+은/JX
지난해	지난해/NNG
63조3000억	63/SN+조/NR+3000/SN+억/NR
원으로,	원/NNB+으로/JKB+,/SP
18조7000억	18/SN+조/NR+7000/SN+억/NR
자산은	자산/NNG+은/JX
58조2000억	58/SN+조/NR+2000/SN+억/NR
원으로	원/NNB+으로/JKB
각각	각각/MAG
3배	3/SN+배/NNG
정도로	정도/NNG+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.95.9.2
적극적으로 해외 시장 개척에 나서면서 해외 매출 비중은 30.9%에서 54.2%로 23.3%포인트 높아졌다.

적극적으로	적극/NNG+적/XSN+으로/JKB
해외	해외/NNG
시장	시장/NNG
개척에	개척/NNG+에/JKB
나서면서	나서/VV+면서/EC
매출	매출/NNG
비중은	비중/NNG+은/JX
30.9%에서	30/SN+./SP+9/SN+%/SW+에서/JKB
54.2%로	54/SN+./SP+2/SN+%/SW+로/JKB
23.3%포인트	23/SN+./SP+3/SN+%포인트/NNG
높아졌다.	높아지/VV+었/EP+다/EF+./SF


