# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.240
metadata : {}


# id : NWRW1800000049.240.1.1
30승 함께… 한국 女골퍼 ‘특급 도우미’

30승	30/SN+승/NNB
함께…	함께/MAG+…/SE
한국	한국/NNP
女골퍼	女/SH+골퍼/NNG
‘특급	‘/SS+특급/NNG
도우미’	도우미/NNG+’/SS


# id : NWRW1800000049.240.2.1
신지애 유소연 등 우승 도운 캐디 허든 올 시즌 국내 정착… 고진영과 찰떡호흡

신지애	신지애/NNP
유소연	유소연/NNP
등	등/NNB
우승	우승/NNG
도운	돕/VV+ㄴ/ETM
캐디	캐디/NNG
허든	허든/NNP
올	올/NNG
시즌	시즌/NNG
국내	국내/NNG
정착…	정착/NNG+…/SE
고진영과	고진영/NNP+과/JKB
찰떡호흡	찰떡/NNG+호흡/NNG


# id : NWRW1800000049.240.3.1
키 185cm에 0.1t이 넘는 우람한 체구인 그는 동네 아저씨처럼 푸근한 외모를 지녔다.

키	키/NNG
185cm에	185/SN+cm/SW+에/JKB
0.1t이	0/SN+./SP+1/SN+t/SW+이/JKS
넘는	넘/VV+는/ETM
우람한	우람하/VA+ㄴ/ETM
체구인	체구/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
동네	동네/NNG
아저씨처럼	아저씨/NNG+처럼/JKB
푸근한	푸근하/VA+ㄴ/ETM
외모를	외모/NNG+를/JKO
지녔다.	지니/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.240.4.1
19일 경기 양주 레이크우드CC에서 만난 한국여자프로골프(KLPGA)투어 간판 스타 고진영(21·넵스)의 호주인 캐디 딘 허든(52).

19일	19/SN+일/NNB
경기	경기/NNP
양주	양주/NNP
레이크우드CC에서	레이크우드/NNP+CC/SL+에서/JKB
만난	만나/VV+ㄴ/ETM
한국여자프로골프(KLPGA)투어	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS+투어/NNG
간판	간판/NNG
스타	스타/NNG
고진영(21·넵스)의	고진영/NNP+(/SS+21/SN+·/SP+넵스/NNP+)/SS+의/JKG
호주인	호주인/NNG
캐디	캐디/NNG
딘	딘/NNP
허든(52).	허든/NNP+(/SS+52/SN+)/SS+./SF


# id : NWRW1800000049.240.4.2
20일 이 골프장에서 개막하는 KB금융스타챔피언십을 앞두고 이날 고진영과 연습라운드에 나선 그는 다른 한국 선수들과 반갑게 인사부터 나눴다.

20일	20/SN+일/NNB
이	이/MMD
골프장에서	골프장/NNG+에서/JKB
개막하는	개막/NNG+하/XSV+는/ETM
KB금융스타챔피언십을	KB금융/NNP+스타/NNG+챔피언십/NNG+을/JKO
앞두고	앞두/VV+고/EC
이날	이날/NNG
고진영과	고진영/NNP+과/JKB
연습라운드에	연습/NNG+라운드/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
그는	그/NP+는/JX
다른	다른/MMD
한국	한국/NNP
선수들과	선수/NNG+들/XSN+과/JKB
반갑게	반갑/VA+게/EC
인사부터	인사/NNG+부터/JX
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.240.5.1
허든은 한국 선수 특급 도우미로 불린다.

허든은	허든/NNP+은/JX
한국	한국/NNP
선수	선수/NNG
특급	특급/NNG
도우미로	도우미/NNG+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.240.5.2
2008년부터 미국여자프로골프(LPGA)투어에서 뛰던 신지애, 유소연, 서희경, 장하나, 전인지, 김효주의 캐디를 맡은 뒤 올해부터는 한국에 둥지를 마련하고 고진영과 호흡을 맞추고 있다.

2008년부터	2008/SN+년/NNB+부터/JX
미국여자프로골프(LPGA)투어에서	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS+투어/NNG+에서/JKB
뛰던	뛰/VV+던/ETM
신지애,	신지애/NNP+,/SP
유소연,	유소연/NNP+,/SP
서희경,	서희경/NNP+,/SP
장하나,	장하나/NNP+,/SP
전인지,	전인지/NNP+,/SP
김효주의	김효주/NNP+의/JKG
캐디를	캐디/NNG+를/JKO
맡은	맡/VV+은/ETM
뒤	뒤/NNG
올해부터는	올해/NNG+부터/JX+는/JX
한국에	한국/NNP+에/JKB
둥지를	둥지/NNG+를/JKO
마련하고	마련/NNG+하/XSV+고/EC
고진영과	고진영/NNP+과/JKB
호흡을	호흡/NNG+을/JKO
맞추고	맞추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.240.5.3
한국 선수와 합작한 우승만도 통산 30승이다.

한국	한국/NNP
선수와	선수/NNG+와/JKB
합작한	합작/NNG+하/XSV+ㄴ/ETM
우승만도	우승/NNG+만/JX+도/JX
통산	통산/NNG
30승이다.	30/SN+승/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.240.5.4
올 시즌 고진영이 KLPGA투어에서 15차례 톱10에 들며 특급 대회에서만 3승을 거둔 데는 허든의 역할이 컸다는 평가다.

올	올/NNG
시즌	시즌/NNG
고진영이	고진영/NNP+이/JKS
KLPGA투어에서	KLPGA/SL+투어/NNG+에서/JKB
15차례	15/SN+차례/NNG
