# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.240
metadata : {}


# id : NWRW1800000052.240.1.1
교사에게 두번이상 청탁하면 ‘청탁등록시스템’에 이름 올라가

교사에게	교사/NNG+에게/JKB
두번이상	두/MMN+번/NNB+이상/NNG
청탁하면	청탁/NNG+하/XSV+면/EC
‘청탁등록시스템’에	‘/SS+청탁/NNG+등록/NNG+시스템/NNG+’/SS+에/JKB
이름	이름/NNG
올라가	올라가/VV+아/EF


# id : NWRW1800000052.240.2.1
서울시교육청 김영란법 대응책

서울시교육청	서울시교육청/NNP
김영란법	김영란법/NNG
대응책	대응책/NNG


# id : NWRW1800000052.240.3.1
거절했는데 또 청탁하면 의무신고해야

거절했는데	거절/NNG+하/XSV+았/EP+는데/EC
또	또/MAG
청탁하면	청탁/NNG+하/XSV+면/EC
의무신고해야	의무/NNG+신고/NNG+하/XSV+아야/EC


# id : NWRW1800000052.240.4.1
‘내 몫은 내가 내기’ ‘회식은 1차로’ 캠페인도

‘내	‘/SS+나/NP+의/JKG
몫은	몫/NNG+은/JX
내가	내/NP+가/JKS
내기’	내/VV+기/ETN+’/SS
‘회식은	‘/SS+회식/NNG+은/JX
1차로’	1/SN+차/NNB+로/JKB+’/SS
캠페인도	캠페인/NNG+도/JX


# id : NWRW1800000052.240.5.1
사립학교 교사와 임직원도 오는 9월28일 시행되는 ‘김영란법’(부정청탁금지법) 적용 대상이 됨에 따라, 서울시교육청이 ‘청탁등록시스템’을 만들어 두 번 이상 청탁하는 이들을 의무적으로 신고하게 할 방침이다.

사립학교	사립/NNG+학교/NNG
교사와	교사/NNG+와/JC
임직원도	임직원/NNG+도/JX
오는	오/VV+는/ETM
9월28일	9/SN+월/NNB+28/SN+일/NNB
시행되는	시행/NNG+되/XSV+는/ETM
‘김영란법’(부정청탁금지법)	‘/SS+김영란법/NNG+’/SS+(/SS+부정/NNG+청탁/NNG+금지법/NNG+)/SS
적용	적용/NNG
대상이	대상/NNG+이/JKC
됨에	되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
서울시교육청이	서울시교육청/NNP+이/JKS
‘청탁등록시스템’을	‘/SS+청탁/NNG+등록/NNG+시스템/NNG+’/SS+을/JKO
만들어	만들/VV+어/EC
두	두/MMN
번	번/NNB
이상	이상/NNG
청탁하는	청탁/NNG+하/XSV+는/ETM
이들을	이/NNB+들/XSN+을/JKO
의무적으로	의무/NNG+적/XSN+으로/JKB
신고하게	신고/NNG+하/XSV+게/EC
할	하/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.240.6.1
