# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.105
metadata : {}


# id : NWRW1800000030.105.1.1
法과 씨름하며 평창 도운 '파란 눈 한국인'

法과	法/SH+과/JKB
씨름하며	씨름/NNG+하/XSV+며/EC
평창	평창/NNP
도운	돕/VV+ㄴ/ETM
'파란	'/SS+파랗/VA+ㄴ/ETM
눈	눈/NNG
한국인'	한국인/NNG+'/SS


# id : NWRW1800000030.105.2.1
?제프리 존스 김앤장 변호사

?제프리	?/SF+제프리/NNP
존스	존스/NNP
김앤장	김앤장/NNP
변호사	변호사/NNG


# id : NWRW1800000030.105.3.1
지난 7일 미국 워싱턴 DC의 덜레스 공항.

지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
미국	미국/NNP
워싱턴	워싱턴/NNP
DC의	DC/SL+의/JKG
덜레스	덜레스/NNP
공항.	공항/NNG+./SF


# id : NWRW1800000030.105.3.2
인천을 출발해 13시간 날아온 비행기의 출입문이 열리기 직전 기내에서 "와!" 하는 함성이 터졌다.

인천을	인천/NNP+을/JKO
출발해	출발/NNG+하/XSV+아/EC
13시간	13/SN+시간/NNB
날아온	날아오/VV+ㄴ/ETM
비행기의	비행기/NNG+의/JKG
출입문이	출입문/NNG+이/JKS
열리기	열리/VV+기/ETN
직전	직전/NNG
기내에서	기내/NNG+에서/JKB
"와!"	"/SS+와/IC+!/SF+"/SS
하는	하/VV+는/ETM
함성이	함성/NNG+이/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.105.3.3
"방금 강원도 평창이 2018년 동계올림픽 유치에 성공했습니다"라는 기내 방송에 승객 수백명이 일제히 환호성을 지른 것.

"방금	"/SS+방금/MAG
강원도	강원도/NNP
평창이	평창/NNP+이/JKS
2018년	2018/SN+년/NNB
동계올림픽	동계/NNG+올림픽/NNG
유치에	유치/NNG+에/JKB
성공했습니다"라는	성공/NNG+하/XSV+았/EP+습니다/EF+"/SS+이/VCP+라는/ETM
기내	기내/NNG
방송에	방송/NNG+에/JKB
승객	승객/NNG
수백명이	수백/NR+명/NNB+이/JKS
일제히	일제히/MAG
환호성을	환호성/NNG+을/JKO
지른	지르/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000030.105.4.1
그 바로 전 승무원에게 이 사실을 알린 사람은 '파란 눈의 한국인' 제프리 존스(59) 김앤장 변호사였다.

그	그/MMD
바로	바로/MAG
전	전/MMD
승무원에게	승무원/NNG+에게/JKB
이	이/MMD
사실을	사실/NNG+을/JKO
알린	알리/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
'파란	'/SS+파랗/VA+ㄴ/ETM
눈의	눈/NNG+의/JKG
한국인'	한국인/NNG+'/SS
제프리	제프리/NNP
존스(59)	존스/NNP+(/SS+59/SN+)/SS
김앤장	김앤장/NNP
변호사였다.	변호사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.105.4.2
미국인인 그는 비행기가 착륙하자마자 휴대폰으로 뉴스를 검색한 뒤 승무원을 불러 알렸다.

미국인인	미국인/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
비행기가	비행기/NNG+가/JKS
착륙하자마자	착륙/NNG+하/XSV+자마자/EC
휴대폰으로	휴대폰/NNG+으로/JKB
뉴스를	뉴스/NNG+를/JKO
검색한	검색/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
승무원을	승무원/NNG+을/JKO
불러	부르/VV+어/EC
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.105.4.3
존스씨는 "그 순간의 비행기 안은 2002년 월드컵 때와 같았다"고 했다.

존스씨는	존스/NNP+씨/NNB+는/JX
"그	"/SS+그/MMD
순간의	순간/NNG+의/JKG
비행기	비행기/NNG
안은	안/NNG+은/JX
2002년	2002/SN+년/NNB
월드컵	월드컵/NNG
때와	때/NNG+와/JKB
같았다"고	같/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.105.5.1
그가 "평창!"을 고대한 이유가 있다.

그가	그/NP+가/JKS
"평창!"을	"/SS+평창/NNP+!/SF+"/SS+을/JKO
고대한	고대/NNG+하/XSV+ㄴ/ETM
이유가	이유/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.105.5.2
지난 5월 초 문화체육관광부 관계자들이 그를 찾아왔다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
초	초/NNB
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
그를	그/NP+를/JKO
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.105.5.3
"강릉 스피드스케이트 경기장을 설계한 이탈리아 건축가 피노 조피니 부자(父子)와 법률문제가 생겼는데 도와달라"는 것이었다.

"강릉	"/SS+강릉/NNP
스피드스케이트	스피드/NNG+스케이트/NNG
경기장을	경기장/NNG+을/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
이탈리아	이탈리아/NNP
건축가	건축가/NNG
피노	피노/NNP
조피니	조피니/NNP
부자(父子)와	부자/NNG+(/SS+父子/SH+)/SS+와/JKB
법률문제가	법률문제/NNG+가/JKS
생겼는데	생기/VV+었/EP+는데/EC
도와달라"는	돕/VV+아/EC+달/VX+라/EF+"/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.105.5.4
계약 단계에서 빚어진 오해가 복잡해져 조피니가 변호사를 선임하고 설계비 책정과 지급 방법 등에 대해 '예상 밖의 요구'를 한다는 것이다.

계약	계약/NNG
단계에서	단계/NNG+에서/JKB
빚어진	빚어지/VV+ㄴ/ETM
오해가	오해/NNG+가/JKS
복잡해져	복잡하/VA+아/EC+지/VX+어/EC
조피니가	조피니/NNP+가/JKS
변호사를	변호사/NNG+를/JKO
선임하고	선임/NNG+하/XSV+고/EC
설계비	설계비/NNG
책정과	책정/NNG+과/JC
지급	지급/NNG
방법	방법/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
'예상	'/SS+예상/NNG
밖의	밖/NNG+의/JKG
요구'를	요구/NNG+'/SS+를/JKO
한다는	하/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.105.6.1
존스 변호사는 며칠 뒤 밀라노로 날아가 조피니측 변호인을 만나 협상을 시작, 6월 초 대략적인 동의를 이끌어 냈다.

존스	존스/NNP
변호사는	변호사/NNG+는/JX
며칠	며칠/NNG
뒤	뒤/NNG
밀라노로	밀라노/NNP+로/JKB
날아가	날아가/VV+아/EC
조피니측	조피니/NNP+측/NNB
변호인을	변호인/NNG+을/JKO
만나	만나/VV+아/EC
협상을	협상/NNG+을/JKO
시작,	시작/NNG+,/SP
6월	6/SN+월/NNB
초	초/NNB
대략적인	대략/NNG+적/XSN+이/VCP+ㄴ/ETM
동의를	동의/NNG+를/JKO
이끌어	이끌/VV+어/EC
냈다.	내/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.105.6.2
하지만 7월 1일 조피니측은 "은행 보증 없이는 협상안에 동의할 수 없다"며 "이게 안 되면 프레젠테이션에서 스피드스케이트장 부분은 빼야 할 것"이라고 '협박'했다.

하지만	하지만/MAJ
7월	7/SN+월/NNB
1일	1/SN+일/NNB
조피니측은	조피니/NNP+측/NNB+은/JX
"은행	"/SS+은행/NNG
보증	보증/NNG
없이는	없이/MAG+는/JX
협상안에	협상안/NNG+에/JKB
동의할	동의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"이게	"/SS+이거/NP+이/JKS
안	안/MAG
