# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.368
metadata : {}


# id : NWRW1800000030.368.1.1
[충청] 大田 6월부터 초등 1·2학년 무상급식

[충청]	[/SS+충청/NNP+]/SS
大田	大田/SH
6월부터	6/SN+월/NNB+부터/JX
초등	초등/NNG
1·2학년	1/SN+·/SP+2/SN+학년/NNG
무상급식	무상/NNG+급식/NNG


# id : NWRW1800000030.368.2.1
대전시가 6월부터 초등학교 1·2학년을 대상으로 단계적인 무상급식을 실시키로 했다.

대전시가	대전시/NNP+가/JKS
6월부터	6/SN+월/NNB+부터/JX
초등학교	초등학교/NNG
1·2학년을	1/SN+·/SP+2/SN+학년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
단계적인	단계/NNG+적/XSN+이/VCP+ㄴ/ETM
무상급식을	무상/NNG+급식/NNG+을/JKO
실시키로	실시/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.368.3.1
염홍철 대전시장은 2일 "6월부터 우선 초등 1·2학년을 대상으로 무상급식을 시행할 계획"이라고 밝혔다.

염홍철	염홍철/NNP
대전시장은	대전시장/NNG+은/JX
2일	2/SN+일/NNB
"6월부터	"/SS+6/SN+월/NNB+부터/JX
우선	우선/MAG
초등	초등/NNG
1·2학년을	1/SN+·/SP+2/SN+학년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
무상급식을	무상/NNG+급식/NNG+을/JKO
시행할	시행/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.368.3.2
시와 일선 자치구는 교육청이 지원하는 전체 학생의 20%에 해당하는 저소득층 급식지원을 제외한 나머지 80%에 대해 시청 60%, 구청 20%씩 예산을 분담키로 했다.

시와	시/NNG+와/JC
일선	일선/NNG
자치구는	자치구/NNG+는/JX
교육청이	교육청/NNG+이/JKS
지원하는	지원/NNG+하/XSV+는/ETM
전체	전체/NNG
학생의	학생/NNG+의/JKG
20%에	20/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
저소득층	저/XPN+소득/NNG+층/XSN
급식지원을	급식/NNG+지원/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
80%에	80/SN+%/SW+에/JKB
대해	대하/VV+아/EC
시청	시청/NNG
60%,	60/SN+%/SW+,/SP
구청	구청/NNG
20%씩	20/SN+%/SW+씩/XSN
예산을	예산/NNG+을/JKO
분담키로	분담/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.368.3.3
올해 부담예산은 시 39억원, 5개구 13억원, 교육청 13억원 등이다.

올해	올해/NNG
부담예산은	부담/NNG+예산/NNG+은/JX
시	시/NNG
39억원,	39/SN+억/NR+원/NNB+,/SP
5개구	5/SN+개/NNB+구/NNG
13억원,	13/SN+억/NR+원/NNB+,/SP
교육청	교육청/NNG
13억원	13/SN+억/NR+원/NNB
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.368.4.1
시는 내년에 초등 3~4학년, 2013년에 5학년, 2014년에는 초등학생 전체를 대상으로 무상급식을 확대할 계획이다.

시는	시/NNG+는/JX
내년에	내년/NNG+에/JKB
초등	초등/NNG
3~4학년,	3/SN+~/SO+4/SN+학년/NNG+,/SP
2013년에	2013/SN+년/NNB+에/JKB
5학년,	5/SN+학년/NNG+,/SP
2014년에는	2014/SN+년/NNB+에/JKB+는/JX
초등학생	초등학생/NNG
전체를	전체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
무상급식을	무상/NNG+급식/NNG+을/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.368.5.1
그러나 대덕구가 무상급식 시행에 여전히 반대 입장을 보여 논란이 예상된다.

그러나	그러나/MAJ
대덕구가	대덕구/NNP+가/JKS
무상급식	무상/NNG+급식/NNG
시행에	시행/NNG+에/JKB
여전히	여전히/MAG
반대	반대/NNG
입장을	입장/NNG+을/JKO
보여	보이/VV+어/EC
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.368.5.2
시는 시의회 동의를 거쳐 추경에 관련 예산을 확보하고, 대덕구에 대해서는 무상급식 실시에 동참하도록 계속 설득할 방침이다.

시는	시/NNG+는/JX
시의회	시/NNG+의회/NNG
동의를	동의/NNG+를/JKO
거쳐	거치/VV+어/EC
추경에	추경/NNG+에/JKB
관련	관련/NNG
예산을	예산/NNG+을/JKO
확보하고,	확보/NNG+하/XSV+고/EC+,/SP
대덕구에	대덕구/NNP+에/JKB
대해서는	대하/VV+아서/EC+는/JX
무상급식	무상/NNG+급식/NNG
실시에	실시/NNG+에/JKB
동참하도록	동참/NNG+하/XSV+도록/EC
계속	계속/MAG
설득할	설득/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.368.6.1
염 시장은 "대덕구가 끝까지 반대하면 구가 부담할 20%를 학부모에게 부담시키거나 불가피하게 제외할 수도 있지만 그렇게 되지 않길 바란다"며 "중학교까지 무상급식을 확대하는 것은 국비지원 여부에 따라 향후 과제로 추진하겠다"고 덧붙였다.

염	염/NNP
시장은	시장/NNG+은/JX
"대덕구가	"/SS+대덕구/NNP+가/JKS
끝까지	끝/NNG+까지/JX
반대하면	반대/NNG+하/XSV+면/EC
구가	구/NNG+가/JKS
부담할	부담/NNG+하/XSV+ㄹ/ETM
20%를	20/SN+%/SW+를/JKO
학부모에게	학부모/NNG+에게/JKB
부담시키거나	부담/NNG+시키/XSV+거나/EC
불가피하게	불가피하/VA+게/EC
제외할	제외/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있지만	있/VA+지만/EC
그렇게	그렇/VA+게/EC
되지	되/VV+지/EC
않길	않/VX+기/ETN+ㄹ/JKO
바란다"며	바라/VV+ㄴ다/EF+"/SS+며/EC
"중학교까지	"/SS+중학교/NNG+까지/JX
무상급식을	무상/NNG+급식/NNG+을/JKO
