# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.211
metadata : {}


# id : NWRW1800000029.211.1.1
[휴지통]120cm ‘초대형 메기’ 임진강서 잡혔다

[휴지통]120cm	[/SS+휴지통/NNG+]/SS+120/SN+cm/SW
‘초대형	‘/SS+초/XPN+대형/NNG
메기’	메기/NNG+’/SS
임진강서	임진강/NNP+서/JKB
잡혔다	잡히/VV+었/EP+다/EF


# id : NWRW1800000029.211.2.1
50대 어민 그물에 걸려… 이웃 할머니 보신 위해 선뜻

50대	50/SN+대/NNB
어민	어민/NNG
그물에	그물/NNG+에/JKB
걸려…	걸리/VV+어/EF+…/SE
이웃	이웃/NNG
할머니	할머니/NNG
보신	보신/NNG
위해	위하/VV+아/EC
선뜻	선뜻/MAG


# id : NWRW1800000029.211.3.1
11일 오전 8시 경기 파주시 문산읍 임진리 인근 임진강.

11일	11/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
경기	경기/NNP
파주시	파주시/NNP
문산읍	문산읍/NNP
임진리	임진리/NNP
인근	인근/NNG
임진강.	임진강/NNP+./SF


# id : NWRW1800000029.211.3.2
어민 박순식 씨(59)가 제철을 맞은 황복을 잡기 위해 설치한 그물을 걷어 올리던 중 손에 이상한 느낌을 받았다.

어민	어민/NNG
박순식	박순식/NNP
씨(59)가	씨/NNB+(/SS+59/SN+)/SS+가/JKS
제철을	제철/NNG+을/JKO
맞은	맞/VV+은/ETM
황복을	황복/NNG+을/JKO
잡기	잡/VV+기/ETN
위해	위하/VV+아/EC
설치한	설치/NNG+하/XSV+ㄴ/ETM
그물을	그물/NNG+을/JKO
걷어	걷/VV+어/EC
올리던	올리/VV+던/ETM
중	중/NNB
손에	손/NNG+에/JKB
이상한	이상/NNG+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.211.3.3
지난 주말부터 비가 계속 내려 황복이 거의 잡히지 않는 상황에서 묵직한 퍼덕거림이 느껴졌던 것.

지난	지나/VV+ㄴ/ETM
주말부터	주말/NNG+부터/JX
비가	비/NNG+가/JKS
계속	계속/MAG
내려	내리/VV+어/EC
황복이	황복/NNG+이/JKS
거의	거의/MAG
잡히지	잡히/VV+지/EC
않는	않/VX+는/ETM
상황에서	상황/NNG+에서/JKB
묵직한	묵직하/VA+ㄴ/ETM
퍼덕거림이	퍼덕거리/VV+ㅁ/ETN+이/JKS
느껴졌던	느끼/VV+어/EC+지/VX+었/EP+던/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.211.3.4
그물을 끌어올리자 어린이 키 정도 되는 초대형 메기가 눈에 들어왔다.

그물을	그물/NNG+을/JKO
끌어올리자	끌어올리/VV+자/EC
어린이	어린이/NNG
키	키/NNG
정도	정도/NNG
되는	되/VV+는/ETM
초대형	초/XPN+대형/NNG
메기가	메기/NNG+가/JKS
눈에	눈/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.211.3.5
메기는 덩치를 믿었는지 과감하게 그물을 뚫고 탈출하려 했다.

메기는	메기/NNG+는/JX
덩치를	덩치/NNG+를/JKO
믿었는지	믿/VV+었/EP+는지/EC
과감하게	과감하/VA+게/EC
그물을	그물/NNG+을/JKO
뚫고	뚫/VV+고/EC
탈출하려	탈출/NNG+하/XSV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.211.3.6
그물을 다시 한 번 고쳐 잡은 박 씨는 10여 분간 승강이를 벌인 끝에 배 위로 메기를 끌어올렸다.

그물을	그물/NNG+을/JKO
다시	다시/MAG
한	한/MMN
번	번/NNB
고쳐	고치/VV+어/EC
잡은	잡/VV+은/ETM
박	박/NNP
씨는	씨/NNB+는/JX
10여	10/SN+여/XSN
분간	분/NNB+간/XSN
승강이를	승강이/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
배	배/NNG
위로	위/NNG+로/JKB
메기를	메기/NNG+를/JKO
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.211.3.7
박 씨는 “어부로 살아오면서 이렇게 큰 메기는 처음 봐서 깜짝 놀랐다”고 말했다.

박	박/NNP
씨는	씨/NNB+는/JX
“어부로	“/SS+어부/NNG+로/JKB
살아오면서	살아오/VV+면서/EC
이렇게	이렇/VA+게/EC
큰	크/VA+ㄴ/ETM
메기는	메기/NNG+는/JX
처음	처음/NNG
봐서	보/VV+아서/EC
깜짝	깜짝/MAG
놀랐다”고	놀라/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.211.3.8
그가 잡은 메기는 길이 120cm, 무게 23kg, 둘레 55cm였다.

그가	그/NP+가/JKS
잡은	잡/VV+은/ETM
메기는	메기/NNG+는/JX
길이	길이/NNG
120cm,	120/SN+cm/SW+,/SP
무게	무게/NNG
23kg,	23/SN+kg/SW+,/SP
둘레	둘레/NNG
55cm였다.	55/SN+cm/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.211.3.9
이완옥 국립수산과학원 중앙내수면연구소 연구원은 “국내에서 잡힌 메기 중에는 110cm짜리가 가장 큰 것으로 알고 있다”며 “임진강의 수생 환경이 좋아 메기가 120cm까지 성장한 것 같다”고 말했다.

이완옥	이완옥/NNP
국립수산과학원	국립수산과학원/NNP
중앙내수면연구소	중앙내수면연구소/NNP
연구원은	연구원/NNG+은/JX
“국내에서	“/SS+국내/NNG+에서/JKB
잡힌	잡히/VV+ㄴ/ETM
메기	메기/NNG
중에는	중/NNB+에/JKB+는/JX
110cm짜리가	110/SN+cm/SW+짜리/XSN+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“임진강의	“/SS+임진강/NNP+의/JKG
수생	수생/NNG
환경이	환경/NNG+이/JKS
좋아	좋/VA+아/EC
메기가	메기/NNG+가/JKS
120cm까지	120/SN+cm/SW+까지/JX
성장한	성장/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.211.4.1
박 씨는 이 메기를 어떻게 할까 고민하다가 지병을 앓고 있는 이웃집 할머니에게 약으로 제공하는 것이 좋겠다고 생각했다.

박	박/NNP
씨는	씨/NNB+는/JX
이	이/MMD
메기를	메기/NNG+를/JKO
어떻게	어떻/VA+게/EC
할까	하/VV+ㄹ까/EF
고민하다가	고민/NNG+하/XSV+다가/EC
지병을	지병/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
이웃집	이웃집/NNG
할머니에게	할머니/NNG+에게/JKB
약으로	약/NNG+으로/JKB
제공하는	제공/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋겠다고	좋/VA+겠/EP+다고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.211.4.2
결국 메기는 잡힌 당일 문산읍의 한 건강원으로 보내져 한약재와 함께 푹 고아진 진액이 됐다.

결국	결국/MAG
메기는	메기/NNG+는/JX
잡힌	잡히/VV+ㄴ/ETM
당일	당일/NNG
문산읍의	문산읍/NNP+의/JKG
한	한/MMN
건강원으로	건강원/NNG+으로/JKB
보내져	보내/VV+어/EC+지/VX+어/EC
한약재와	한약재/NNG+와/JKB
함께	함께/MAG
푹	푹/MAG
고아진	고/VV+아/EC+지/VX+ㄴ/ETM
진액이	진액/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


