# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.404
metadata : {}


# id : NWRW1800000054.404.1.1
人事 논란 때마다… 靑은 슬쩍 빠진다

人事	人事/SH
논란	논란/NNG
때마다…	때/NNG+마다/JX+…/SE
靑은	靑/SH+은/JX
슬쩍	슬쩍/MAG
빠진다	빠지/VV+ㄴ다/EF


# id : NWRW1800000054.404.2.1
김기정·안경환·조대엽·박기영… 해명·사과로 버티다 자진 사퇴

김기정·안경환·조대엽·박기영…	김기정/NNP+·/SP+안경환/NNP+·/SP+조대엽/NNP+·/SP+박기영/NNP+…/SE
해명·사과로	해명/NNG+·/SP+사과/NNG+로/JKB
버티다	버티/VV+다/EC
자진	자진/NNG
사퇴	사퇴/NNG


# id : NWRW1800000054.404.3.1
박기영 과학기술혁신본부장이 지난 11일 자진 사퇴하면서 문재인 정부 출범 이후 낙마한 차관급 이상 고위 공직자(후보자)가 모두 4명이 됐다.

박기영	박기영/NNP
과학기술혁신본부장이	과학/NNG+기술/NNG+혁신/NNG+본부장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
자진	자진/NNG
사퇴하면서	사퇴/NNG+하/XSV+면서/EC
문재인	문재인/NNP
정부	정부/NNG
출범	출범/NNG
이후	이후/NNG
낙마한	낙마/NNG+하/XSV+ㄴ/ETM
차관급	차관급/NNG
이상	이상/NNG
고위	고위/NNG
공직자(후보자)가	공직자/NNG+(/SS+후보자/NNG+)/SS+가/JKS
모두	모두/MAG
4명이	4/SN+명/NNB+이/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.404.3.2
박 전 본부장을 포함해 김기정 전 국가안전보장회의(NSC) 2차장, 안경환 전 법무부 장관 후보자, 조대엽 전 고용노동부 장관 후보자는 모두 자진 사퇴 형식으로 자리에서 물러났다.

박	박/NNP
전	전/MMD
본부장을	본부장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
김기정	김기정/NNP
국가안전보장회의(NSC)	국가안전보장회의/NNP+(/SS+NSC/SL+)/SS
2차장,	2/SN+차장/NNG+,/SP
안경환	안경환/NNP
법무부	법무부/NNG
장관	장관/NNG
후보자,	후보자/NNG+,/SP
조대엽	조대엽/NNP
고용노동부	고용/NNG+노동부/NNG
후보자는	후보자/NNG+는/JX
모두	모두/MAG
자진	자진/NNG
사퇴	사퇴/NNG
형식으로	형식/NNG+으로/JKB
자리에서	자리/NNG+에서/JKB
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.404.4.1
이들은 지명(임명)에서 사퇴까지 비슷한 과정을 거쳤다.

이들은	이/NP+들/XSN+은/JX
지명(임명)에서	지명/NNG+(/SS+임명/NNG+)/SS+에서/JKB
사퇴까지	사퇴/NNG+까지/JX
비슷한	비슷하/VA+ㄴ/ETM
과정을	과정/NNG+을/JKO
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.404.4.2
전력으로 인한 논란에 일단 해명·사과하고 버티다가, 논란이 가라앉지 않고 야권 등의 사퇴 요구가 거세지면 자진 사퇴하는 수순이었다.

전력으로	전력/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
논란에	논란/NNG+에/JKB
일단	일단/MAG
해명·사과하고	해명/NNG+·/SP+사과/NNG+하/XSV+고/EC
버티다가,	버티/VV+다가/EC+,/SP
논란이	논란/NNG+이/JKS
가라앉지	가라앉/VV+지/EC
않고	않/VX+고/EC
야권	야권/NNG
등의	등/NNB+의/JKG
사퇴	사퇴/NNG
요구가	요구/NNG+가/JKS
거세지면	거세지/VV+면/EC
자진	자진/NNG
사퇴하는	사퇴/NNG+하/XSV+는/ETM
수순이었다.	수순/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.404.4.3
청와대는 후보자에 대한 논란이 커질 때는 "지켜보겠다"고만 했고, 후보자가 사퇴하면 "본인 의사를 존중한다"고 하는 등 매번 논란에서 비켜섰다.

청와대는	청와대/NNP+는/JX
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논란이	논란/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
때는	때/NNG+는/JX
"지켜보겠다"고만	"/SS+지켜보/VV+겠/EP+다/EF+"/SS+고/JKQ+만/JX
했고,	하/VV+았/EP+고/EC+,/SP
후보자가	후보자/NNG+가/JKS
사퇴하면	사퇴/NNG+하/XSV+면/EC
"본인	"/SS+본인/NNG
의사를	의사/NNG+를/JKO
존중한다"고	존중/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
하는	하/VV+는/ETM
등	등/NNB
매번	매번/MAG
논란에서	논란/NNG+에서/JKB
비켜섰다.	비켜서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.404.4.4
야당에서는 "충분한 검증 없이 대통령과 가까운 인사를 지명한 뒤 논란이 일면 당사자가 알아서 하라는 식"이라며 "청와대가 손에 직접 피를 안 묻히면서 문제 인사를 '자진 사퇴'시키는 무책임한 인사가 반복되고 있다"고 했다.

야당에서는	야당/NNG+에서/JKB+는/JX
"충분한	"/SS+충분하/VA+ㄴ/ETM
검증	검증/NNG
없이	없이/MAG
대통령과	대통령/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
인사를	인사/NNG+를/JKO
지명한	지명/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
