# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.89
metadata : {}


# id : NWRW1800000053.89.1.1
‘공조’ 3일동안 관객 193만… ‘더 킹’ 제쳐

‘공조’	‘/SS+공조/NNP+’/SS
3일동안	3/SN+일/NNB+동안/NNG
관객	관객/NNG
193만…	193/SN+만/NR+…/SE
‘더	‘/SS+더/NNP
킹’	킹/NNP+’/SS
제쳐	제치/VV+어/EF


# id : NWRW1800000053.89.2.1
설연휴 선택받은 영화-TV프로 입소문 타고 뒷심 발휘 순위역전 TV선 파일럿 예능 11편 각축… ‘발칙한 동거’ 시청률 8.3% 우뚝

설연휴	설/NNG+연휴/NNG
선택받은	선택/NNG+받/XSV+은/ETM
영화-TV프로	영화/NNG+-/SO+TV/SL+프로/NNG
입소문	입소문/NNG
타고	타/VV+고/EC
뒷심	뒷심/NNG
발휘	발휘/NNG
순위역전	순위/NNG+역전/NNG
TV선	TV/SL+서/JKB+ㄴ/JX
파일럿	파일럿/NNG
예능	예능/NNG
11편	11/SN+편/NNB
각축…	각축/NNG+…/SE
‘발칙한	‘/SS+발칙하/VA+ㄴ/ETM
동거’	동거/NNG+’/SS
시청률	시청/NNG+률/XSN
8.3%	8/SN+./SP+3/SN+%/SW
우뚝	우뚝/MAG


# id : NWRW1800000053.89.3.1
설 연휴 극장가에선 18일 함께 개봉한 영화 ‘공조’와 ‘더 킹’이 나란히 400만 관객을 넘어서며 치열한 맞대결을 펼쳤다.

설	설/NNG
연휴	연휴/NNG
극장가에선	극장가/NNG+에서/JKB+ㄴ/JX
18일	18/SN+일/NNB
함께	함께/MAG
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
영화	영화/NNG
‘공조’와	‘/SS+공조/NNP+’/SS+와/JC
‘더	‘/SS+더/NNP
킹’이	킹/NNP+’/SS+이/JKS
나란히	나란히/MAG
400만	400/SN+만/NR
관객을	관객/NNG+을/JKO
넘어서며	넘어서/VV+며/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
맞대결을	맞대결/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.89.3.2
특히 ‘공조’는 개봉 직후부터 ‘더 킹’에 관객 수로 밀렸지만 설 연휴 동안 입소문을 타고 박스오피스 순위를 역전시키는 뒷심을 발휘했다.

특히	특히/MAG
‘공조’는	‘/SS+공조/NNP+’/SS+는/JX
개봉	개봉/NNG
직후부터	직후/NNG+부터/JX
‘더	‘/SS+더/NNP
킹’에	킹/NNP+’/SS+에/JKB
관객	관객/NNG
수로	수/NNG+로/JKB
밀렸지만	밀리/VV+었/EP+지만/EC
설	설/NNG
연휴	연휴/NNG
동안	동안/NNG
입소문을	입소문/NNG+을/JKO
타고	타/VV+고/EC
박스오피스	박스오피스/NNG
순위를	순위/NNG+를/JKO
역전시키는	역전/NNG+시키/XSV+는/ETM
뒷심을	뒷심/NNG+을/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.89.4.1
배급사 CJ엔터테인먼트와 NEW에 따르면 ‘공조’는 30일 오전 12시 400만 관객을 돌파했고, ‘더 킹’ 역시 이날 400만 관객을 넘겼다.

배급사	배급사/NNG
CJ엔터테인먼트와	CJ엔터테인먼트/NNP+와/JC
NEW에	NEW/SL+에/JKB
따르면	따르/VV+면/EC
‘공조’는	‘/SS+공조/NNP+’/SS+는/JX
30일	30/SN+일/NNB
오전	오전/NNG
12시	12/SN+시/NNB
400만	400/SN+만/NR
관객을	관객/NNG+을/JKO
돌파했고,	돌파/NNG+하/XSV+았/EP+고/EC+,/SP
‘더	‘/SS+더/NNP
킹’	킹/NNP+’/SS
역시	역시/MAG
이날	이날/NNG
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.89.4.2
