# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.269
metadata : {}


# id : NWRW1800000038.269.1.1
장하나 주춤하는 사이… 김세영, 상금왕 뒤집기 시동

장하나	장하나/NNP
주춤하는	주춤/MAG+하/XSV+는/ETM
사이…	사이/NNG+…/SE
김세영,	김세영/NNP+,/SP
상금왕	상금왕/NNG
뒤집기	뒤집기/NNG
시동	시동/NNG


# id : NWRW1800000038.269.2.1
2626만원差 '살 떨리는 승부'

2626만원差	2626/SN+만/NR+원/NNB+差/SH
'살	'/SS+살/NNG
떨리는	떨리/VV+는/ETM
승부'	승부/NNG+'/SS


# id : NWRW1800000038.269.3.1
'역전의 여왕' 김세영(20·사진)이 상금 랭킹에서도 막판 대역전을 이뤄낼까.

'역전의	'/SS+역전/NNG+의/JKG
여왕'	여왕/NNG+'/SS
김세영(20·사진)이	김세영/NNP+(/SS+20/SN+·/SP+사진/NNG+)/SS+이/JKS
상금	상금/NNG
랭킹에서도	랭킹/NNG+에서/JKB+도/JX
막판	막판/NNG
대역전을	대/XPN+역전/NNG+을/JKO
이뤄낼까.	이루/VV+어/EC+내/VX+ㄹ까/EF+./SF


# id : NWRW1800000038.269.4.1
2013시즌 한국여자프로골프(KLPGA) 투어 타이틀 경쟁이 끝까지 예측할 수 없는 방향으로 흘러가고 있다.

2013시즌	2013/SN+시즌/NNG
한국여자프로골프(KLPGA)	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS
투어	투어/NNG
타이틀	타이틀/NNG
경쟁이	경쟁/NNG+이/JKS
끝까지	끝/NNG+까지/JX
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
방향으로	방향/NNG+으로/JKB
흘러가고	흘러가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.269.4.2
15일 열린 시즌 최종전 조선일보-포스코 챔피언십 첫날 경기에서 현재 상금 랭킹 1위(6억8270만9216원), 대상 포인트 랭킹 공동 1위(376점)에 올라 있는 장하나(21)가 버디 1개, 보기 3개를 기록해 공동 43위(2오버파)로 밀렸다.

15일	15/SN+일/NNB
열린	열리/VV+ㄴ/ETM
시즌	시즌/NNG
최종전	최종전/NNG
조선일보-포스코	조선일보/NNP+-/SO+포스코/NNP
챔피언십	챔피언십/NNG
첫날	첫날/NNG
경기에서	경기/NNG+에서/JKB
현재	현재/MAG
상금	상금/NNG
랭킹	랭킹/NNG
1위(6억8270만9216원),	1/SN+위/NNB+(/SS+6/SN+억/NR+8270/SN+만/NR+9216/SN+원/NNB+)/SS+,/SP
대상	대상/NNG
포인트	포인트/NNG
공동	공동/NNG
1위(376점)에	1/SN+위/NNB+(/SS+376/SN+점/NNB+)/SS+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
장하나(21)가	장하나/NNP+(/SS+21/SN+)/SS+가/JKS
버디	버디/NNG
1개,	1/SN+개/NNB+,/SP
보기	보기/NNG
3개를	3/SN+개/NNB+를/JKO
기록해	기록/NNG+하/XSV+아/EC
43위(2오버파)로	43/SN+위/NNB+(/SS+2/SN+오버파/NNG+)/SS+로/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.269.5.1
상금 랭킹 2위(6억5644만7815원)를 달리는 김세영이 보기 없이 버디만 4개 잡아내 단독 3위(4언더파)에 올랐다.

상금	상금/NNG
랭킹	랭킹/NNG
2위(6억5644만7815원)를	2/SN+위/NNB+(/SS+6/SN+억/NR+5644/SN+만/NR+7815/SN+원/NNB+)/SS+를/JKO
달리는	달리/VV+는/ETM
김세영이	김세영/NNP+이/JKS
보기	보기/NNG
없이	없이/MAG
버디만	버디/NNG+만/JX
4개	4/SN+개/NNB
잡아내	잡아내/VV+어/EC
단독	단독/NNG
3위(4언더파)에	3/SN+위/NNB+(/SS+4/SN+언더/NNG+파/NNG+)/SS+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.269.5.2
장하나와 대상 포인트 랭킹 공동 선두를 지키고 있는 김효주(18)는 버디 3개, 보기 2개로 공동 17위(1언더파)를 기록했다.

장하나와	장하나/NNP+와/JKB
대상	대상/NNG
포인트	포인트/NNG
랭킹	랭킹/NNG
공동	공동/NNG
선두를	선두/NNG+를/JKO
지키고	지키/VV+고/EC
있는	있/VX+는/ETM
김효주(18)는	김효주/NNP+(/SS+18/SN+)/SS+는/JX
버디	버디/NNG
3개,	3/SN+개/NNB+,/SP
보기	보기/NNG
2개로	2/SN+개/NNB+로/JKB
17위(1언더파)를	17/SN+위/NNB+(/SS+1/SN+언더/NNG+파/NNG+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.269.6.1
장하나는 이날 2번홀(파4)에서 짧은 파 퍼트를 놓쳐 보기를 기록한 뒤로 버디 퍼트를 하나도 넣지 못했다.

장하나는	장하나/NNP+는/JX
이날	이날/NNG
2번홀(파4)에서	2/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
짧은	짧/VA+은/ETM
파	파/NNG
퍼트를	퍼트/NNG+를/JKO
놓쳐	놓치/VV+어/EC
보기를	보기/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
뒤로	뒤/NNG+로/JKB
버디	버디/NNG
하나도	하나/NR+도/JX
넣지	넣/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.269.6.2
장하나가 부진하면서 올 시즌 3승을 모두 최종 라운드 역전으로 차지한 김세영이 상금 랭킹도 뒤집을 수 있을지 관심을 모으고 있다.

장하나가	장하나/NNP+가/JKS
부진하면서	부진/NNG+하/XSA+면서/EC
올	올/NNG
시즌	시즌/NNG
3승을	3/SN+승/NNB+을/JKO
모두	모두/MAG
최종	최종/NNG
라운드	라운드/NNG
역전으로	역전/NNG+으로/JKB
차지한	차지/NNG+하/XSV+ㄴ/ETM
김세영이	김세영/NNP+이/JKS
상금	상금/NNG
랭킹도	랭킹/NNG+도/JX
뒤집을	뒤집/VV+을/ETM
수	수/NNB
있을지	있/VA+을지/EF
관심을	관심/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.269.7.1
현재 장하나와 김세영의 상금 차이는 2626만1401원.

현재	현재/MAG
장하나와	장하나/NNP+와/JC
김세영의	김세영/NNP+의/JKG
상금	상금/NNG
차이는	차이/NNG+는/JX
2626만1401원.	2626/SN+만/NR+1401/SN+원/NNB+./SF


# id : NWRW1800000038.269.7.2
이번 대회는 우승에 1억원, 2위에 5750만원, 3위에 4000만원, 4위에 2500만원의 상금이 걸려 있다.

이번	이번/NNG
대회는	대회/NNG+는/JX
우승에	우승/NNG+에/JKB
1억원,	1/SN+억/NR+원/NNB+,/SP
2위에	2/SN+위/NNB+에/JKB
5750만원,	5750/SN+만/NR+원/NNB+,/SP
3위에	3/SN+위/NNB+에/JKB
4000만원,	4000/SN+만/NR+원/NNB+,/SP
4위에	4/SN+위/NNB+에/JKB
2500만원의	2500/SN+만/NR+원/NNB+의/JKG
상금이	상금/NNG+이/JKS
걸려	걸리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.269.7.3
김세영이 우승할 경우 장하나의 성적과 관계없이 상금왕에 오르게 된다.

김세영이	김세영/NNP+이/JKS
우승할	우승/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
장하나의	장하나/NNP+의/JKG
성적과	성적/NNG+과/JKB
관계없이	관계없이/MAG
상금왕에	상금왕/NNG+에/JKB
오르게	오르/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.269.7.4
김세영이 단독 2위일 경우 장하나가 단독 4위 이하, 김세영이 단독 3위일 경우 장하나가 단독 8위 이하 성적을 내면 김세영이 상금왕의 주인공이 된다.

김세영이	김세영/NNP+이/JKS
단독	단독/NNG
2위일	2/SN+위/NNB+이/VCP+ㄹ/ETM
