# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.113
metadata : {}


# id : NWRW1800000041.113.1.1
화재취약 하회마을… 시뮬레이션 결과 최대 100동 소실될수도

화재취약	화재/NNG+취약/NNG
하회마을…	하회마을/NNP+…/SE
시뮬레이션	시뮬레이션/NNG
결과	결과/NNG
최대	최대/NNG
100동	100/SN+동/NNB
소실될수도	소실/NNG+되/XSV+ㄹ/ETM+수/NNB+도/JX


# id : NWRW1800000041.113.2.1
작년 ‘화재 안전성 연구’ 통해 드러나

작년	작년/NNG
‘화재	‘/SS+화재/NNG
안전성	안전/NNG+성/XSN
연구’	연구/NNG+’/SS
통해	통하/VV+아/EC
드러나	드러나/VV+아/EC


# id : NWRW1800000041.113.3.1
유네스코 세계문화유산인 경북 안동시 하회마을에 13일 화재가 발생했다.

유네스코	유네스코/NNP
세계문화유산인	세계/NNG+문화유산/NNG+이/VCP+ㄴ/ETM
경북	경북/NNP
안동시	안동시/NNP
하회마을에	하회마을/NNP+에/JKB
13일	13/SN+일/NNB
화재가	화재/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.3.2
다행히 별다른 피해는 없었지만 문화재 관계자들은 앞서 11일 ‘샹그릴라’라는 별칭으로 유명한 중국 윈난 성 두커쭝(獨克宗) 고성에서 200채가 넘는 목조건축물이 불에 탄 참사를 떠올리며 가슴을 쓸어내려야 했다.

다행히	다행히/MAG
별다른	별다르/VA+ㄴ/ETM
피해는	피해/NNG+는/JX
없었지만	없/VA+었/EP+지만/EC
문화재	문화재/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
앞서	앞서/MAG
11일	11/SN+일/NNB
‘샹그릴라’라는	‘/SS+샹그릴라/NNP+’/SS+이/VCP+라는/ETM
별칭으로	별칭/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
중국	중국/NNP
윈난	윈난/NNP
성	성/NNG
두커쭝(獨克宗)	두커쭝/NNP+(/SS+獨克宗/SH+)/SS
고성에서	고성/NNG+에서/JKB
200채가	200/SN+채/NNB+가/JKS
넘는	넘/VV+는/ETM
목조건축물이	목조/NNG+건축물/NNG+이/JKS
불에	불/NNG+에/JKB
탄	타/VV+ㄴ/ETM
참사를	참사/NNG+를/JKO
떠올리며	떠올리/VV+며/EC
가슴을	가슴/NNG+을/JKO
쓸어내려야	쓸어내리/VV+어야/EC
