# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.234
metadata : {}


# id : NWRW1800000030.234.1.1
[태평로] 복지 전쟁의 참호에 갇힌 사람들

[태평로]	[/SS+태평로/NNP+]/SS
복지	복지/NNG
전쟁의	전쟁/NNG+의/JKG
참호에	참호/NNG+에/JKB
갇힌	갇히/VV+ㄴ/ETM
사람들	사람/NNG+들/XSN


# id : NWRW1800000030.234.2.1
결국 좌파들의 공격은 엄청난 '재정적자'로 귀결될 것이다.

결국	결국/MAG
좌파들의	좌파/NNG+들/XSN+의/JKG
공격은	공격/NNG+은/JX
엄청난	엄청나/VA+ㄴ/ETM
'재정적자'로	'/SS+재정/NNG+적자/NNG+'/SS+로/JKB
귀결될	귀결/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.2.2
우파들의 반격 또한 어어 어어 하면서 한 발짝씩 좌파들에게 끌려들어가 재정적자의 구렁텅이로 빠질 것이다.

우파들의	우파/NNG+들/XSN+의/JKG
반격	반격/NNG
또한	또한/MAG
어어	어어/IC
하면서	하/VV+면서/EC
한	한/MMN
발짝씩	발짝/NNB+씩/XSN
좌파들에게	좌파/NNG+들/XSN+에게/JKB
끌려들어가	끌려들/VV+어/EC+가/VX+아/EC
재정적자의	재정/NNG+적자/NNG+의/JKG
구렁텅이로	구렁텅이/NNG+로/JKB
빠질	빠지/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.2.3
'복지 전쟁'이란 그렇다.

'복지	'/SS+복지/NNG
전쟁'이란	전쟁/NNG+'/SS+이란/JX
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000030.234.2.4
지금은 기선 잡기 싸움 같고, 당장 1~2년 앞으로 다가온 선거 약발을 노리는 꼼수 같지만 그들은 어느 날 재정적자의 진흙탕 참호 속에서 교전을 치르고 있는 자신을 발견할 것이다.

지금은	지금/NNG+은/JX
기선	기선/NNG
잡기	잡/VV+기/ETN
싸움	싸움/NNG
같고,	같/VA+고/EC+,/SP
당장	당장/NNG
1~2년	1/SN+~/SO+2/SN+년/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
선거	선거/NNG
약발을	약발/NNG+을/JKO
노리는	노리/VV+는/ETM
꼼수	꼼수/NNG
같지만	같/VA+지만/EC
그들은	그/NP+들/XSN+은/JX
어느	어느/MMD
날	날/NNG
재정적자의	재정/NNG+적자/NNG+의/JKG
진흙탕	진흙탕/NNG
참호	참호/NNG
