# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.21
metadata : {}


# id : NWRW1800000022.21.1.1
들어갈 수 없는 공공건물 옥상공원;녹지조성 위해 서울 시내 83곳에 설치 경비·안전 내세워 시민들에 개방 꺼려

들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
공공건물	공공건물/NNG
옥상공원;녹지조성	옥상/NNG+공원/NNG+;/SP+녹지/NNG+조성/NNG
위해	위하/VV+아/EC
서울	서울/NNP
시내	시내/NNG
83곳에	83/SN+곳/NNG+에/JKB
설치	설치/NNG
경비·안전	경비/NNG+·/SP+안전/NNG
내세워	내세우/VV+어/EC
시민들에	시민/NNG+들/XSN+에/JKB
개방	개방/NNG
꺼려	꺼리/VV+어/EF


# id : NWRW1800000022.21.2.1
금속제 펜스 너머로 공원이 보였다.

금속제	금속제/NNG
펜스	펜스/NNG
너머로	너머/NNG+로/JKB
공원이	공원/NNG+이/JKS
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.21.2.2
겨울에도 빛을 잃지 않은 풀들이 손을 흔들었다.

겨울에도	겨울/NNG+에/JKB+도/JX
빛을	빛/NNG+을/JKO
잃지	잃/VV+지/EC
않은	않/VX+은/ETM
풀들이	풀/NNG+들/XSN+이/JKS
손을	손/NNG+을/JKO
흔들었다.	흔들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.21.2.3
하지만 문을 가로지른 빗장엔 자물쇠가 걸려 있었고, '위험하니 넘어가지 말라'는 경고문만이 손님을 맞았다.

하지만	하지만/MAJ
문을	문/NNG+을/JKO
가로지른	가로지르/VV+ㄴ/ETM
빗장엔	빗장/NNG+에/JKB+ㄴ/JX
자물쇠가	자물쇠/NNG+가/JKS
걸려	걸리/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
'위험하니	'/SS+위험/NNG+하/XSA+니/EC
넘어가지	넘어가/VV+지/EC
말라'는	말/VX+라/EF+'/SS+는/ETM
경고문만이	경고문/NNG+만/JX+이/JKS
