# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.181
metadata : {}


# id : NWRW1800000041.181.1.1
성북구의원 외유비 이르면 3월부터 환수

성북구의원	성북구/NNP+의원/NNG
외유비	외유비/NNG
이르면	이르/VA+면/EC
3월부터	3/SN+월/NNB+부터/JX
환수	환수/NNG


# id : NWRW1800000041.181.2.1
서울시 감사처분 요구서 발송 예정

서울시	서울시/NNP
감사처분	감사/NNG+처분/NNG
요구서	요구서/NNG
발송	발송/NNG
예정	예정/NNG


# id : NWRW1800000041.181.3.1
서울 성북구의회 의원들이 외유성 외국출장을 다녀오면서 부적절하게 사용한 출장비에 대한 환수가 이르면 3월부터 진행된다.

서울	서울/NNP
성북구의회	성북구의회/NNP
의원들이	의원/NNG+들/XSN+이/JKS
외유성	외유/NNG+성/XSN
외국출장을	외국/NNG+출장/NNG+을/JKO
다녀오면서	다녀오/VV+면서/EC
부적절하게	부적절하/VA+게/EC
사용한	사용/NNG+하/XSV+ㄴ/ETM
출장비에	출장비/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
환수가	환수/NNG+가/JKS
이르면	이르/VA+면/EC
3월부터	3/SN+월/NNB+부터/JX
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.181.4.1
서울시는 목적과 다르게 사용한 공무국외여행 비용 환수와 여비 지출 업무 담당 공무원에 대한 주의·훈계 처분 등의 내용을 담은 감사 결과 처분요구서를 이달 성북구로 발송할 예정이라고 5일 밝혔다.

서울시는	서울시/NNP+는/JX
목적과	목적/NNG+과/JKB
다르게	다르/VA+게/EC
사용한	사용/NNG+하/XSV+ㄴ/ETM
공무국외여행	공무/NNG+국외/NNG+여행/NNG
비용	비용/NNG
환수와	환수/NNG+와/JKB
여비	여비/NNG
지출	지출/NNG
업무	업무/NNG
담당	담당/NNG
공무원에	공무원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주의·훈계	주의/NNG+·/SP+훈계/NNG
처분	처분/NNG
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
