# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.420
metadata : {}


# id : NWRW1800000026.420.1.1
[호남] 군산항 컨테이너 10만TEU 돌파

[호남]	[/SS+호남/NNP+]/SS
군산항	군산항/NNP
컨테이너	컨테이너/NNG
10만TEU	10/SN+만/NR+TEU/SW
돌파	돌파/NNG


# id : NWRW1800000026.420.2.1
전북 군산항의 한 해 컨테이너 물동량이 올해 처음 10만TEU(1TEU는 20피트짜리 컨테이너 1개)를 넘어섰다.

전북	전북/NNP
군산항의	군산항/NNP+의/JKG
한	한/MMN
해	해/NNB
컨테이너	컨테이너/NNG
물동량이	물동량/NNG+이/JKS
올해	올해/NNG
처음	처음/NNG
10만TEU(1TEU는	10/SN+만/NR+TEU/SW+(/SS+1/SN+TEU/SW+는/JX
20피트짜리	20/SN+피트/NNB+짜리/XSN
1개)를	1/SN+개/NNB+)/SS+를/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.420.2.2
올해 들어 처리된 이곳 컨테이너가 20일로 10만689TEU를 기록했다고 군산지방해양항만청이 밝혔다.

올해	올해/NNG
들어	들/VV+어/EC
처리된	처리/NNG+되/XSV+ㄴ/ETM
이곳	이곳/NP
컨테이너가	컨테이너/NNG+가/JKS
20일로	20/SN+일/NNB+로/JKB
10만689TEU를	10/SN+만/NR+689/SN+TEU/SW+를/JKO
기록했다고	기록/NNG+하/XSV+았/EP+다고/EC
군산지방해양항만청이	군산지방해양항만청/NNP+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.420.3.1
이는 지난해 처리한 컨테이너(6만8160TEU)보다 47% 증가한 물량으로, 군산항 개항 111년 만에 처음이고 국내 28개 무역항 가운데 6번째라고 군산항만청은 설명했다.

이는	이/NP+는/JX
지난해	지난해/NNG
처리한	처리/NNG+하/XSV+ㄴ/ETM
컨테이너(6만8160TEU)보다	컨테이너/NNG+(/SS+6/SN+만/NR+8160/SN+TEU/SW+)/SS+보다/JKB
47%	47/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
물량으로,	물량/NNG+으로/JKB+,/SP
군산항	군산항/NNP
개항	개항/NNG
111년	111/SN+년/NNB
만에	만/NNB+에/JKB
처음이고	처음/NNG+이/VCP+고/EC
국내	국내/NNG
28개	28/SN+개/NNB
무역항	무역항/NNG
가운데	가운데/NNG
6번째라고	6/SN+번/NNB+째/XSN+이/VCP+라고/EC
군산항만청은	군산항만청/NNP+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.420.4.1
군산항만청은 "이는 경기회복으로 수출입 물량이 증가한 가운데 신규 선사가 들어오고 기존 선사들이 영업력을 키운 데 기인하지만 전북도와 군산시의 화물 유치 노력도 크게 작용했다"고 말했다.

군산항만청은	군산항만청/NNP+은/JX
"이는	"/SS+이/NP+는/JX
경기회복으로	경기/NNG+회복/NNG+으로/JKB
수출입	수출입/NNG
물량이	물량/NNG+이/JKS
증가한	증가/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
신규	신규/NNG
선사가	선사/NNG+가/JKS
들어오고	들어오/VV+고/EC
기존	기존/NNG
선사들이	선사/NNG+들/XSN+이/JKS
영업력을	영업력/NNG+을/JKO
키운	키우/VV+ㄴ/ETM
데	데/NNB
기인하지만	기인/NNG+하/XSV+지만/EC
전북도와	전북도/NNP+와/JC
군산시의	군산시/NNP+의/JKG
화물	화물/NNG
유치	유치/NNG
노력도	노력/NNG+도/JX
크게	크/VA+게/EC
작용했다"고	작용/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.420.5.1
올해 군산항에는 1개 선사가 새로 취항하면서, 스다오훼리까지 모두 5개 선사가 렌윈~칭다오~군산 등 4개 항로에서 주 9편의 컨테이너선을 운항하고 있다.

올해	올해/NNG
군산항에는	군산항/NNP+에/JKB+는/JX
1개	1/SN+개/NNB
선사가	선사/NNG+가/JKS
새로	새로/MAG
취항하면서,	취항/NNG+하/XSV+면서/EC+,/SP
스다오훼리까지	스다오훼리/NNP+까지/JX
모두	모두/MAG
5개	5/SN+개/NNB
렌윈~칭다오~군산	렌윈/NNP+~/SO+칭다오/NNP+~/SO+군산/NNP
등	등/NNB
4개	4/SN+개/NNB
항로에서	항로/NNG+에서/JKB
주	주/NNG
9편의	9/SN+편/NNB+의/JKG
컨테이너선을	컨테이너선/NNG+을/JKO
운항하고	운항/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.420.5.2
전북도와 군산시는 2006년 이후 선사 등과 공동으로 화물유치단을 운영하면서 컨테이너 1TEU당 3만원의 인센티브를 지급하고 있다.

전북도와	전북도/NNP+와/JC
군산시는	군산시/NNP+는/JX
2006년	2006/SN+년/NNB
이후	이후/NNG
선사	선사/NNG
등과	등/NNB+과/JKB
공동으로	공동/NNG+으로/JKB
화물유치단을	화물/NNG+유치단/NNG+을/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
컨테이너	컨테이너/NNG
1TEU당	1/SN+TEU/SW+당/XSN
3만원의	3/SN+만/NR+원/NNB+의/JKG
인센티브를	인센티브/NNG+를/JKO
지급하고	지급/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.420.5.3
도는 "군산항이 새만금과 연계되고 연안항로가 추가 개설될 전망이어서 발전잠재력은 더욱 크다"며 "서해 중부 관문항이자 물류기지로서 항만시스템 개선과 중국·일본·동남아 등으로의 항로 다변화가 계속 이뤄질 것"이라고 말했다.

도는	도/NNG+는/JX
"군산항이	"/SS+군산항/NNP+이/JKS
새만금과	새만금/NNP+과/JKB
연계되고	연계/NNG+되/XSV+고/EC
연안항로가	연안/NNG+항로/NNG+가/JKS
추가	추가/NNG
개설될	개설/NNG+되/XSV+ㄹ/ETM
전망이어서	전망/NNG+이/VCP+어서/EC
발전잠재력은	발전/NNG+잠재력/NNG+은/JX
더욱	더욱/MAG
크다"며	크/VA+다/EF+"/SS+며/EC
"서해	"/SS+서해/NNP
중부	중부/NNG
관문항이자	관문/NNG+항/NNG+이/VCP+자/EC
