# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.20
metadata : {}


# id : NWRW1800000036.20.1.1
삼성, 중국 시안에 반도체 공장

삼성,	삼성/NNP+,/SP
중국	중국/NNP
시안에	시안/NNP+에/JKB
반도체	반도체/NNG
공장	공장/NNG


# id : NWRW1800000036.20.2.1
[한겨레] 낸드플래시 라인 ‘우선협상도시’ 선정…내년말 생산

[한겨레]	[/SS+한겨레/NNP+]/SS
낸드플래시	낸드플래시/NNG
라인	라인/NNG
‘우선협상도시’	‘/SS+우선/NNG+협상/NNG+도시/NNG+’/SS
선정…내년말	선정/NNG+…/SE+내년/NNG+말/NNB
생산	생산/NNG


# id : NWRW1800000036.20.3.1
삼성전자가 낸드플래시 생산공장을 중국 산시(섬서)성 시안(서안)에 세우기로 했다.

삼성전자가	삼성전자/NNP+가/JKS
낸드플래시	낸드플래시/NNG
생산공장을	생산/NNG+공장/NNG+을/JKO
중국	중국/NNP
산시(섬서)성	산시/NNP+(/SS+섬서/NNP+)/SS+성/NNG
시안(서안)에	시안/NNP+(/SS+서안/NNP+)/SS+에/JKB
세우기로	세우/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.20.3.2
낸드플래시는 전원을 끄면 데이터를 상실하는 디(D)램과 달리 데이터를 저장할 수 있는 비휘발성 메모리 반도체로 스마트폰·태블릿피시(PC) 등에 많이 사용된다.

낸드플래시는	낸드플래시/NNG+는/JX
전원을	전원/NNG+을/JKO
끄면	끄/VV+면/EC
데이터를	데이터/NNG+를/JKO
상실하는	상실/NNG+하/XSV+는/ETM
디(D)램과	디/NNG+(/SS+D/SL+)/SS+램/NNG+과/JKB
달리	달리/MAG
저장할	저장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비휘발성	비/XPN+휘발/NNG+성/XSN
메모리	메모리/NNG
반도체로	반도체/NNG+로/JKB
스마트폰·태블릿피시(PC)	스마트폰/NNG+·/SP+태블릿/NNG+피시/NNG+(/SS+PC/SL+)/SS
등에	등/NNB+에/JKB
많이	많이/MAG
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.20.4.1
삼성전자는 22일 중국에 차세대 낸드플래시 생산라인 건설을 위해 중국 산시(섬서)성 시안(서안)시를 우선협상도시로 선정하고 이달 중 본격적인 실무 협의에 들어간다고 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
22일	22/SN+일/NNB
중국에	중국/NNP+에/JKB
차세대	차세대/NNG
낸드플래시	낸드플래시/NNG
생산라인	생산/NNG+라인/NNG
건설을	건설/NNG+을/JKO
위해	위하/VV+아/EC
중국	중국/NNP
산시(섬서)성	산시/NNP+(/SS+섬서/NNP+)/SS+성/NNG
시안(서안)시를	시안/NNP+(/SS+서안/NNP+)/SS+시/NNG+를/JKO
우선협상도시로	우선/NNG+협상/NNG+도시/NNG+로/JKB
선정하고	선정/NNG+하/XSV+고/EC
이달	이달/NNG
중	중/NNB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
실무	실무/NNG
협의에	협의/NNG+에/JKB
들어간다고	들어가/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.20.4.2
삼성전자는 지난해 12월 반도체 공장의 중국 건립을 지식경제부에 신청해 지난 1월 승인받았다.

삼성전자는	삼성전자/NNP+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
반도체	반도체/NNG
공장의	공장/NNG+의/JKG
중국	중국/NNP
건립을	건립/NNG+을/JKO
지식경제부에	지식/NNG+경제부/NNG+에/JKB
신청해	신청/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
승인받았다.	승인/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.20.4.3
이에 따라 시안시와 실무 협상을 끝낸 뒤 중국 정부의 승인을 받아 올해 안에 공장 건설을 시작해 내년 말부터 생산에 들어갈 계획이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
시안시와	시안시/NNP+와/JKB
실무	실무/NNG
협상을	협상/NNG+을/JKO
끝낸	끝내/VV+ㄴ/ETM
뒤	뒤/NNG
중국	중국/NNP
정부의	정부/NNG+의/JKG
승인을	승인/NNG+을/JKO
받아	받/VV+아/EC
올해	올해/NNG
안에	안/NNG+에/JKB
공장	공장/NNG
건설을	건설/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
내년	내년/NNG
말부터	말/NNB+부터/JX
생산에	생산/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.20.5.1
중국 시안에 삼성의 낸드플래시 공장이 설립되면, 삼성의 두번째 외국 반도체 공장이 되는 셈이다.

중국	중국/NNP
시안에	시안/NNP+에/JKB
삼성의	삼성/NNP+의/JKG
낸드플래시	낸드플래시/NNG
공장이	공장/NNG+이/JKC
설립되면,	설립/NNG+되/XSV+면/EC+,/SP
두번째	두/MMN+번/NNB+째/XSN
외국	외국/NNG
반도체	반도체/NNG
되는	되/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.20.5.2
삼성전자는 1996년 미국 텍사스 오스틴에 반도체 공장을 세워 가동 중이다.

삼성전자는	삼성전자/NNP+는/JX
1996년	1996/SN+년/NNB
미국	미국/NNP
텍사스	텍사스/NNP
오스틴에	오스틴/NNP+에/JKB
반도체	반도체/NNG
공장을	공장/NNG+을/JKO
세워	세우/VV+어/EC
가동	가동/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.20.5.3
중국에 낸드플래시 생산공장이 세워지는 것은 이번이 처음이다.

중국에	중국/NNP+에/JKB
낸드플래시	낸드플래시/NNG
생산공장이	생산/NNG+공장/NNG+이/JKS
세워지는	세우/VV+어/EC+지/VX+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.20.5.4
