# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.38
metadata : {}


# id : NWRW1800000049.38.1.1
국민지갑 더 얇아졌다

국민지갑	국민/NNG+지갑/NNG
더	더/MAG
얇아졌다	얇아지/VV+었/EP+다/EF


# id : NWRW1800000049.38.2.1
실질 GNI, 2개분기 연속 뒷걸음… IMF “韓 내년 성장률 3% 밑돌것”

실질	실질/NNG
GNI,	GNI/SL+,/SP
2개분기	2/SN+개/NNB+분기/NNG
연속	연속/NNG
뒷걸음…	뒷걸음/NNG+…/SE
IMF	IMF/SL
“韓	“/SS+韓/SH
내년	내년/NNG
성장률	성장/NNG+률/XSN
3%	3/SN+%/SW
밑돌것”	밑돌/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000049.38.3.1
국민들의 실제 호주머니 사정을 반영하는 실질 국민총소득(GNI)이 2008년 글로벌 금융위기 이후 처음으로 2개 분기 연속 뒷걸음쳤다.

국민들의	국민/NNG+들/XSN+의/JKG
실제	실제/NNG
호주머니	호주머니/NNG
사정을	사정/NNG+을/JKO
반영하는	반영/NNG+하/XSV+는/ETM
실질	실질/NNG
국민총소득(GNI)이	국민/NNG+총소득/NNG+(/SS+GNI/SL+)/SS+이/JKS
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
2개	2/SN+개/NNB
분기	분기/NNG
연속	연속/NNG
뒷걸음쳤다.	뒷걸음치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.38.3.2
올해 3분기(7∼9월) 경제 성장률은 종전 잠정 집계해 발표된 속보치보다 0.1%포인트 떨어진 0.6%에 그쳤다.

올해	올해/NNG
3분기(7∼9월)	3/SN+분기/NNG+(/SS+7/SN+∼/SO+9/SN+월/NNB+)/SS
경제	경제/NNG
성장률은	성장/NNG+률/XSN+은/JX
종전	종전/NNG
잠정	잠정/NNG
집계해	집계/NNG+하/XSV+아/EC
발표된	발표/NNG+되/XSV+ㄴ/ETM
속보치보다	속보/NNG+치/XSN+보다/JKB
0.1%포인트	0/SN+./SP+1/SN+%포인트/NNG
떨어진	떨어지/VV+ㄴ/ETM
0.6%에	0/SN+./SP+6/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.38.3.3
대내외 악재가 산적한 상황에서 저성장 기조가 굳어지고 있는 것이다.

대내외	대내외/NNG
악재가	악재/NNG+가/JKS
산적한	산적/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
저성장	저/XPN+성장/NNG
기조가	기조/NNG+가/JKS
굳어지고	굳어지/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.38.4.1
2일 한국은행에 따르면 3분기 실질 GNI는 전 분기보다 0.4% 감소했다.

2일	2/SN+일/NNB
한국은행에	한국은행/NNP+에/JKB
따르면	따르/VV+면/EC
3분기	3/SN+분기/NNG
실질	실질/NNG
GNI는	GNI/SL+는/JX
전	전/MMD
분기보다	분기/NNG+보다/JKB
0.4%	0/SN+./SP+4/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.38.4.2
올 2분기(―0.4%)에 이어 2개 분기 연속 감소세를 보였다.

올	올/NNG
2분기(―0.4%)에	2/SN+분기/NNG+(/SS+―/SS+0/SN+./SP+4/SN+%/SW+)/SS+에/JKB
이어	잇/VV+어/EC
2개	2/SN+개/NNB
분기	분기/NNG
연속	연속/NNG
감소세를	감소세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.38.4.3
국제유가 상승과 수출 부진으로 교역 조건이 나빠진 결과로 풀이된다.

국제유가	국제/NNG+유가/NNG
상승과	상승/NNG+과/JC
수출	수출/NNG
부진으로	부진/NNG+으로/JKB
교역	교역/NNG
조건이	조건/NNG+이/JKS
나빠진	나빠지/VV+ㄴ/ETM
결과로	결과/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.38.4.4
실질 GNI는 국민이 국내외에서 벌어들인 소득의 총합에 교역 조건 변화를 반영한 것으로 국민의 실질 구매력을 보여준다.

실질	실질/NNG
GNI는	GNI/SL+는/JX
국민이	국민/NNG+이/JKS
국내외에서	국내외/NNG+에서/JKB
벌어들인	벌어들이/VV+ㄴ/ETM
소득의	소득/NNG+의/JKG
총합에	총합/NNG+에/JKB
교역	교역/NNG
조건	조건/NNG
변화를	변화/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
국민의	국민/NNG+의/JKG
구매력을	구매력/NNG+을/JKO
