# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.199
metadata : {}


# id : NWRW1800000024.199.1.1
팔미도, 개방 6개월만에 통제 위기

팔미도,	팔미도/NNP+,/SP
개방	개방/NNG
6개월만에	6/SN+개월/NNB+만/NNB+에/JKB
통제	통제/NNG
위기	위기/NNG


# id : NWRW1800000024.199.2.1
올해 1월 106년 만에 시민들에게 개방된 인천시 앞바다에 있는 팔미도가 6개월 만에 다시 통제될 위기에 놓였다.

올해	올해/NNG
1월	1/SN+월/NNB
106년	106/SN+년/NNB
만에	만/NNB+에/JKB
시민들에게	시민/NNG+들/XSN+에게/JKB
개방된	개방/NNG+되/XSV+ㄴ/ETM
인천시	인천시/NNP
앞바다에	앞바다/NNG+에/JKB
있는	있/VA+는/ETM
팔미도가	팔미도/NNP+가/JKS
6개월	6/SN+개월/NNB
다시	다시/MAG
통제될	통제/NNG+되/XSV+ㄹ/ETM
위기에	위기/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.199.3.1
인천시는 최근 해양항만청, 해양경찰서, 군 관계자 등이 참석한 가운데 열린 팔미도 관련기관 회의에서 군부대 쪽이 ‘무인도서의 보전 및 관리에 관한 법률’을 적용해 팔미도를 ‘준보전 무인 도서’로 지정해 관광객을 통제할 필요가 있다는 의견을 제시했다고 9일 밝혔다.

인천시는	인천시/NNP+는/JX
최근	최근/MAG
해양항만청,	해양/NNG+항만청/NNG+,/SP
해양경찰서,	해양/NNG+경찰서/NNG+,/SP
군	군/NNG
관계자	관계자/NNG
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
팔미도	팔미도/NNP
관련기관	관련/NNG+기관/NNG
회의에서	회의/NNG+에서/JKB
군부대	군부대/NNG
쪽이	쪽/NNB+이/JKS
‘무인도서의	‘/SS+무인/NNG+도서/NNG+의/JKG
보전	보전/NNG
및	및/MAG
관리에	관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’을	법률/NNG+’/SS+을/JKO
적용해	적용/NNG+하/XSV+아/EC
팔미도를	팔미도/NNP+를/JKO
‘준보전	‘/SS+준/XPN+보전/NNG
무인	무인/NNG
도서’로	도서/NNG+’/SS+로/JKB
지정해	지정/NNG+하/XSV+아/EC
관광객을	관광객/NNG+을/JKO
통제할	통제/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
의견을	의견/NNG+을/JKO
제시했다고	제시/NNG+하/XSV+았/EP+다고/EC
9일	9/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.199.4.1
‘무인도서의 보전 및 관리에 관한 법률’에 따르면 ‘준보전 무인도서’는 국토해양부 장관이 자연환경 또는 생태계 보호를 위해 긴급한 조처가 필요하다고 인정되는 경우 준보전 무인도서의 전부나 일부에 대해 일정 기간 출입을 제한할 수 있도록 하고 있다.

‘무인도서의	‘/SS+무인/NNG+도서/NNG+의/JKG
보전	보전/NNG
및	및/MAG
관리에	관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’에	법률/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
‘준보전	‘/SS+준/XPN+보전/NNG
무인도서’는	무인/NNG+도서/NNG+’/SS+는/JX
국토해양부	국토/NNG+해양부/NNG
장관이	장관/NNG+이/JKS
자연환경	자연환경/NNG
또는	또는/MAG
생태계	생태/NNG+계/XSN
