# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.316
metadata : {}


# id : NWRW1800000022.316.1.1
[여성 프로페셔널] 김연희 베인&컴퍼니 대표; "感보다 데이터, 책상보다 현장"

[여성	[/SS+여성/NNG
프로페셔널]	프로페셔널/NNG+]/SS
김연희	김연희/NNP
베인&컴퍼니	베인&컴퍼니/NNP
대표;	대표/NNG+;/SP
"感보다	"/SS+感/SH+보다/JKB
데이터,	데이터/NNG+,/SP
책상보다	책상/NNG+보다/JKB
현장"	현장/NNG+"/SS


# id : NWRW1800000022.316.2.1
최근 17년 동안의 직장 생활 가운데 주중(週中)에는 개인 약속 한번 잡아 본 적이 없어요.

최근	최근/NNG
17년	17/SN+년/NNB
동안의	동안/NNG+의/JKG
직장	직장/NNG
생활	생활/NNG
가운데	가운데/NNG
주중(週中)에는	주중/NNG+(/SS+週中/SH+)/SS+에/JKB+는/JX
개인	개인/NNG
약속	약속/NNG
한번	한번/MAG
잡아	잡/VV+아/EC
본	보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000022.316.2.2
'실패했다'는 말, '이 정도밖에 못하냐'는 말이 가장 듣기 싫었어요.

'실패했다'는	'/SS+실패/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
말,	말/NNG+,/SP
'이	'/SS+이/MMD
정도밖에	정도/NNG+밖에/JX
못하냐'는	못/MAG+하/VV+냐/EF+'/SS+는/ETM
말이	말/NNG+이/JKS
가장	가장/MAG
듣기	듣/VV+기/ETN
싫었어요.	싫/VA+었/EP+어요/EF+./SF


# id : NWRW1800000022.316.2.3
매일매일 '서바이벌 게임'을 치르는 생각으로 살고 있습니다.

매일매일	매일매일/MAG
'서바이벌	'/SS+서바이벌/NNG
게임'을	게임/NNG+'/SS+을/JKO
치르는	치르/VV+는/ETM
생각으로	생각/NNG+으로/JKB
살고	살/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.316.3.1
세계적인 전략컨설팅업체 베인&컴퍼니 한국사무소 김연희(43) 대표는 올 1월 한국 여성 최초로 글로벌 컨설팅 대표 자리에 올랐다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
전략컨설팅업체	전략/NNG+컨설팅/NNG+업체/NNG
베인&컴퍼니	베인&컴퍼니/NNP
한국사무소	한국/NNP+사무소/NNG
김연희(43)	김연희/NNP+(/SS+43/SN+)/SS
대표는	대표/NNG+는/JX
올	올/NNG
1월	1/SN+월/NNB
한국	한국/NNP
여성	여성/NNG
최초로	최초/NNG+로/JKB
글로벌	글로벌/NNG
컨설팅	컨설팅/NNG
대표	대표/NNG
자리에	자리/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.3.2
서울대 경영학과를 졸업하고 그 흔한 외국 유학이나 어학 연수조차 받지 않은 '토종' 컨설턴트로 독보적인 기록이다.

서울대	서울대/NNP
경영학과를	경영학과/NNG+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
그	그/MMD
흔한	흔하/VA+ㄴ/ETM
외국	외국/NNG
유학이나	유학/NNG+이나/JC
어학	어학/NNG
연수조차	연수/NNG+조차/JX
받지	받/VV+지/EC
않은	않/VX+은/ETM
'토종'	'/SS+토종/NNG+'/SS
컨설턴트로	컨설턴트/NNG+로/JKB
독보적인	독보/NNG+적/XSN+이/VCP+ㄴ/ETM
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.316.4.1
김 대표는 앤더슨컨설팅을 거쳐 1992년 '막내' 컨설턴트로 베인에 입사했다.

김	김/NNP
대표는	대표/NNG+는/JX
앤더슨컨설팅을	앤더슨컨설팅/NNP+을/JKO
거쳐	거치/VV+어/EC
1992년	1992/SN+년/NNB
'막내'	'/SS+막내/NNG+'/SS
컨설턴트로	컨설턴트/NNG+로/JKB
베인에	베인/NNP+에/JKB
입사했다.	입사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.4.2
그 후 5번의 초고속 승진을 거쳐 2002년 글로벌 컨설팅사 중 최초로 한국 출신 여성 파트너(부사장급) 자리에 오르고 6년 만에 대표로 승진했다.

그	그/MMD
후	후/NNG
5번의	5/SN+번/NNB+의/JKG
초고속	초/XPN+고속/NNG
승진을	승진/NNG+을/JKO
거쳐	거치/VV+어/EC
2002년	2002/SN+년/NNB
글로벌	글로벌/NNG
컨설팅사	컨설팅사/NNG
중	중/NNB
최초로	최초/NNG+로/JKB
한국	한국/NNP
출신	출신/NNG
여성	여성/NNG
파트너(부사장급)	파트너/NNG+(/SS+부사장급/NNG+)/SS
자리에	자리/NNG+에/JKB
오르고	오르/VV+고/EC
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
대표로	대표/NNG+로/JKB
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.5.1
이처럼 화려한 성공을 쌓은 그는 자신을 어떻게 생각하느냐는 기자의 질문에 대해 '일 중독자'라고 말했다.

이처럼	이/NP+처럼/JKB
화려한	화려하/VA+ㄴ/ETM
성공을	성공/NNG+을/JKO
쌓은	쌓/VV+은/ETM
그는	그/NP+는/JX
자신을	자신/NNG+을/JKO
어떻게	어떻/VA+게/EC
생각하느냐는	생각/NNG+하/XSV+느냐는/ETM
기자의	기자/NNG+의/JKG
질문에	질문/NNG+에/JKB
대해	대하/VV+아/EC
'일	'/SS+일/NNG
중독자'라고	중독자/NNG+'/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.5.2
초년 컨설턴트 시절의 일화이다.

초년	초년/NNG
컨설턴트	컨설턴트/NNG
시절의	시절/NNG+의/JKG
일화이다.	일화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.316.5.3
그는 '제대로 말하는 연습'을 하기 위해 꼬박꼬박 하루 20~30분씩 본인이 말하는 장면을 비디오로 녹화해 분석했다.

