# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.89
metadata : {}


# id : NWRW1800000032.89.1.1
튀니지 이어 이집트·알제리서도 /벼랑끝 몰린 서민들 분신 잇따라

튀니지	튀니지/NNP
이어	잇/VV+어/EC
이집트·알제리서도	이집트/NNP+·/SP+알제리/NNP+서/JKB+도/JX
/벼랑끝	//SP+벼랑/NNG+끝/NNG
몰린	몰리/VV+ㄴ/ETM
서민들	서민/NNG+들/XSN
분신	분신/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000032.89.2.1
실업·물가폭등에 10건 발생

실업·물가폭등에	실업/NNG+·/SP+물가/NNG+폭등/NNG+에/JKB
10건	10/SN+건/NNB
발생	발생/NNG


# id : NWRW1800000032.89.3.1
“독재시대 끝났다” 분석도

“독재시대	“/SS+독재/NNG+시대/NNG
끝났다”	끝나/VV+았/EP+다/EF+”/SS
분석도	분석/NNG+도/JX


# id : NWRW1800000032.89.4.1
청년 노점상의 분신 자살이 기폭제가 돼 튀니지의 민중봉기가 ‘재스민 혁명’으로 성공한 이후 폭압정치와 빈곤에 허덕이는 북아프리카 국가들에서 18일 현재 분신 기도가 10건으로 느는 등 모방 분신이 크게 확산되고 있다.

청년	청년/NNG
노점상의	노점상/NNG+의/JKG
분신	분신/NNG
자살이	자살/NNG+이/JKS
기폭제가	기폭제/NNG+가/JKC
돼	되/VV+어/EC
튀니지의	튀니지/NNP+의/JKG
민중봉기가	민중/NNG+봉기/NNG+가/JKS
‘재스민	‘/SS+재스민/NNG
혁명’으로	혁명/NNG+’/SS+으로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
폭압정치와	폭압/NNG+정치/NNG+와/JC
빈곤에	빈곤/NNG+에/JKB
허덕이는	허덕이/VV+는/ETM
북아프리카	북아프리카/NNP
국가들에서	국가/NNG+들/XSN+에서/JKB
18일	18/SN+일/NNB
현재	현재/MAG
기도가	기도/NNG+가/JKS
10건으로	10/SN+건/NNB+으로/JKB
느는	늘/VV+는/ETM
등	등/NNB
모방	모방/NNG
분신이	분신/NNG+이/JKS
크게	크/VA+게/EC
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.89.5.1
호스니 무바라크 대통령이 29년째 집권하고 있는 이집트에선 18일 두 명의 젊은이가 분신을 기도했다고 <아에프페>통신이 이집트 보안관리를 인용해 보도했다.

호스니	호스니/NNP
무바라크	무바라크/NNP
대통령이	대통령/NNG+이/JKS
29년째	29/SN+년/NNB+째/XSN
집권하고	집권/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
이집트에선	이집트/NNP+에서/JKB+ㄴ/JX
18일	18/SN+일/NNB
두	두/MMN
명의	명/NNB+의/JKG
젊은이가	젊은이/NNG+가/JKS
분신을	분신/NNG+을/JKO
기도했다고	기도/NNG+하/XSV+았/EP+다고/EC
<아에프페>통신이	</SS+아에프페/NNP+>/SS+통신/NNG+이/JKS
이집트	이집트/NNP
보안관리를	보안/NNG+관리/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.89.5.2
이날 오전 정부 청사 외곽에서 한 젊은이가 분신을 기도했다가 약간의 화상을 입고 병원으로 후송됐고, 알렉산드리아에서도 25살의 실업자 젊은이가 분신을 기도해 3도의 중화상을 입었다고 이집트 경찰은 이날 의사당 근처에서 휘발유를 담은 깡통을 숨겨가던 한 젊은이를 체포하기도 했다.

이날	이날/NNG
오전	오전/NNG
정부	정부/NNG
청사	청사/NNG
외곽에서	외곽/NNG+에서/JKB
한	한/MMN
젊은이가	젊은이/NNG+가/JKS
분신을	분신/NNG+을/JKO
기도했다가	기도/NNG+하/XSV+았/EP+다가/EC
약간의	약간/NNG+의/JKG
화상을	화상/NNG+을/JKO
입고	입/VV+고/EC
병원으로	병원/NNG+으로/JKB
후송됐고,	후송/NNG+되/XSV+었/EP+고/EC+,/SP
알렉산드리아에서도	알렉산드리아/NNP+에서/JKB+도/JX
25살의	25/SN+살/NNB+의/JKG
실업자	실업자/NNG
기도해	기도/NNG+하/XSV+아/EC
3도의	3/SN+도/NNB+의/JKG
중화상을	중화상/NNG+을/JKO
입었다고	입/VV+었/EP+다고/EC
이집트	이집트/NNP
경찰은	경찰/NNG+은/JX
의사당	의사당/NNG
근처에서	근처/NNG+에서/JKB
휘발유를	휘발유/NNG+를/JKO
담은	담/VV+은/ETM
깡통을	깡통/NNG+을/JKO
숨겨가던	숨기/VV+어/EC+가/VX+던/ETM
젊은이를	젊은이/NNG+를/JKO
체포하기도	체포/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.89.5.3
전날도 정부 보조금이 지급되는 빵을 되팔 수 없다는 규정에 항의해 한 식당 주인이 의사당 맞은편 붐비는 거리에서 휘발유를 붓고 분신을 기도한 적이 있다.

전날도	전날/NNG+도/JX
정부	정부/NNG
보조금이	보조금/NNG+이/JKS
지급되는	지급/NNG+되/XSV+는/ETM
빵을	빵/NNG+을/JKO
되팔	되팔/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
규정에	규정/NNG+에/JKB
항의해	항의/NNG+하/XSV+아/EC
한	한/MMN
식당	식당/NNG
주인이	주인/NNG+이/JKS
의사당	의사당/NNG
맞은편	맞은편/NNG
붐비는	붐비/VV+는/ETM
거리에서	거리/NNG+에서/JKB
휘발유를	휘발유/NNG+를/JKO
붓고	붓/VV+고/EC
분신을	분신/NNG+을/JKO
기도한	기도/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.89.5.4
이집트는 경제성장이 꾸준하지만 국민 8000만명 중 절반은 아직도 하루 2달러 이하로 살아가고 있다.

이집트는	이집트/NNP+는/JX
경제성장이	경제/NNG+성장/NNG+이/JKS
꾸준하지만	꾸준하/VA+지만/EC
국민	국민/NNG
8000만명	8000/SN+만/NR+명/NNB
중	중/NNB
절반은	절반/NNG+은/JX
아직도	아직/MAG+도/JX
하루	하루/NNG
2달러	2/SN+달러/NNB
이하로	이하/NNG+로/JKB
살아가고	살아가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.89.6.1
분신은 최근 식료품 가격 상승과 높은 실업률에 항의하는 격렬한 반정부 시위가 일어났던 알제리에서 5건으로 가장 많이 벌어지고 있다.

분신은	분신/NNG+은/JX
최근	최근/MAG
식료품	식료품/NNG
가격	가격/NNG
상승과	상승/NNG+과/JC
높은	높/VA+은/ETM
실업률에	실업/NNG+률/XSN+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
격렬한	격렬하/VA+ㄴ/ETM
반정부	반/XPN+정부/NNG
시위가	시위/NNG+가/JKS
일어났던	일어나/VV+았/EP+던/ETM
알제리에서	알제리/NNP+에서/JKB
5건으로	5/SN+건/NNB+으로/JKB
가장	가장/MAG
많이	많이/MAG
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.89.6.2
<아에프페>통신은 튀니지와 접경하고 있는 엘우에드 지역에서 36살의 실업자가 분신을 기도했다고 보도했다.

<아에프페>통신은	</SS+아에프페/NNP+>/SS+통신/NNG+은/JX
튀니지와	튀니지/NNP+와/JKB
접경하고	접경/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
엘우에드	엘우에드/NNP
지역에서	지역/NNG+에서/JKB
36살의	36/SN+살/NNB+의/JKG
실업자가	실업자/NNG+가/JKS
분신을	분신/NNG+을/JKO
기도했다고	기도/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.89.6.3
알제리 현지 신문 <엘 와탄>은 “수십억달러가 개발 프로그램에 투입됐지만 사람들의 일상적 삶에는 아무런 긍정적인 효과도 없었다”며 “사회적 불행의 징후가 온나라에서 나타나고 있다”고 전했다.

알제리	알제리/NNP
현지	현지/NNG
신문	신문/NNG
<엘	</SS+엘/NNP
와탄>은	와탄/NNP+>/SS+은/JX
“수십억달러가	“/SS+수십억/NR+달러/NNB+가/JKS
개발	개발/NNG
프로그램에	프로그램/NNG+에/JKB
투입됐지만	투입/NNG+되/XSV+었/EP+지만/EC
사람들의	사람/NNG+들/XSN+의/JKG
일상적	일상/NNG+적/XSN
삶에는	삶/NNG+에/JKB+는/JX
아무런	아무런/MMD
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
효과도	효과/NNG+도/JX
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“사회적	“/SS+사회/NNG+적/XSN
불행의	불행/NNG+의/JKG
징후가	징후/NNG+가/JKS
온나라에서	온/MMN+나라/NNG+에서/JKB
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.89.7.1
북아프리카 사하라사막 서쪽에 있는 모리타니에서도 사업가로 알려진 43살 남성이 대통령궁 앞에서 차량 문을 잠근 채 불을 질렀으나 숨지지는 않았다.

북아프리카	북아프리카/NNP
사하라사막	사하라사막/NNP
서쪽에	서쪽/NNG+에/JKB
있는	있/VA+는/ETM
모리타니에서도	모리타니/NNP+에서/JKB+도/JX
사업가로	사업가/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
43살	43/SN+살/NNB
남성이	남성/NNG+이/JKS
대통령궁	대통령/NNG+궁/NNG
앞에서	앞/NNG+에서/JKB
차량	차량/NNG
문을	문/NNG+을/JKO
잠근	잠그/VV+ㄴ/ETM
채	채/NNB
불을	불/NNG+을/JKO
질렀으나	지르/VV+었/EP+으나/EC
숨지지는	숨지/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.89.7.2
이 남성은 자신의 부족이 부당한 대우를 받고 있다고 주장했다고 <알자지라>는 전했다.

이	이/MMD
남성은	남성/NNG+은/JX
자신의	자신/NNG+의/JKG
부족이	부족/NNG+이/JKS
부당한	부당/NNG+하/XSA+ㄴ/ETM
대우를	대우/NNG+를/JKO
받고	받/VV+고/EC
있다고	있/VX+다고/EC
주장했다고	주장/NNG+하/XSV+았/EP+다고/EC
<알자지라>는	</SS+알자지라/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.89.7.3
모리타니에서는 군부가 2008년 8월 쿠데타를 일으켜 민주적인 선거로 당선된 대통령을 축출하고 권력을 잡았다.

모리타니에서는	모리타니/NNP+에서/JKB+는/JX
군부가	군부/NNG+가/JKS
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
쿠데타를	쿠데타/NNG+를/JKO
일으켜	일으키/VV+어/EC
민주적인	민주/NNG+적/XSN+이/VCP+ㄴ/ETM
선거로	선거/NNG+로/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
대통령을	대통령/NNG+을/JKO
축출하고	축출/NNG+하/XSV+고/EC
권력을	권력/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.89.8.1
북아프리카에 번지는 분신 정국은 이 지역 사람들이 독재 정권들에 염증을 느끼는데다 최근의 식료품 가격 상승 때문에 삶의 마지노선에 몰리고 있기 때문이라는 분석이 많다.

북아프리카에	북아프리카/NNP+에/JKB
번지는	번지/VV+는/ETM
분신	분신/NNG
정국은	정국/NNG+은/JX
이	이/MMD
지역	지역/NNG
사람들이	사람/NNG+들/XSN+이/JKS
독재	독재/NNG
정권들에	정권/NNG+들/XSN+에/JKB
염증을	염증/NNG+을/JKO
느끼는데다	느끼/VV+는/ETM+데/NNB+다/JX
최근의	최근/NNG+의/JKG
식료품	식료품/NNG
가격	가격/NNG
상승	상승/NNG
때문에	때문/NNB+에/JKB
삶의	삶/NNG+의/JKG
마지노선에	마지노선/NNG+에/JKB
몰리고	몰리/VV+고/EC
있기	있/VX+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.89.8.2
알제리 대학의 정치학 교수인 모하메드 라가브는 <알자지라>에 “튀니지는 모든 아랍 사람들이 따를 모델”이라며 “독재자와 독재 정권의 시대는 끝나고 있다”고 말했다.

알제리	알제리/NNP
대학의	대학/NNG+의/JKG
정치학	정치학/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
모하메드	모하메드/NNP
라가브는	라가브/NNP+는/JX
<알자지라>에	</SS+알자지라/NNP+>/SS+에/JKB
“튀니지는	“/SS+튀니지/NNP+는/JX
모든	모든/MMN
아랍	아랍/NNP
