# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.19
metadata : {}


# id : NWRW1800000037.19.1.1
30대그룹 회사채 29조원… SK, 3조1900억 최다

30대그룹	30/SN+대/NNG+그룹/NNG
회사채	회사채/NNG
29조원…	29/SN+조/NR+원/NNB+…/SE
SK,	SK/SL+,/SP
3조1900억	3/SN+조/NR+1900/SN+억/NR
최다	최다/NNG


# id : NWRW1800000037.19.2.1
전문가 “동양사태로 회사채 발행 힘들듯”

전문가	전문가/NNG
“동양사태로	“/SS+동양/NNP+사태/NNG+로/JKB
회사채	회사채/NNG
발행	발행/NNG
힘들듯”	힘들/VA+ㄹ/ETM+듯/NNB+”/SS


# id : NWRW1800000037.19.3.1
30대 그룹 상장사가 발행한 회사채 가운데 올해 하반기부터 내년 말 사이 만기가 돌아오는 물량이 총 29조 원에 이르는 것으로 조사됐다.

30대	30/SN+대/NNG
그룹	그룹/NNG
상장사가	상장사/NNG+가/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
회사채	회사채/NNG
가운데	가운데/NNG
올해	올해/NNG
하반기부터	하반기/NNG+부터/JX
내년	내년/NNG
말	말/NNB
사이	사이/NNG
만기가	만기/NNG+가/JKS
돌아오는	돌아오/VV+는/ETM
물량이	물량/NNG+이/JKS
총	총/MMA
29조	29/SN+조/NR
원에	원/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.19.4.1
14일 재벌닷컴에 따르면 자산 규모 기준 상위 30대 그룹이 발행한 회사채 발행 규모를 집계한 결과 올해 안에 만기가 돌아오는 회사채는 총 9조7050억 원어치, 내년에 만기인 회사채 규모는 19조2550억 원어치였다.

14일	14/SN+일/NNB
재벌닷컴에	재벌닷컴/NNP+에/JKB
따르면	따르/VV+면/EC
자산	자산/NNG
규모	규모/NNG
기준	기준/NNG
상위	상위/NNG
30대	30/SN+대/NNG
그룹이	그룹/NNG+이/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
회사채	회사채/NNG
발행	발행/NNG
규모를	규모/NNG+를/JKO
집계한	집계/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
올해	올해/NNG
안에	안/NNG+에/JKB
만기가	만기/NNG+가/JKS
돌아오는	돌아오/VV+는/ETM
회사채는	회사채/NNG+는/JX
총	총/MMA
9조7050억	9/SN+조/NR+7050/SN+억/NR
원어치,	원/NNB+어치/XSN+,/SP
내년에	내년/NNG+에/JKB
만기인	만기/NNG+이/VCP+ㄴ/ETM
규모는	규모/NNG+는/JX
19조2550억	19/SN+조/NR+2550/SN+억/NR
원어치였다.	원/NNB+어치/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.19.5.1
내년까지 만기가 돌아오는 회사채를 가장 많이 발행한 기업은 SK(3조1900억 원)였다.

내년까지	내년/NNG+까지/JX
만기가	만기/NNG+가/JKS
돌아오는	돌아오/VV+는/ETM
회사채를	회사채/NNG+를/JKO
가장	가장/MAG
많이	많이/MAG
발행한	발행/NNG+하/XSV+ㄴ/ETM
기업은	기업/NNG+은/JX
SK(3조1900억	SK/SL+(/SS+3/SN+조/NR+1900/SN+억/NR
원)였다.	원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.19.5.2
이어 한진(2조5090억 원), 롯데(2조2106억 원), 현대차(1조8830억 원), 두산(1조7780억 원), STX(1조6700억 원) 등이었다.

이어	이어/MAG
한진(2조5090억	한진/NNP+(/SS+2/SN+조/NR+5090/SN+억/NR
원),	원/NNB+)/SS+,/SP
롯데(2조2106억	롯데/NNP+(/SS+2/SN+조/NR+2106/SN+억/NR
현대차(1조8830억	현대차/NNP+(/SS+1/SN+조/NR+8830/SN+억/NR
두산(1조7780억	두산/NNP+(/SS+1/SN+조/NR+7780/SN+억/NR
STX(1조6700억	STX/SL+(/SS+1/SN+조/NR+6700/SN+억/NR
원)	원/NNB+)/SS
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.19.5.3
이 외에도 삼성, 한진중공업, LG, 동부, 동양, 신세계, 한화 등이 내년까지 1조 원 이상의 회사채를 상환해야 하는 것으로 나타났다.

이	이/NP
외에도	외/NNB+에/JKB+도/JX
삼성,	삼성/NNP+,/SP
한진중공업,	한진중공업/NNP+,/SP
LG,	LG/SL+,/SP
동부,	동부/NNP+,/SP
동양,	동양/NNP+,/SP
신세계,	신세계/NNP+,/SP
한화	한화/NNP
등이	등/NNB+이/JKS
내년까지	내년/NNG+까지/JX
1조	1/SN+조/NR
원	원/NNB
이상의	이상/NNG+의/JKG
회사채를	회사채/NNG+를/JKO
상환해야	상환/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.19.6.1
만기에 상관없이 30대 그룹이 발행한 회사채 규모는 총 80조9400억 원 규모였다.

만기에	만기/NNG+에/JKB
상관없이	상관없이/MAG
30대	30/SN+대/NNG
그룹이	그룹/NNG+이/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
회사채	회사채/NNG
규모는	규모/NNG+는/JX
총	총/MMA
80조9400억	80/SN+조/NR+9400/SN+억/NR
원	원/NNB
규모였다.	규모/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.19.6.2
SK가 11조4100억 원어치를 발행해 가장 많은 회사채를 발행했고 현대차(8조410억 원), 한진(6조6060억 원), 롯데(6조4096억 원), 삼성(6조2990억 원) 순이었다.

SK가	SK/SL+가/JKS
11조4100억	11/SN+조/NR+4100/SN+억/NR
원어치를	원/NNB+어치/XSN+를/JKO
발행해	발행/NNG+하/XSV+아/EC
가장	가장/MAG
많은	많/VA+은/ETM
회사채를	회사채/NNG+를/JKO
발행했고	발행/NNG+하/XSV+았/EP+고/EC
현대차(8조410억	현대차/NNP+(/SS+8/SN+조/NR+410/SN+억/NR
원),	원/NNB+)/SS+,/SP
한진(6조6060억	한진/NNP+(/SS+6/SN+조/NR+6060/SN+억/NR
롯데(6조4096억	롯데/NNP+(/SS+6/SN+조/NR+4096/SN+억/NR
삼성(6조2990억	삼성/NNP+(/SS+6/SN+조/NR+2990/SN+억/NR
원)	원/NNB+)/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.19.6.3
동양그룹의 회사채도 1조4980억 원어치가 포함돼 있었다.

동양그룹의	동양그룹/NNP+의/JKG
회사채도	회사채/NNG+도/JX
1조4980억	1/SN+조/NR+4980/SN+억/NR
원어치가	원/NNB+어치/XSN+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.19.6.4
모두 2015년 전에 만기가 돌아오는 물량이다.

모두	모두/MAG
2015년	2015/SN+년/NNB
전에	전/NNG+에/JKB
만기가	만기/NNG+가/JKS
돌아오는	돌아오/VV+는/ETM
물량이다.	물량/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.19.7.1
전문가들은 STX와 동양그룹 사태 등으로 향후 기업들이 회사채 발행에 어려움을 겪을 것으로 보고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
STX와	STX/SL+와/JC
동양그룹	동양그룹/NNP
사태	사태/NNG
등으로	등/NNB+으로/JKB
향후	향후/NNG
기업들이	기업/NNG+들/XSN+이/JKS
회사채	회사채/NNG
발행에	발행/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪을	겪/VV+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.19.7.2
전효찬 삼성경제연구소 수석연구원은 “신용등급이 높고 재무구조가 튼튼한 기업들도 한동안 회사채를 발행하기가 어려워질 것으로 보인다”고 전망했다.

전효찬	전효찬/NNP
삼성경제연구소	삼성경제연구소/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
“신용등급이	“/SS+신용/NNG+등급/NNG+이/JKS
높고	높/VA+고/EC
재무구조가	재무/NNG+구조/NNG+가/JKS
튼튼한	튼튼하/VA+ㄴ/ETM
기업들도	기업/NNG+들/XSN+도/JX
한동안	한/XPN+동안/NNG
회사채를	회사채/NNG+를/JKO
발행하기가	발행/NNG+하/XSV+기/ETN+가/JKS
어려워질	어렵/VA+어/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


