# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.398
metadata : {}


# id : NWRW1800000040.398.1.1
새누리, 국정원 국정조사 불참 통보

새누리,	새누리/NNP+,/SP
국정원	국정원/NNG
국정조사	국정/NNG+조사/NNG
불참	불참/NNG
통보	통보/NNG


# id : NWRW1800000040.398.2.1
“국정원 기관보고 공개 여부 여야 합의 안됐다” 무기 연기 선언

“국정원	“/SS+국정원/NNG
기관보고	기관/NNG+보고/NNG
공개	공개/NNG
여부	여부/NNG
여야	여야/NNG
합의	합의/NNG
안됐다”	안/MAG+되/XSV+었/EP+다/EF+”/SS
무기	무기/NNG
연기	연기/NNG
선언	선언/NNG


# id : NWRW1800000040.398.3.1
새누리당이 26일 열릴 예정인 ‘국가정보원 댓글 의혹 사건 등의 진상규명을 위한 국정조사특위’(특위)의 국가정보원 기관보고 공개 여부에 대해 여야 합의가 되지 않았다는 이유로 25일 밤 국정원 보고 무기 연기를 선언하며 회의 불참을 통보했다.

새누리당이	새누리당/NNP+이/JKS
26일	26/SN+일/NNB
열릴	열리/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
‘국가정보원	‘/SS+국가/NNG+정보원/NNG
댓글	댓글/NNG
의혹	의혹/NNG
사건	사건/NNG
등의	등/NNB+의/JKG
진상규명을	진상/NNG+규명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국정조사특위’(특위)의	국정/NNG+조사/NNG+특위/NNG+’/SS+(/SS+특위/NNG+)/SS+의/JKG
국가정보원	국가/NNG+정보원/NNG
기관보고	기관/NNG+보고/NNG
공개	공개/NNG
여부에	여부/NNG+에/JKB
대해	대하/VV+아/EC
여야	여야/NNG
합의가	합의/NNG+가/JKC
되지	되/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
25일	25/SN+일/NNB
밤	밤/NNG
국정원	국정원/NNG
보고	보고/NNG
무기	무기/NNG
연기를	연기/NNG+를/JKO
선언하며	선언/NNG+하/XSV+며/EC
회의	회의/NNG
불참을	불참/NNG+을/JKO
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.398.3.2
권성동 새누리당 특위 간사는 경찰청 기관보고가 끝난 직후 브리핑을 열어 “특위에서는 내일(26일) 10시 국정원을 상대해 기관보고를 받을 예정이었지만 회의 공개 여부를 둘러싸고 새누리당은 비공개, 민주당은 공개를 주장하는 바람에 합의에 이르지 못했다.

권성동	권성동/NNP
새누리당	새누리당/NNP
특위	특위/NNG
간사는	간사/NNG+는/JX
경찰청	경찰청/NNG
기관보고가	기관/NNG+보고/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
직후	직후/NNG
브리핑을	브리핑/NNG+을/JKO
열어	열/VV+어/EC
“특위에서는	“/SS+특위/NNG+에서/JKB+는/JX
내일(26일)	내일/NNG+(/SS+26/SN+일/NNB+)/SS
10시	10/SN+시/NNB
국정원을	국정원/NNG+을/JKO
상대해	상대/NNG+하/XSV+아/EC
기관보고를	기관/NNG+보고/NNG+를/JKO
받을	받/VV+을/ETM
예정이었지만	예정/NNG+이/VCP+었/EP+지만/EC
회의	회의/NNG
공개	공개/NNG
여부를	여부/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
새누리당은	새누리당/NNP+은/JX
비공개,	비/XPN+공개/NNG+,/SP
민주당은	민주당/NNP+은/JX
공개를	공개/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
합의에	합의/NNG+에/JKB
이르지	이르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.398.3.3
그런 관계로 새누리당은 내일 기관보고를 무기한 연기하기로 했다”고 밝혔다.

그런	그런/MMD
관계로	관계/NNG+로/JKB
새누리당은	새누리당/NNP+은/JX
내일	내일/NNG
기관보고를	기관/NNG+보고/NNG+를/JKO
무기한	무/XPN+기한/NNG
연기하기로	연기/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.398.3.4
권 간사는 “국정원에 (새누리당의) 불출석을 통보했다”고 설명했다.

권	권/NNP
간사는	간사/NNG+는/JX
“국정원에	“/SS+국정원/NNG+에/JKB
(새누리당의)	(/SS+새누리당/NNP+의/JKG+)/SS
불출석을	불/XPN+출석/NNG+을/JKO
통보했다”고	통보/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.398.3.5
사실상 국정원에 특위 기관보고에 출석하지 말라고 압박한 것이다.

사실상	사실/NNG+상/XSN
국정원에	국정원/NNG+에/JKB
특위	특위/NNG
기관보고에	기관/NNG+보고/NNG+에/JKB
출석하지	출석/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
압박한	압박/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.398.4.1
이에 대해 정청래 민주당 특위 간사는 “내일 국정원 기관보고는 예정대로 실시된다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
정청래	정청래/NNP
민주당	민주당/NNP
특위	특위/NNG
간사는	간사/NNG+는/JX
“내일	“/SS+내일/NNG
국정원	국정원/NNG
기관보고는	기관/NNG+보고/NNG+는/JX
예정대로	예정/NNG+대로/JX
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.398.4.2
다만 새누리당이 불참하는 것”이라고 반박했다.

다만	다만/MAG
새누리당이	새누리당/NNP+이/JKS
불참하는	불참/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.398.4.3
그러나 새누리당이 참석을 거부한데다 남재준 국정원장이 출석하지 않을 가능성이 커 26일 국정원 기관보고는 파행을 겪을 것으로 보인다.

그러나	그러나/MAJ
새누리당이	새누리당/NNP+이/JKS
참석을	참석/NNG+을/JKO
거부한데다	거부/NNG+하/XSV+ㄴ/ETM+데/NNB+다/JX
남재준	남재준/NNP
국정원장이	국정원장/NNG+이/JKS
출석하지	출석/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
26일	26/SN+일/NNB
국정원	국정원/NNG
기관보고는	기관/NNG+보고/NNG+는/JX
파행을	파행/NNG+을/JKO
겪을	겪/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.398.5.1
한편, 이날 경찰청 기관보고는 시작 45분 만에 새누리당 의원들의 집단퇴장으로 파행하는 등 힘겹게 진행됐다.

한편,	한편/MAG+,/SP
이날	이날/NNG
경찰청	경찰청/NNG
기관보고는	기관/NNG+보고/NNG+는/JX
시작	시작/NNG
45분	45/SN+분/NNB
만에	만/NNB+에/JKB
새누리당	새누리당/NNP
의원들의	의원/NNG+들/XSN+의/JKG
집단퇴장으로	집단/NNG+퇴장/NNG+으로/JKB
파행하는	파행/NNG+하/XSV+는/ETM
등	등/NNB
힘겹게	힘겹/VA+게/EC
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.398.5.2
새누리당 의원들은 정청래 민주당 의원이 준비한 지난해 12월16일 대선후보 2차 방송토론회 동영상에서 박근혜 당시 대선후보의 “(국정원 댓글 개입의) 증거가 없다”는 육성이 나오자 “이런 편파적인 진행이 어딨냐”며 전원 퇴장했다.

새누리당	새누리당/NNP
의원들은	의원/NNG+들/XSN+은/JX
정청래	정청래/NNP
민주당	민주당/NNP
의원이	의원/NNG+이/JKS
준비한	준비/NNG+하/XSV+ㄴ/ETM
지난해	지난해/NNG
12월16일	12/SN+월/NNB+16/SN+일/NNB
대선후보	대선/NNG+후보/NNG
2차	2/SN+차/NNB
방송토론회	방송/NNG+토론회/NNG
동영상에서	동영상/NNG+에서/JKB
박근혜	박근혜/NNP
당시	당시/NNG
대선후보의	대선/NNG+후보/NNG+의/JKG
“(국정원	“/SS+(/SS+국정원/NNG
댓글	댓글/NNG
개입의)	개입/NNG+의/JKG+)/SS
증거가	증거/NNG+가/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
육성이	육성/NNG+이/JKS
나오자	나오/VV+자/EC
“이런	“/SS+이런/MMD
편파적인	편파/NNG+적/XSN+이/VCP+ㄴ/ETM
진행이	진행/NNG+이/JKS
어딨냐”며	어디/NP+있/VA+냐/EF+”/SS+며/EC
전원	전원/NNG
퇴장했다.	퇴장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.398.5.3
20분 뒤 다시 국정조사장에 입장한 새누리당 의원들은 이후 “대선 패배를 인정하라”는 등의 발언들을 쏟아내며 국정조사를 대선 승복 논쟁으로 끌어갔다.

20분	20/SN+분/NNB
뒤	뒤/NNG
다시	다시/MAG
국정조사장에	국정/NNG+조사장/NNG+에/JKB
입장한	입장/NNG+하/XSV+ㄴ/ETM
새누리당	새누리당/NNP
의원들은	의원/NNG+들/XSN+은/JX
이후	이후/NNG
“대선	“/SS+대선/NNG
패배를	패배/NNG+를/JKO
인정하라”는	인정/NNG+하/XSV+라/EF+”/SS+는/ETM
등의	등/NNB+의/JKG
발언들을	발언/NNG+들/XSN+을/JKO
쏟아내며	쏟/VV+아/EC+내/VX+며/EC
국정조사를	국정/NNG+조사/NNG+를/JKO
대선	대선/NNG
승복	승복/NNG
논쟁으로	논쟁/NNG+으로/JKB
끌어갔다.	끌어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.398.5.4
앞서 24일 열린 법무부 기관보고에서도 권성동 의원은 “북한의 교묘한 국론 분열에 맞선 사이버 활동이 필요하다.

앞서	앞서/MAG
24일	24/SN+일/NNB
열린	열리/VV+ㄴ/ETM
법무부	법무부/NNG
기관보고에서도	기관/NNG+보고/NNG+에서/JKB+도/JX
권성동	권성동/NNP
의원은	의원/NNG+은/JX
“북한의	“/SS+북한/NNP+의/JKG
교묘한	교묘하/VA+ㄴ/ETM
국론	국론/NNG
분열에	분열/NNG+에/JKB
맞선	맞서/VV+ㄴ/ETM
사이버	사이버/NNG
활동이	활동/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.398.5.5
국정원 직원이라는 걸 눈치채지 못하게 댓글을 다는 것은 장려해야 한다”며 국정원의 불법행위를 사실상 두둔했다.

국정원	국정원/NNG
직원이라는	직원/NNG+이/VCP+라는/ETM
걸	거/NNB+ㄹ/JKO
눈치채지	눈치채/VV+지/EC
못하게	못하/VX+게/EC
댓글을	댓글/NNG+을/JKO
다는	달/VV+는/ETM
것은	것/NNB+은/JX
장려해야	장려/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
국정원의	국정원/NNG+의/JKG
불법행위를	불법/NNG+행위/NNG+를/JKO
사실상	사실/NNG+상/XSN
두둔했다.	두둔/NNG+하/XSV+았/EP+다/EF+./SF


