# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.18
metadata : {}


# id : NWRW1800000028.18.1.1
재개발 상세정보 인터넷서 본다

재개발	재/XPN+개발/NNG
상세정보	상세정보/NNG
인터넷서	인터넷/NNG+서/JKB
본다	보/VV+ㄴ다/EF


# id : NWRW1800000028.18.2.1
서울시내 재개발·재건축조합의 사업 추진 현황 등 정비사업과 관련한 자세한 정보가 인터넷에 공개된다.

서울시내	서울/NNP+시내/NNG
재개발·재건축조합의	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG+조합/NNG+의/JKG
사업	사업/NNG
추진	추진/NNG
현황	현황/NNG
등	등/NNB
정비사업과	정비/NNG+사업/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
자세한	자세하/VA+ㄴ/ETM
정보가	정보/NNG+가/JKS
인터넷에	인터넷/NNG+에/JKB
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.18.2.2
조합원들은 사업 초기에 개략적인 분담금도 알 수 있다.

조합원들은	조합원/NNG+들/XSN+은/JX
사업	사업/NNG
초기에	초기/NNG+에/JKB
개략적인	개략/NNG+적/XSN+이/VCP+ㄴ/ETM
분담금도	분담금/NNG+도/JX
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.18.3.1
서울시는 시민 누구나 조합별 사업 추진 현황과 자금 내역 등 뉴타운·재개발·재건축 전 진행 과정을 인터넷에서 확인할 수 있도록 관련 정보를 망라해 공개하는 ‘클린업 시스템 홈페이지’(cleanup.seoul.go.kr)를 개설했다고 14일 밝혔다.

서울시는	서울시/NNP+는/JX
시민	시민/NNG
누구나	누구/NP+나/JX
조합별	조합/NNG+별/XSN
사업	사업/NNG
추진	추진/NNG
현황과	현황/NNG+과/JC
자금	자금/NNG
내역	내역/NNG
등	등/NNB
뉴타운·재개발·재건축	뉴타운/NNG+·/SP+재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
전	전/MMN
진행	진행/NNG
과정을	과정/NNG+을/JKO
인터넷에서	인터넷/NNG+에서/JKB
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
관련	관련/NNG
정보를	정보/NNG+를/JKO
망라해	망라/NNG+하/XSV+아/EC
공개하는	공개/NNG+하/XSV+는/ETM
‘클린업	‘/SS+클린업/NNG
시스템	시스템/NNG
홈페이지’(cleanup.seoul.go.kr)를	홈페이지/NNG+’/SS+(/SS+cleanup/SL+./SP+seoul/SL+./SP+go/SL+./SP+kr/SL+)/SS+를/JKO
