# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.280
metadata : {}


# id : NWRW1800000041.280.1.1
[오늘과 내일/권순활]정몽구 정몽헌의 운명을 가른 것

[오늘과	[/SS+오늘/NNG+과/JC
내일/권순활]정몽구	내일/NNG+//SP+권순활/NNP+]/SS+정몽구/NNP
정몽헌의	정몽헌/NNP+의/JKG
운명을	운명/NNG+을/JKO
가른	가르/VV+ㄴ/ETM
것	것/NNB


# id : NWRW1800000041.280.2.1
권순활 논설위원공정거래위원회가 이달 초 내놓은 상호출자제한 기업집단 자료를 읽다가 현대자동차와 현대그룹의 현주소에 눈길이 갔다.

권순활	권순활/NNP
논설위원공정거래위원회가	논설위원/NNG+공정/NNG+거래/NNG+위원회/NNG+가/JKS
이달	이달/NNG
초	초/NNB
내놓은	내놓/VV+은/ETM
상호출자제한	상호/NNG+출자/NNG+제한/NNG
기업집단	기업/NNG+집단/NNG
자료를	자료/NNG+를/JKO
읽다가	읽/VV+다가/EC
현대자동차와	현대자동차/NNP+와/JC
현대그룹의	현대그룹/NNP+의/JKG
현주소에	현주소/NNG+에/JKB
눈길이	눈길/NNG+이/JKS
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.280.2.2
자산총액은 현대차그룹이 181조 원, 현대그룹이 14조 원이었다.

자산총액은	자산/NNG+총액/NNG+은/JX
현대차그룹이	현대차그룹/NNP+이/JKS
181조	181/SN+조/NR
원,	원/NNB+,/SP
현대그룹이	현대그룹/NNP+이/JKS
14조	14/SN+조/NR
원이었다.	원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.280.2.3
공기업을 제외한 재계 서열은 현대차가 2위였고 현대는 20위에 그쳤다.

공기업을	공기업/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
재계	재계/NNG
서열은	서열/NNG+은/JX
현대차가	현대차/NNP+가/JKS
2위였고	2/SN+위/NNB+이/VCP+었/EP+고/EC
현대는	현대/NNP+는/JX
20위에	20/SN+위/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.280.3.1
현대차그룹은 2000년 9월 현대그룹에서 계열 분리했다.

현대차그룹은	현대차그룹/NNP+은/JX
2000년	2000/SN+년/NNB
9월	9/SN+월/NNB
현대그룹에서	현대그룹/NNP+에서/JKB
계열	계열/NNG
분리했다.	분리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.280.3.2
정몽구 회장이 현대차 경영을 맡은 지 1년 반, 동생인 정몽헌 회장과의 ‘포스트 정주영 경쟁’에서 고배를 든 지 반 년 뒤였다.

정몽구	정몽구/NNP
회장이	회장/NNG+이/JKS
현대차	현대차/NNP
경영을	경영/NNG+을/JKO
맡은	맡/VV+은/ETM
지	지/NNB
1년	1/SN+년/NNB
반,	반/NNG+,/SP
동생인	동생/NNG+이/VCP+ㄴ/ETM
정몽헌	정몽헌/NNP
회장과의	회장/NNG+과/JKB+의/JKG
‘포스트	‘/SS+포스트/NNG
정주영	정주영/NNP
경쟁’에서	경쟁/NNG+’/SS+에서/JKB
고배를	고배/NNG+를/JKO
든	들/VV+ㄴ/ETM
반	반/NNG
년	년/NNB
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.280.3.3
당시 ‘정몽헌 현대’는 26개 계열사를 거느린 국내 2위의 거대 그룹이었다.

당시	당시/NNG
‘정몽헌	‘/SS+정몽헌/NNP
현대’는	현대/NNP+’/SS+는/JX
26개	26/SN+개/NNB
계열사를	계열사/NNG+를/JKO
거느린	거느리/VV+ㄴ/ETM
국내	국내/NNG
2위의	2/SN+위/NNB+의/JKG
거대	거대/NNG
그룹이었다.	그룹/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.280.3.4
10개 계열사로 출발한 ‘정몽구 현대차’ 서열은 5위였다.

10개	10/SN+개/NNB
계열사로	계열사/NNG+로/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
‘정몽구	‘/SS+정몽구/NNP
현대차’	현대차/NNP+’/SS
서열은	서열/NNG+은/JX
5위였다.	5/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.280.4.1
두 그룹의 명암은 지금 극명하게 바뀌었다.

두	두/MMN
그룹의	그룹/NNG+의/JKG
명암은	명암/NNG+은/JX
지금	지금/MAG
극명하게	극명/NNG+하/XSA+게/EC
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.280.4.2
현대그룹의 양대 축이었던 현대건설과 현대전자는 2000∼2001년 부도 위기에 몰린 뒤 채권단 손에 넘어갔다.

현대그룹의	현대그룹/NNP+의/JKG
양대	양대/MMA
축이었던	축/NNG+이/VCP+었/EP+던/ETM
현대건설과	현대건설/NNP+과/JC
현대전자는	현대전자/NNP+는/JX
2000∼2001년	2000/SN+∼/SO+2001/SN+년/NNB
부도	부도/NNG
위기에	위기/NNG+에/JKB
몰린	몰리/VV+ㄴ/ETM
뒤	뒤/NNG
채권단	채권단/NNG
손에	손/NNG+에/JKB
넘어갔다.	넘어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.280.4.3
정몽헌이 2003년 비극적 최후를 맞은 뒤 부인 현정은 회장이 현대의 경영을 맡았지만 여전히 어렵다.

정몽헌이	정몽헌/NNP+이/JKS
2003년	2003/SN+년/NNB
비극적	비극/NNG+적/XSN
최후를	최후/NNG+를/JKO
맞은	맞/VV+은/ETM
뒤	뒤/NNG
부인	부인/NNG
현정은	현정은/NNP
회장이	회장/NNG+이/JKS
현대의	현대/NNP+의/JKG
경영을	경영/NNG+을/JKO
맡았지만	맡/VV+았/EP+지만/EC
여전히	여전히/MAG
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000041.280.4.4
반면 현대차그룹은 급성장하면서 현대건설을 다시 인수했고 제철사업까지 진출했다.

반면	반면/NNG
현대차그룹은	현대차그룹/NNP+은/JX
급성장하면서	급성장/NNG+하/XSV+면서/EC
현대건설을	현대건설/NNP+을/JKO
다시	다시/MAG
인수했고	인수/NNG+하/XSV+았/EP+고/EC
제철사업까지	제철/NNG+사업/NNG+까지/JX
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.280.4.5
정몽구 정몽헌 형제의 기업 운명을 극적으로 가른 결정적 변수는 무엇일까.

정몽구	정몽구/NNP
정몽헌	정몽헌/NNP
형제의	형제/NNG+의/JKG
기업	기업/NNG
운명을	운명/NNG+을/JKO
극적으로	극/NNG+적/XSN+으로/JKB
가른	가르/VV+ㄴ/ETM
결정적	결정/NNG+적/XSN
변수는	변수/NNG+는/JX
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000041.280.5.1
현대의 자금난이 시장(市場)에 처음 부각된 시점은 제1차 남북 정상회담 직후인 2000년 7, 8월이었다.

현대의	현대/NNG+의/JKG
자금난이	자금난/NNG+이/JKS
시장(市場)에	시장/NNG+(/SS+市場/SH+)/SS+에/JKB
처음	처음/NNG
부각된	부각/NNG+되/XSV+ㄴ/ETM
시점은	시점/NNG+은/JX
제1차	제/XPN+1/SN+차/NNB
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
2000년	2000/SN+년/NNB
7,	7/SN+,/SP
8월이었다.	8/SN+월/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.280.5.2
그때만 해도 현대의 경영난과 김대중-김정일 회담의 연결 고리는 베일에 가려 있었다.

그때만	그때/NNG+만/JX
해도	하/VV+아도/EC
현대의	현대/NNP+의/JKG
경영난과	경영난/NNG+과/JC
김대중-김정일	김대중/NNP+-/SO+김정일/NNP
회담의	회담/NNG+의/JKG
연결	연결/NNG
고리는	고리/NNG+는/JX
베일에	베일/NNG+에/JKB
가려	가리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.280.5.3
그러나 2003년 대북(對北) 불법 송금 특검에서 현대를 위기로 몰아넣은 북한 변수가 수면 위에 떠올랐다.

그러나	그러나/MAJ
2003년	2003/SN+년/NNB
대북(對北)	대북/NNG+(/SS+對北/SH+)/SS
불법	불법/NNG
송금	송금/NNG
특검에서	특검/NNG+에서/JKB
현대를	현대/NNP+를/JKO
위기로	위기/NNG+로/JKB
몰아넣은	몰아넣/VV+은/ETM
북한	북한/NNP
변수가	변수/NNG+가/JKS
수면	수면/NNG
위에	위/NNG+에/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.280.6.1
송두환 특검은 정상회담 성사와 현대의 대북사업 대가로 현금 4억5000만 달러, 현물 5000만 달러 등 5억 달러가 비밀리에 북한에 전달됐다고 밝혔다.

송두환	송두환/NNP
특검은	특검/NNG+은/JX
정상회담	정상/NNG+회담/NNG
성사와	성사/NNG+와/JC
현대의	현대/NNP+의/JKG
대북사업	대북/NNG+사업/NNG
대가로	대가/NNG+로/JKB
현금	현금/NNG
4억5000만	4/SN+억/NR+5000/SN+만/NR
달러,	달러/NNB+,/SP
현물	현물/NNG
5000만	5000/SN+만/NR
달러	달러/NNB
등	등/NNB
5억	5/SN+억/NR
달러가	달러/NNB+가/JKS
비밀리에	비밀/NNG+리/XSN+에/JKB
북한에	북한/NNP+에/JKB
전달됐다고	전달/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.280.6.2
현금 4억5000만 달러는 현대상선 현대건설 현대전자 등 모두 ‘정몽헌 현대’에서 나왔다.

현금	현금/NNG
4억5000만	4/SN+억/NR+5000/SN+만/NR
달러는	달러/NNB+는/JX
현대상선	현대상선/NNP
현대건설	현대건설/NNP
현대전자	현대전자/NNP
등	등/NNB
모두	모두/MAG
‘정몽헌	‘/SS+정몽헌/NNP
현대’에서	현대/NNP+’/SS+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.280.6.3
뒷돈과 별도로 현대가 사업권 명목으로 지불한 돈이 4억8000만 달러, 금강산에 투자했다가 날아간 돈이 2200억 원이다.

뒷돈과	뒷돈/NNG+과/JKB
별도로	별도/NNG+로/JKB
현대가	현대/NNP+가/JKS
사업권	사업/NNG+권/XSN
명목으로	명목/NNG+으로/JKB
지불한	지불/NNG+하/XSV+ㄴ/ETM
돈이	돈/NNG+이/JKS
4억8000만	4/SN+억/NR+8000/SN+만/NR
달러,	달러/NNB+,/SP
금강산에	금강산/NNP+에/JKB
투자했다가	투자/NNG+하/XSV+았/EP+다가/EC
날아간	날아가/VV+ㄴ/ETM
2200억	2200/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.280.6.4
기본적 상(商)도의와 계약 준수 관념도 없는 조폭형 집단에 1조 원 넘는 큰돈이 빠져나갔으니 기업이 성할 리가 없었다.

기본적	기본/NNG+적/XSN
상(商)도의와	상/NNG+(/SS+商/SH+)/SS+도의/NNG+와/JC
계약	계약/NNG
준수	준수/NNG
관념도	관념/NNG+도/JX
없는	없/VA+는/ETM
조폭형	조폭/NNG+형/XSN
집단에	집단/NNG+에/JKB
1조	1/SN+조/NR
원	원/NNB
넘는	넘/VV+는/ETM
큰돈이	큰돈/NNG+이/JKS
빠져나갔으니	빠져나가/VV+았/EP+으니/EC
기업이	기업/NNG+이/JKS
성할	성하/VA+ㄹ/ETM
리가	리/NNB+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.280.7.1
현대가 경제성 없는 대북사업에 알토란같은 거액을 퍼부은 것은 누가 봐도 치명적 오판이었다.

현대가	현대/NNP+가/JKS
경제성	경제/NNG+성/XSN
없는	없/VA+는/ETM
대북사업에	대북/NNG+사업/NNG+에/JKB
알토란같은	알토란/NNG+같/VA+은/ETM
거액을	거액/NNG+을/JKO
퍼부은	퍼붓/VV+은/ETM
것은	것/NNB+은/JX
누가	누구/NP+가/JKS
봐도	보/VV+아도/EC
치명적	치명/NNG+적/XSN
오판이었다.	오판/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.280.7.2
기업과 권력이 유착한 대북 송금은 지금 이 순간도 우리를 위협하는 북한 군비 확충의 군자금 노릇까지 한, 뼈아픈 역사적 과오였다.

기업과	기업/NNG+과/JC
권력이	권력/NNG+이/JKS
유착한	유착/NNG+하/XSV+ㄴ/ETM
대북	대북/NNG
송금은	송금/NNG+은/JX
지금	지금/MAG
이	이/MMD
순간도	순간/NNG+도/JX
우리를	우리/NP+를/JKO
위협하는	위협/NNG+하/XSV+는/ETM
북한	북한/NNP
군비	군비/NNG
확충의	확충/NNG+의/JKG
군자금	군자금/NNG
노릇까지	노릇/NNG+까지/JX
한,	하/VV+ㄴ/ETM+,/SP
뼈아픈	뼈아프/VA+ㄴ/ETM
역사적	역사/NNG+적/XSN
과오였다.	과오/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.280.8.1
정몽구 회장도 정권의 비위를 맞추려고 애썼고 이런저런 편의도 봐주었다.

정몽구	정몽구/NNP
회장도	회장/NNG+도/JX
정권의	정권/NNG+의/JKG
비위를	비위/NNG+를/JKO
맞추려고	맞추/VV+려고/EC
애썼고	애쓰/VV+었/EP+고/EC
이런저런	이런저런/MMD
편의도	편의/NNG+도/JX
