# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.275
metadata : {}


# id : NWRW1800000032.275.1.1
이국철 “검사장급 11명에 구명로비”

이국철	이국철/NNP
“검사장급	“/SS+검사장급/NNG
11명에	11/SN+명/NNB+에/JKB
구명로비”	구명/NNG+로비/NNG+”/SS


# id : NWRW1800000032.275.2.1
비망록 일부 공개…“검찰 고위급 직접 만났다”

비망록	비망록/NNG
일부	일부/NNG
공개…“검찰	공개/NNG+…/SE+“/SS+검찰/NNG
고위급	고위급/NNG
직접	직접/MAG
만났다”	만나/VV+았/EP+다/EF+”/SS


# id : NWRW1800000032.275.3.1
로비시도 대상 7명 늘어…검찰선 “신빙성 의문”

로비시도	로비/NNG+시도/NNG
대상	대상/NNG
7명	7/SN+명/NNB
늘어…검찰선	늘/VV+어/EF+…/SE+검찰/NNG+서/JKB+ㄴ/JX
“신빙성	“/SS+신빙/NNG+성/XSN
의문”	의문/NNG+”/SS


# id : NWRW1800000032.275.4.1
이국철(49·구속) 에스엘에스(SLS)그룹 회장이 자신의 검찰 로비 행태를 정리했다고 주장하는 ‘비망록’ 중 일부가 공개됐다.

이국철(49·구속)	이국철/NNP+(/SS+49/SN+·/SP+구속/NNG+)/SS
에스엘에스(SLS)그룹	에스엘에스/NNP+(/SS+SLS/SL+)/SS+그룹/NNG
회장이	회장/NNG+이/JKS
자신의	자신/NNG+의/JKG
검찰	검찰/NNG
로비	로비/NNG
행태를	행태/NNG+를/JKO
정리했다고	정리/NNG+하/XSV+았/EP+다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
‘비망록’	‘/SS+비망록/NNG+’/SS
중	중/NNB
일부가	일부/NNG+가/JKS
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.275.4.2
이 회장은 이 문건에서 “로비 대상이 된 검찰·법무부의 검사장급 인사는 모두 11명”이라고 주장했다고 <오마이뉴스>가 28일 보도했다.

이	이/MMD
회장은	회장/NNG+은/JX
문건에서	문건/NNG+에서/JKB
“로비	“/SS+로비/NNG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
검찰·법무부의	검찰/NNG+·/SP+법무부/NNG+의/JKG
검사장급	검사장급/NNG
인사는	인사/NNG+는/JX
모두	모두/MAG
11명”이라고	11/SN+명/NNB+”/SS+이라고/JKQ
주장했다고	주장/NNG+하/XSV+았/EP+다고/EC
<오마이뉴스>가	</SS+오마이뉴스/NNP+>/SS+가/JKS
28일	28/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.275.4.3
앞서 이 회장은 신재민 전 문화체육관광부 차관의 소개로 만난 사업가 김아무개씨를 통해 수사 무마 로비를 시도한 검찰 간부가 4명이라고 했는데, 숫자가 더 늘어난 것이다.

앞서	앞서/MAG
이	이/NNP
회장은	회장/NNG+은/JX
신재민	신재민/NNP
전	전/MMD
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
차관의	차관/NNG+의/JKG
소개로	소개/NNG+로/JKB
만난	만나/VV+ㄴ/ETM
사업가	사업가/NNG
김아무개씨를	김/NNP+아무개/NP+씨/NNB+를/JKO
통해	통하/VV+아/EC
수사	수사/NNG
무마	무마/NNG
로비를	로비/NNG+를/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
검찰	검찰/NNG
간부가	간부/NNG+가/JKS
4명이라고	4/SN+명/NNB+이/VCP+라고/EC
했는데,	하/VV+았/EP+는데/EC+,/SP
