# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.366
metadata : {}


# id : NWRW1800000025.366.1.1
“中-개도국 저임금 벨트 무너질라”

“中-개도국	“/SS+中/SH+-/SO+개도국/NNG
저임금	저/XPN+임금/NNG
벨트	벨트/NNG
무너질라”	무너지/VV+ㄹ라/EF+”/SS


# id : NWRW1800000025.366.2.1
한국 의류업체인 영원무역의 방글라데시 공장에서 11일 촉발한 의류부문 노동자들의 소요사태와 관련해 개발도상국에 진출한 다른 한국 기업도 노무 관리에 비상이 걸렸다.

한국	한국/NNP
의류업체인	의류업체/NNG+이/VCP+ㄴ/ETM
영원무역의	영원무역/NNP+의/JKG
방글라데시	방글라데시/NNP
공장에서	공장/NNG+에서/JKB
11일	11/SN+일/NNB
촉발한	촉발/NNG+하/XSV+ㄴ/ETM
의류부문	의류/NNG+부문/NNG
노동자들의	노동자/NNG+들/XSN+의/JKG
소요사태와	소요/NNG+사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
개발도상국에	개발/NNG+도상국/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
기업도	기업/NNG+도/JX
노무	노무/NNG
관리에	관리/NNG+에/JKB
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.366.2.2
일각에서는 국내 기업의 해외 생산기지로 떠오르던 중국-동남아-서남아의 저임금 벨트가 무너지는 것 아니냐는 우려도 나온다.

일각에서는	일각/NNG+에서/JKB+는/JX
국내	국내/NNG
기업의	기업/NNG+의/JKG
해외	해외/NNG
생산기지로	생산/NNG+기지/NNG+로/JKB
떠오르던	떠오르/VV+던/ETM
중국-동남아-서남아의	중국/NNP+-/SO+동남아/NNP+-/SO+서남아/NNP+의/JKG
저임금	저/XPN+임금/NNG
벨트가	벨트/NNG+가/JKS
무너지는	무너지/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.366.2.3
▶본보 13일자 A12면 참조

▶본보	▶/SW+본보/NNG
13일자	13/SN+일/NNB+자/NNG
A12면	A/SL+12/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000025.366.3.1
1980년대 후반부터 인력난과 높은 임금 상승률로 국내 생산 여건이 악화되면서 국내 기업은 저임금 국가로 생산기지를 옮겼다.

1980년대	1980/SN+년대/NNB
후반부터	후반/NNG+부터/JX
인력난과	인력난/NNG+과/JC
높은	높/VA+은/ETM
임금	임금/NNG
상승률로	상승/NNG+률/XSN+로/JKB
국내	국내/NNG
생산	생산/NNG
여건이	여건/NNG+이/JKS
악화되면서	악화/NNG+되/XSV+면서/EC
기업은	기업/NNG+은/JX
저임금	저/XPN+임금/NNG
국가로	국가/NNG+로/JKB
생산기지를	생산/NNG+기지/NNG+를/JKO
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.366.3.2
최근에는 중국마저 임금이 비싸지자 베트남, 인도네시아를 비롯해 방글라데시, 라오스, 미얀마까지 진출 지역을 넓혀가고 있다.

최근에는	최근/NNG+에/JKB+는/JX
중국마저	중국/NNP+마저/JX
임금이	임금/NNG+이/JKS
비싸지자	비싸/VA+아/EC+지/VX+자/EC
베트남,	베트남/NNP+,/SP
인도네시아를	인도네시아/NNP+를/JKO
비롯해	비롯하/VV+아/EC
방글라데시,	방글라데시/NNP+,/SP
라오스,	라오스/NNP+,/SP
미얀마까지	미얀마/NNP+까지/JX
진출	진출/NNG
지역을	지역/NNG+을/JKO
넓혀가고	넓히/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.366.4.1
○ 임금문제 왜 터졌나

○	○/SW
임금문제	임금/NNG+문제/NNG
왜	왜/MAG
터졌나	터지/VV+었/EP+나/EF


# id : NWRW1800000025.366.5.1
방글라데시 사태는 임금 문제가 발단이 됐다.

방글라데시	방글라데시/NNP
사태는	사태/NNG+는/JX
임금	임금/NNG
문제가	문제/NNG+가/JKS
발단이	발단/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.366.5.2
방글라데시 정부는 11월 1일부로 새로운 임금체계를 시행했다.

방글라데시	방글라데시/NNP
정부는	정부/NNG+는/JX
11월	11/SN+월/NNB
1일부로	1/SN+일/NNB+부/XSN+로/JKB
새로운	새롭/VA+ㄴ/ETM
임금체계를	임금/NNG+체계/NNG+를/JKO
시행했다.	시행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.366.5.3
새 임금안은 비숙련 노동자들에게 등급에 따라 매월 39∼109달러(약 4만5000∼12만5000원)의 최저임금을 보장하도록 했다.

새	새/MMA
