# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.48
metadata : {}


# id : NWRW1800000049.48.1.1
‘세번째 대통령’ 꿈 접은 부시家

‘세번째	‘/SS+세/MMN+번/NNB+째/XSN
대통령’	대통령/NNG+’/SS
꿈	꿈/NNG
접은	접/VV+은/ETM
부시家	부시/NNP+家/SH


# id : NWRW1800000049.48.2.1
젭 부시 美대선경선 중도하차

젭	젭/NNP
부시	부시/NNP
美대선경선	美/SH+대선/NNG+경선/NNG
중도하차	중도/NNG+하차/NNG


# id : NWRW1800000049.48.3.1
“대선 캠페인 동안 ‘정치적 바람’에 기울어지지 않고, ‘제자리’에 늘 서 있었습니다.”

“대선	“/SS+대선/NNG
캠페인	캠페인/NNG
동안	동안/NNG
‘정치적	‘/SS+정치/NNG+적/XSN
바람’에	바람/NNG+’/SS+에/JKB
기울어지지	기울어지/VV+지/EC
않고,	않/VX+고/EC+,/SP
‘제자리’에	‘/SS+제자리/NNG+’/SS+에/JKB
늘	늘/MAG
서	서/VV+어/EC
있었습니다.”	있/VX+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000049.48.4.1
젭 부시 전 플로리다 주지사(63)는 20일 공화당 사우스캐롤라이나 프라이머리(예비경선)에서 4위(득표율 7.8%)에 그치자 캠페인 중단을 선언했다.

젭	젭/NNP
부시	부시/NNP
전	전/MMD
플로리다	플로리다/NNP
주지사(63)는	주지사/NNG+(/SS+63/SN+)/SS+는/JX
20일	20/SN+일/NNB
공화당	공화당/NNP
사우스캐롤라이나	사우스캐롤라이나/NNP
프라이머리(예비경선)에서	프라이머리/NNG+(/SS+예비/NNG+경선/NNG+)/SS+에서/JKB
4위(득표율	4/SN+위/NNB+(/SS+득표/NNG+율/XSN
7.8%)에	7/SN+./SP+8/SN+%/SW+)/SS+에/JKB
그치자	그치/VV+자/EC
캠페인	캠페인/NNG
중단을	중단/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.4.2
그의 표정은 실망으로 가득 차 있었다.

그의	그/NP+의/JKG
표정은	표정/NNG+은/JX
실망으로	실망/NNG+으로/JKB
가득	가득/MAG
차	차/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.48.5.1
폭스뉴스는 “6개월 전만 해도 누가 이런 장면을 상상이라도 했을까.

폭스뉴스는	폭스뉴스/NNP+는/JX
“6개월	“/SS+6/SN+개월/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
누가	누구/NP+가/JKS
이런	이런/MMD
장면을	장면/NNG+을/JKO
상상이라도	상상/NNG+이라도/JX
했을까.	하/VV+았/EP+을까/EF+./SF


# id : NWRW1800000049.48.5.2
