# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.168
metadata : {}


# id : NWRW1800000053.168.1.1
‘나홀로 사장’ 15년만에 최대폭 증가

‘나홀로	‘/SS+나/NNG+홀로/MAG
사장’	사장/NNG+’/SS
15년만에	15/SN+년/NNB+만/NNB+에/JKB
최대폭	최대/NNG+폭/NNG
증가	증가/NNG


# id : NWRW1800000053.168.2.1
1년새 13만명 늘어 395만명… 자영업자 절반 月매출 383만원 미만

1년새	1/SN+년/NNB+새/NNG
13만명	13/SN+만/NR+명/NNB
늘어	늘/VV+어/EC
395만명…	395/SN+만/NR+명/NNB+…/SE
자영업자	자영업자/NNG
절반	절반/NNG
月매출	月/SH+매출/NNG
383만원	383/SN+만/NR+원/NNB
미만	미만/NNG


# id : NWRW1800000053.168.3.1
올해 1월 부산 기장군 정관신도시에서 인테리어 가게를 창업한 허모 씨(32)는 ‘나 홀로 사장’이다.

올해	올해/NNG
1월	1/SN+월/NNB
부산	부산/NNP
기장군	기장군/NNP
정관신도시에서	정관신도시/NNP+에서/JKB
인테리어	인테리어/NNG
가게를	가게/NNG+를/JKO
창업한	창업/NNG+하/XSV+ㄴ/ETM
허모	허/NNP+모/NP
씨(32)는	씨/NNB+(/SS+32/SN+)/SS+는/JX
‘나	‘/SS+나/NP
홀로	홀로/MAG
사장’이다.	사장/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000053.168.3.2
허 씨는 전시장에서 손님들을 맞으면서 주문, 배송은 물론이고 블로그도 직접 관리한다.

허	허/NNP
씨는	씨/NNB+는/JX
전시장에서	전시장/NNG+에서/JKB
손님들을	손/NNG+님/XSN+들/XSN+을/JKO
맞으면서	맞/VV+으면서/EC
주문,	주문/NNG+,/SP
배송은	배송/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
블로그도	블로그/NNG+도/JX
직접	직접/MAG
관리한다.	관리/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.168.3.3
매월 임차료로 200만 원씩 나가는 걸 생각하면 도저히 월급을 주면서 종업원을 고용할 엄두가 나지 않았다.

매월	매월/MAG
임차료로	임차료/NNG+로/JKB
200만	200/SN+만/NR
원씩	원/NNB+씩/XSN
나가는	나가/VV+는/ETM
걸	거/NNB+ㄹ/JKO
생각하면	생각/NNG+하/XSV+면/EC
도저히	도저히/MAG
월급을	월급/NNG+을/JKO
주면서	주/VV+면서/EC
종업원을	종업원/NNG+을/JKO
고용할	고용/NNG+하/XSV+ㄹ/ETM
엄두가	엄두/NNG+가/JKS
나지	나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.168.3.4
허 씨는 “주택담보대출까지 끌어 모아 2억 원이나 대출을 받았는데 직원을 채용하면 대출 이자를 내기도 버겁다”고 말했다.

허	허/NNP
씨는	씨/NNB+는/JX
“주택담보대출까지	“/SS+주택/NNG+담보/NNG+대출/NNG+까지/JX
끌어	끌/VV+어/EC
모아	모으/VV+아/EC
2억	2/SN+억/NR
원이나	원/NNB+이나/JX
대출을	대출/NNG+을/JKO
받았는데	받/VV+았/EP+는데/EC
직원을	직원/NNG+을/JKO
채용하면	채용/NNG+하/XSV+면/EC
대출	대출/NNG
이자를	이자/NNG+를/JKO
내기도	내/VV+기/ETN+도/JX
버겁다”고	버겁/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.168.4.1
허 씨처럼 혼자서 사업을 꾸려가는 1인 자영업자가 15년 만에 가장 큰 폭으로 증가한 것으로 나타났다.

허	허/NNP
씨처럼	씨/NNB+처럼/JKB
혼자서	혼자/NNG+서/JKS
사업을	사업/NNG+을/JKO
꾸려가는	꾸리/VV+어/EC+가/VX+는/ETM
1인	1/SN+인/NNG
자영업자가	자영업자/NNG+가/JKS
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.168.4.2
27일 통계청의 2월 취업자 통계를 보면 고용원이 없는 ‘1인 자영업자’ 수는 395만4000명으로 1년 전보다 13만7000명 늘었다.

27일	27/SN+일/NNB
통계청의	통계청/NNG+의/JKG
2월	2/SN+월/NNB
취업자	취업자/NNG
통계를	통계/NNG+를/JKO
보면	보/VV+면/EC
고용원이	고용원/NNG+이/JKS
없는	없/VA+는/ETM
‘1인	‘/SS+1/SN+인/NNG
자영업자’	자영업자/NNG+’/SS
수는	수/NNG+는/JX
395만4000명으로	395/SN+만/NR+4000/SN+명/NNB+으로/JKB
1년	1/SN+년/NNB
전보다	전/NNG+보다/JKB
