# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.23
metadata : {}


# id : NWRW1800000049.23.1.1
‘리우올림픽 양궁 싹쓸이’ 쏜 현대車 기술

‘리우올림픽	‘/SS+리우/NNP+올림픽/NNG
양궁	양궁/NNG
싹쓸이’	싹쓸이/NNG+’/SS
쏜	쏘/VV+ㄴ/ETM
현대車	현대/NNP+車/SH
기술	기술/NNG


# id : NWRW1800000049.23.2.1
정몽구-의선 父子 31년 지원 결실

정몽구-의선	정몽구/NNP+-/SO+의선/NNP
父子	父子/SH
31년	31/SN+년/NNB
지원	지원/NNG
결실	결실/NNG


# id : NWRW1800000049.23.3.1
한국 양궁 선수단이 리우데자네이루 올림픽에서 선전하면서 현대자동차그룹이 함박웃음을 짓고 있다.

한국	한국/NNP
양궁	양궁/NNG
선수단이	선수단/NNG+이/JKS
리우데자네이루	리우데자네이루/NNP
올림픽에서	올림픽/NNG+에서/JKB
선전하면서	선전/NNG+하/XSV+면서/EC
현대자동차그룹이	현대자동차그룹/NNP+이/JKS
함박웃음을	함박웃음/NNG+을/JKO
짓고	짓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.23.3.2
한국 양궁은 이번 올림픽에서 사상 처음으로 남녀 개인·단체전 전 종목 금메달을 석권했다.

한국	한국/NNP
양궁은	양궁/NNG+은/JX
이번	이번/NNG
올림픽에서	올림픽/NNG+에서/JKB
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
남녀	남녀/NNG
개인·단체전	개인/NNG+·/SP+단체전/NNG
전	전/MMN
종목	종목/NNG
금메달을	금메달/NNG+을/JKO
석권했다.	석권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.3.3
이 때문에 31년간 한국 양궁에 전폭적인 지원을 해온 현대차그룹이 주목받고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
31년간	31/SN+년/NNB+간/XSN
한국	한국/NNP
양궁에	양궁/NNG+에/JKB
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
현대차그룹이	현대차그룹/NNP+이/JKS
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.23.3.4
정몽구 현대차그룹 회장은 1985년부터 1997년까지 대한양궁협회장을 지냈고 정의선 부회장은 2005년부터 현재까지 양궁협회장을 맡고 있다.

정몽구	정몽구/NNP
현대차그룹	현대차그룹/NNP
회장은	회장/NNG+은/JX
1985년부터	1985/SN+년/NNB+부터/JX
1997년까지	1997/SN+년/NNB+까지/JX
대한양궁협회장을	대한/NNP+양궁/NNG+협회장/NNG+을/JKO
지냈고	지내/VV+었/EP+고/EC
정의선	정의선/NNP
부회장은	부회장/NNG+은/JX
2005년부터	2005/SN+년/NNB+부터/JX
현재까지	현재/NNG+까지/JX
양궁협회장을	양궁/NNG+협회장/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.23.4.1
○ 자동차 연구개발 기술 끌어다 첨단훈련 지원

○	○/SW
자동차	자동차/NNG
연구개발	연구/NNG+개발/NNG
기술	기술/NNG
끌어다	끌/VV+어다/EC
첨단훈련	첨단/NNG+훈련/NNG
지원	지원/NNG


# id : NWRW1800000049.23.5.1
현대차그룹은 신차 개발에 들어가는 기술을 이용해 양궁 훈련을 지원해 왔다.

현대차그룹은	현대차그룹/NNP+은/JX
신차	신차/NNG
개발에	개발/NNG+에/JKB
들어가는	들어가/VV+는/ETM
기술을	기술/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
양궁	양궁/NNG
훈련을	훈련/NNG+을/JKO
지원해	지원/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.23.5.2
세계 최고 수준의 실력을 갖춘 선수단이 경기 외적인 변수를 최소화할 수 있도록 하기 위한 것이었다.

세계	세계/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
실력을	실력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
선수단이	선수단/NNG+이/JKS
경기	경기/NNG
외적인	외/NNG+적/XSN+이/VCP+ㄴ/ETM
변수를	변수/NNG+를/JKO
최소화할	최소/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.23.5.3
△활 비파괴검사 △맞춤형 그립 제작 △슈팅머신 도입 △뇌파측정 훈련 등이 그 예다.

△활	△/SW+활/NNG
비파괴검사	비/XPN+파괴/NNG+검사/NNG
△맞춤형	△/SW+맞춤/NNG+형/XSN
그립	그립/NNG
