# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.290
metadata : {}


# id : NWRW1800000048.290.1.1
아·태 27개국 YMCA ‘한반도 평화협정 체결’ 캠페인 나선다

아·태	아·태/NNP
27개국	27/SN+개국/NNB
YMCA	YMCA/SL
‘한반도	‘/SS+한반도/NNP
평화협정	평화/NNG+협정/NNG
체결’	체결/NNG+’/SS
캠페인	캠페인/NNG
나선다	나서/VV+ㄴ다/EF


# id : NWRW1800000048.290.2.1
연맹 지도자 390여명 임진각서 결의

연맹	연맹/NNG
지도자	지도자/NNG
390여명	390/SN+여/XSN+명/NNB
임진각서	임진각/NNP+서/JKB
결의	결의/NNG


# id : NWRW1800000048.290.3.1
한국은 물론 아시아 지역에서 최대 규모를 자랑하는 비정부기구(NGO)인 아시아태평양와이엠시에이(YMCA)연맹이 한반도의 평화 정착을 공동과제로 설정하고 ‘평화협정 체결 촉구 캠페인’을 벌이기로 결의했다.

한국은	한국/NNP+은/JX
물론	물론/MAG
아시아	아시아/NNP
지역에서	지역/NNG+에서/JKB
최대	최대/NNG
규모를	규모/NNG+를/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
비정부기구(NGO)인	비/XPN+정부/NNG+기구/NNG+(/SS+NGO/SL+)/SS+이/VCP+ㄴ/ETM
아시아태평양와이엠시에이(YMCA)연맹이	아시아태평양와이엠시에이/NNP+(/SS+YMCA/SL+)/SS+연맹/NNG+이/JKS
한반도의	한반도/NNP+의/JKG
평화	평화/NNG
정착을	정착/NNG+을/JKO
공동과제로	공동/NNG+과제/NNG+로/JKB
설정하고	설정/NNG+하/XSV+고/EC
‘평화협정	‘/SS+평화/NNG+협정/NNG
체결	체결/NNG
촉구	촉구/NNG
캠페인’을	캠페인/NNG+’/SS+을/JKO
벌이기로	벌이/VV+기/ETN+로/JKB
결의했다.	결의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.290.4.1
아태와이엠시에이연맹은 9일 임진각에서 아시아 27개 나라 청년·여성 등 평화운동 지도자 390명이 참여한 가운데 분단 70돌 평화와 통일을 기원하는 예배를 드리고 ‘평화협정 체결 촉구 결의문’을 발표했다.

아태와이엠시에이연맹은	아태와이엠시에이연맹/NNP+은/JX
9일	9/SN+일/NNB
임진각에서	임진각/NNP+에서/JKB
아시아	아시아/NNP
27개	27/SN+개/NNB
나라	나라/NNG
청년·여성	청년/NNG+·/SP+여성/NNG
등	등/NNB
평화운동	평화/NNG+운동/NNG
지도자	지도자/NNG
390명이	390/SN+명/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
분단	분단/NNG
70돌	70/SN+돌/NNB
