# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.376
metadata : {}


# id : NWRW1800000041.376.1.1
[수도권]의정부경전철도 내년부터 환승 할인

[수도권]의정부경전철도	[/SS+수도/NNG+권/XSN+]/SS+의정부경전철/NNP+도/JX
내년부터	내년/NNG+부터/JX
환승	환승/NNG
할인	할인/NNG


# id : NWRW1800000041.376.2.1
지하철-버스로 갈아탈 경우… 현재 2350원서 1300원으로

지하철-버스로	지하철/NNG+-/SO+버스/NNG+로/JKB
갈아탈	갈아타/VV+ㄹ/ETM
경우…	경우/NNG+…/SE
현재	현재/MAG
2350원서	2350/SN+원/NNB+서/JKB
1300원으로	1300/SN+원/NNB+으로/JKB


# id : NWRW1800000041.376.3.1
내년부터 경기 의정부경전철을 타면 통합 환승 할인을 받아 이용객의 요금 부담이 크게 줄어들 것으로 보인다.

내년부터	내년/NNG+부터/JX
경기	경기/NNP
의정부경전철을	의정부경전철/NNP+을/JKO
타면	타/VV+면/EC
통합	통합/NNG
환승	환승/NNG
할인을	할인/NNG+을/JKO
받아	받/VV+아/EC
이용객의	이용객/NNG+의/JKG
요금	요금/NNG
부담이	부담/NNG+이/JKS
크게	크/VA+게/EC
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.376.3.2
‘통합 환승 할인제’는 지하철·버스·경전철 등 대중교통을 이용할 경우 갈아탈 때마다 운임을 내지 않고 갈아타는 교통수단과 환승 횟수에 상관없이 총 이동 거리만큼 운임을 내는 제도.

‘통합	‘/SS+통합/NNG
환승	환승/NNG
할인제’는	할인/NNG+제/XSN+’/SS+는/JX
지하철·버스·경전철	지하철/NNG+·/SP+버스/NNG+·/SP+경전철/NNG
등	등/NNB
대중교통을	대중교통/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
갈아탈	갈아타/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
운임을	운임/NNG+을/JKO
내지	내/VV+지/EC
않고	않/VX+고/EC
갈아타는	갈아타/VV+는/ETM
교통수단과	교통수단/NNG+과/JC
횟수에	횟수/NNG+에/JKB
상관없이	상관없이/MAG
총	총/MMA
이동	이동/NNG
거리만큼	거리/NNG+만큼/JKB
내는	내/VV+는/ETM
제도.	제도/NNG+./SF


# id : NWRW1800000041.376.3.3
교통카드를 이용할 때만 해당된다.

