# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.224
metadata : {}


# id : NWRW1800000049.224.1.1
서울, 부리람 제물로 16강 진출

서울,	서울/NNP+,/SP
부리람	부리람/NNP
제물로	제물/NNG+로/JKB
16강	16/SN+강/NNB
진출	진출/NNG


# id : NWRW1800000049.224.2.1
亞챔스리그 최종전 결과 상관없이 확정 김보경 1골 1도움… 전북도 조 선두로

亞챔스리그	亞/SH+챔스리그/NNG
최종전	최종전/NNG
결과	결과/NNG
상관없이	상관없이/MAG
확정	확정/NNG
김보경	김보경/NNP
1골	1/SN+골/NNG
1도움…	1/SN+도움/NNG+…/SE
전북도	전북도/NNP
조	조/NNG
선두로	선두/NNG+로/JKB


# id : NWRW1800000049.224.3.1
K리그 클래식에서 최근 5연승을 달리면서 선두로 나선 서울이 아시아축구연맹 챔피언스리그(ACL)에서도 무패 행진으로 일찌감치 16강 진출을 확정했다.

K리그	K/SL+리그/NNG
클래식에서	클래식/NNG+에서/JKB
최근	최근/MAG
5연승을	5/SN+연승/NNG+을/JKO
달리면서	달리/VV+면서/EC
선두로	선두/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
서울이	서울/NNP+이/JKS
아시아축구연맹	아시아축구연맹/NNP
챔피언스리그(ACL)에서도	챔피언스리그/NNG+(/SS+ACL/SL+)/SS+에서/JKB+도/JX
무패	무패/NNG
행진으로	행진/NNG+으로/JKB
일찌감치	일찌감치/MAG
16강	16/SN+강/NNB
진출을	진출/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.4.1
서울은 20일 서울월드컵경기장에서 열린 ACL 조별리그 F조 부리람(태국)과의 경기에서 2-1로 승리했다.

서울은	서울/NNP+은/JX
20일	20/SN+일/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
ACL	ACL/SL
조별리그	조별/NNG+리그/NNG
F조	F/SL+조/NNG
부리람(태국)과의	부리람/NNP+(/SS+태국/NNP+)/SS+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
2-1로	2/SN+-/SO+1/SN+로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.4.2
