# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.65
metadata : {}


# id : NWRW1800000041.65.1.1
[단독]학교는커녕 하루 1달러 중노동… 300만 시리아 아동 눈물

[단독]학교는커녕	[/SS+단독/NNG+]/SS+학교/NNG+는커녕/JX
하루	하루/NNG
1달러	1/SN+달러/NNB
중노동…	중노동/NNG+…/SE
300만	300/SN+만/NR
시리아	시리아/NNP
아동	아동/NNG
눈물	눈물/NNG


# id : NWRW1800000041.65.2.1
‘세이브 더 칠드런’ 교육실태 보고서… 학교 3465개 파괴-피란민 거처로 39%는 “공습 트라우마에 악몽”… 난민아동은 차별-폭력 시달려

‘세이브	‘/SS+세이브/NNP
더	더/NNP
칠드런’	칠드런/NNP+’/SS
교육실태	교육/NNG+실태/NNG
보고서…	보고서/NNG+…/SE
학교	학교/NNG
3465개	3465/SN+개/NNB
파괴-피란민	파괴/NNG+-/SO+피란민/NNG
거처로	거처/NNG+로/JKB
39%는	39/SN+%/SW+는/JX
“공습	“/SS+공습/NNG
트라우마에	트라우마/NNG+에/JKB
악몽”…	악몽/NNG+”/SS+…/SE
난민아동은	난민/NNG+아동/NNG+은/JX
차별-폭력	차별/NNG+-/SO+폭력/NNG
시달려	시달리/VV+어/EF


# id : NWRW1800000041.65.3.1
“갑자기 무장한 사람들이 와서 마을을 점령했어요.

“갑자기	“/SS+갑자기/MAG
무장한	무장/NNG+하/XSV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
와서	오/VV+아서/EC
마을을	마을/NNG+을/JKO
점령했어요.	점령/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000041.65.3.2
2주 뒤엔 마을이 밤낮없이 폭격을 당했어요.

2주	2/SN+주/NNB
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
마을이	마을/NNG+이/JKS
밤낮없이	밤낮없이/MAG
폭격을	폭격/NNG+을/JKO
당했어요.	당하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000041.65.3.3
학교 벽이 무너졌고 사람들은 장비와 컴퓨터를 모두 훔쳐갔어요.”(살람·가명·12세)

학교	학교/NNG
벽이	벽/NNG+이/JKS
무너졌고	무너지/VV+었/EP+고/EC
사람들은	사람/NNG+들/XSN+은/JX
장비와	장비/NNG+와/JC
컴퓨터를	컴퓨터/NNG+를/JKO
모두	모두/MAG
훔쳐갔어요.”(살람·가명·12세)	훔치/VV+어/EC+가/VX+았/EP+어요/EF+./SF+”/SS+(/SS+살람/NNP+·/SP+가명/NNG+·/SP+12/SN+세/NNB+)/SS


# id : NWRW1800000041.65.4.1
시리아 어린이들의 눈에 비친 내전의 한 장면이다.

시리아	시리아/NNP
어린이들의	어린이/NNG+들/XSN+의/JKG
눈에	눈/NNG+에/JKB
비친	비치/VV+ㄴ/ETM
내전의	내전/NNG+의/JKG
한	한/MMN
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.65.4.2
국제 아동구호단체인 ‘세이브 더 칠드런’이 시리아 내전이 이 나라 어린이들 교육에 미치는 영향을 분석한 보고서 ‘위협 받는 미래(Futures under threat)’를 21일 냈다.

국제	국제/NNG
아동구호단체인	아동/NNG+구호/NNG+단체/NNG+이/VCP+ㄴ/ETM
‘세이브	‘/SS+세이브/NNP
더	더/NNP
칠드런’이	칠드런/NNP+’/SS+이/JKS
시리아	시리아/NNP
내전이	내전/NNG+이/JKS
이	이/MMD
나라	나라/NNG
어린이들	어린이/NNG+들/XSN
교육에	교육/NNG+에/JKB
미치는	미치/VV+는/ETM
영향을	영향/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
보고서	보고서/NNG
‘위협	‘/SS+위협/NNG
받는	받/VV+는/ETM
미래(Futures	미래/NNG+(/SS+Futures/SL
under	under/SL
threat)’를	threat/SL+)/SS+’/SS+를/JKO
21일	21/SN+일/NNB
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.65.4.3
교육받을 기회를 잃고 생계를 위해 육체노동과 정신적 고통에 시달리는 어린이들의 모습을 생생하게 전한다.

교육받을	교육/NNG+받/XSV+을/ETM
기회를	기회/NNG+를/JKO
잃고	잃/VV+고/EC
생계를	생계/NNG+를/JKO
위해	위하/VV+아/EC
육체노동과	육체노동/NNG+과/JC
정신적	정신/NNG+적/XSN
고통에	고통/NNG+에/JKB
시달리는	시달리/VV+는/ETM
어린이들의	어린이/NNG+들/XSN+의/JKG
모습을	모습/NNG+을/JKO
생생하게	생생하/VA+게/EC
전한다.	전하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.65.5.1
보고서는 “시리아를 탈출한 난민 어린이 150만 명을 포함해 인도적 지원이 필요한 시리아 어린이 550만 명 중 300만 명이 학교를 다니지 못하고 있다”고 밝혔다.

보고서는	보고서/NNG+는/JX
“시리아를	“/SS+시리아/NNP+를/JKO
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
난민	난민/NNG
어린이	어린이/NNG
150만	150/SN+만/NR
명을	명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
인도적	인도/NNG+적/XSN
지원이	지원/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시리아	시리아/NNP
550만	550/SN+만/NR
명	명/NNB
중	중/NNB
300만	300/SN+만/NR
명이	명/NNB+이/JKS
학교를	학교/NNG+를/JKO
다니지	다니/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.65.5.2
분쟁으로 어린이들이 교육을 받지 못하면 이후 사회 재건에도 큰 장애가 돼 악순환이 이어질 수 있다.

분쟁으로	분쟁/NNG+으로/JKB
어린이들이	어린이/NNG+들/XSN+이/JKS
교육을	교육/NNG+을/JKO
받지	받/VV+지/EC
못하면	못하/VX+면/EC
이후	이후/NNG
사회	사회/NNG
재건에도	재건/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
장애가	장애/NNG+가/JKC
돼	되/VV+어/EC
악순환이	악순환/NNG+이/JKS
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.65.5.3
이 단체의 셜리 로 중동·유라시아지역사무소 선임자문관은 “학교를 다니지 못하는 어린이들은 노동과 조혼, 납치 위험에 노출될 가능성이 크다”고 우려했다.

이	이/MMD
단체의	단체/NNG+의/JKG
셜리	셜리/NNP
로	로/NNP
중동·유라시아지역사무소	중동/NNP+·/SP+유라시아/NNP+지역/NNG+사무소/NNG
선임자문관은	선임/NNG+자문관/NNG+은/JX
“학교를	“/SS+학교/NNG+를/JKO
다니지	다니/VV+지/EC
못하는	못하/VX+는/ETM
어린이들은	어린이/NNG+들/XSN+은/JX
노동과	노동/NNG+과/JC
조혼,	조혼/NNG+,/SP
납치	납치/NNG
위험에	위험/NNG+에/JKB
노출될	노출/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.65.6.1
보고서에 따르면 시리아 북부 알레포의 한 학교에선 미술 전시회에 참석한 아동 33명과 학부모 3명이 공습을 받아 숨졌다.

보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
시리아	시리아/NNP
북부	북부/NNG
알레포의	알레포/NNP+의/JKG
한	한/MMN
학교에선	학교/NNG+에서/JKB+ㄴ/JX
미술	미술/NNG
전시회에	전시회/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
아동	아동/NNG
33명과	33/SN+명/NNB+과/JC
학부모	학부모/NNG
3명이	3/SN+명/NNB+이/JKS
공습을	공습/NNG+을/JKO
받아	받/VV+아/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.65.6.2
지금까지 이런 폭격으로 최소 3465개 학교가 일부 또는 전부 파괴됐고 학교 1000여 곳은 피란민용 거처로 쓰인다.

지금까지	지금/NNG+까지/JX
이런	이런/MMD
폭격으로	폭격/NNG+으로/JKB
최소	최소/NNG
3465개	3465/SN+개/NNB
학교가	학교/NNG+가/JKS
일부	일부/NNG
또는	또는/MAG
전부	전부/MAG
파괴됐고	파괴/NNG+되/XSV+었/EP+고/EC
학교	학교/NNG
1000여	1000/SN+여/XSN
곳은	곳/NNG+은/JX
피란민용	피란민/NNG+용/XSN
거처로	거처/NNG+로/JKB
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.65.7.1
이 단체가 아동 347명을 조사한 결과 39%는 주기적으로 악몽을 꾸며 42%는 자주 슬픔을 느낀다고 답했다.

이	이/MMD
단체가	단체/NNG+가/JKS
아동	아동/NNG
347명을	347/SN+명/NNB+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
39%는	39/SN+%/SW+는/JX
주기적으로	주기/NNG+적/XSN+으로/JKB
악몽을	악몽/NNG+을/JKO
꾸며	꾸/VV+며/EC
42%는	42/SN+%/SW+는/JX
자주	자주/MAG
슬픔을	슬픔/NNG+을/JKO
느낀다고	느끼/VV+ㄴ다고/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.65.7.2
다른 조사에선 아동의 절반가량이 ‘거의’ 또는 ‘전혀’ 수업에 집중할 수 없다고 호소했다.

다른	다른/MMD
조사에선	조사/NNG+에서/JKB+ㄴ/JX
아동의	아동/NNG+의/JKG
절반가량이	절반/NNG+가량/XSN+이/JKS
‘거의’	‘/SS+거의/MAG+’/SS
또는	또는/MAG
‘전혀’	‘/SS+전혀/MAG+’/SS
수업에	수업/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.65.8.1
문명사회가 금지한 ‘아동 노동’으로 생계를 이어가는 가정도 속출하고 있다.

문명사회가	문명사회/NNG+가/JKS
금지한	금지/NNG+하/XSV+ㄴ/ETM
‘아동	‘/SS+아동/NNG
노동’으로	노동/NNG+’/SS+으로/JKB
생계를	생계/NNG+를/JKO
이어가는	잇/VV+어/EC+가/VX+는/ETM
가정도	가정/NNG+도/JX
속출하고	속출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.65.8.2
