# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.257
metadata : {}


# id : NWRW1800000033.257.1.1
볼트 ‘올해의 육상선수’ 4번째 수상

볼트	볼트/NNP
‘올해의	‘/SS+올해/NNG+의/JKG
육상선수’	육상/NNG+선수/NNG+’/SS
4번째	4/SN+번/NNB+째/XSN
수상	수상/NNG


# id : NWRW1800000033.257.2.1
여자는 런던 3관왕 펠릭스

여자는	여자/NNG+는/JX
런던	런던/NNP
3관왕	3관왕/NNG
펠릭스	펠릭스/NNP


# id : NWRW1800000033.257.3.1
‘번개’ 우사인 볼트(26·자메이카)가 또 전설을 썼다.

‘번개’	‘/SS+번개/NNG+’/SS
우사인	우사인/NNP
볼트(26·자메이카)가	볼트/NNP+(/SS+26/SN+·/SP+자메이카/NNP+)/SS+가/JKS
또	또/MAG
전설을	전설/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.257.4.1
볼트는 24일(현지 시간) 스페인 바르셀로나에서 열린 국제육상경기연맹(IAAF) 100주년 기념행사에서 올해의 남자 선수에 생애 네 번째 선정되는 영광을 안았다.

볼트는	볼트/NNP+는/JX
24일(현지	24/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
스페인	스페인/NNP
바르셀로나에서	바르셀로나/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제육상경기연맹(IAAF)	국제육상경기연맹/NNP+(/SS+IAAF/SL+)/SS
100주년	100/SN+주년/NNB
기념행사에서	기념행사/NNG+에서/JKB
올해의	올해/NNG+의/JKG
남자	남자/NNG
선수에	선수/NNG+에/JKB
생애	생애/NNG
네	네/MMN
번째	번/NNB+째/XSN
선정되는	선정/NNG+되/XSV+는/ETM
영광을	영광/NNG+을/JKO
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.257.4.2
볼트가 이 상을 받은 것은 2008, 2009, 2011년에 이어 4번째로 역대 최다다.

볼트가	볼트/NNP+가/JKS
이	이/MMD
상을	상/NNG+을/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
2008,	2008/SN+,/SP
2009,	2009/SN+,/SP
2011년에	2011/SN+년/NNB+에/JKB
이어	잇/VV+어/EC
4번째로	4/SN+번/NNB+째/XSN+로/JKB
역대	역대/NNG
최다다.	최다/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.257.4.3
세계육상선수권대회 남자 1500m에서 4연패한 히참 엘구에루즈(모로코)가 2001년부터 2003년까지 3회 연속 수상했다.

세계육상선수권대회	세계/NNG+육상/NNG+선수/NNG+권/XSN+대회/NNG
남자	남자/NNG
1500m에서	1500/SN+m/SW+에서/JKB
4연패한	4/SN+연패/NNG+하/XSV+ㄴ/ETM
히참	히참/NNP
엘구에루즈(모로코)가	엘구에루즈/NNP+(/SS+모로코/NNP+)/SS+가/JKS
2001년부터	2001/SN+년/NNB+부터/JX
2003년까지	2003/SN+년/NNB+까지/JX
3회	3/SN+회/NNB
연속	연속/NNG
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.257.4.4
올림픽 금메달만 9개를 보유한 칼 루이스(미국)나 400m의 전설 마이클 존슨(미국)도 두 번 수상에 그쳤다.

올림픽	올림픽/NNG
금메달만	금메달/NNG+만/JX
9개를	9/SN+개/NNB+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
칼	칼/NNP
루이스(미국)나	루이스/NNP+(/SS+미국/NNP+)/SS+나/JC
400m의	400/SN+m/SW+의/JKG
전설	전설/NNG
마이클	마이클/NNP
존슨(미국)도	존슨/NNP+(/SS+미국/NNP+)/SS+도/JX
두	두/MMN
번	번/NNB
수상에	수상/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.257.5.1
볼트는 2012년 런던 올림픽 육상 남자 100m와 200m, 400m 계주에서 3개의 금메달을 목에 걸어 이미 한 번의 전설을 썼다.

볼트는	볼트/NNP+는/JX
2012년	2012/SN+년/NNB
런던	런던/NNP
올림픽	올림픽/NNG
육상	육상/NNG
남자	남자/NNG
100m와	100/SN+m/SW+와/JKB
200m,	200/SN+m/SW+,/SP
400m	400/SN+m/SW
계주에서	계주/NNG+에서/JKB
3개의	3/SN+개/NNB+의/JKG
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸어	걸/VV+어/EC
이미	이미/MAG
한	한/MMN
번의	번/NNB+의/JKG
전설을	전설/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.257.5.2
2008년 베이징 올림픽에 이어 사상 최초로 육상 단거리 세 종목을 올림픽에서 2회 연속 석권한 것이다.

2008년	2008/SN+년/NNB
베이징	베이징/NNP
올림픽에	올림픽/NNG+에/JKB
이어	잇/VV+어/EC
사상	사상/NNG
