# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.70
metadata : {}


# id : NWRW1800000030.70.1.1
짜장면이라고 말하고 자장면이라고 적는다?

짜장면이라고	짜장면/NNG+이/VCP+라고/EC
말하고	말/NNG+하/XSV+고/EC
자장면이라고	자장면/NNG+이/VCP+라고/EC
적는다?	적/VV+는다/EF+?/SF


# id : NWRW1800000030.70.2.1
•맞춤법 규정 도마 위에… 청문회 같았던 국어정책토론회

•맞춤법	•/SW+맞춤법/NNG
규정	규정/NNG
도마	도마/NNG
위에…	위/NNG+에/JKB+…/SE
청문회	청문회/NNG
같았던	같/VA+았/EP+던/ETM
국어정책토론회	국어/NNG+정책/NNG+토론회/NNG


# id : NWRW1800000030.70.3.1
"표준국어대사전이 있는데 성문 맞춤법 규정이 필요한가요?"(신지영 교수)

"표준국어대사전이	"/SS+표준국어대사전/NNP+이/JKS
있는데	있/VA+는데/EC
성문	성문/NNG
맞춤법	맞춤법/NNG
규정이	규정/NNG+이/JKS
필요한가요?"(신지영	필요/NNG+하/XSA+ㄴ가/EF+요/JX+?/SF+"/SS+(/SS+신지영/NNP
교수)	교수/NNG+)/SS


# id : NWRW1800000030.70.4.1
"맞춤법 규정이 없다면 사전의 권위는 어디에서 나오나요?"(김정남 교수)

"맞춤법	"/SS+맞춤법/NNG
규정이	규정/NNG+이/JKS
없다면	없/VA+다면/EC
사전의	사전/NNG+의/JKG
권위는	권위/NNG+는/JX
어디에서	어디/NP+에서/JKB
나오나요?"(김정남	나오/VV+나/EF+요/JX+?/SF+"/SS+(/SS+김정남/NNP
교수)	교수/NNG+)/SS


# id : NWRW1800000030.70.5.1
21일 목동 방송회관에서 열린 국어정책토론회는 현행 국어맞춤법에 대한 청문회 같았다.

21일	21/SN+일/NNB
목동	목동/NNP
방송회관에서	방송회관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국어정책토론회는	국어/NNG+정책/NNG+토론회/NNG+는/JX
현행	현행/NNG
국어맞춤법에	국어/NNG+맞춤법/NNG+에/JKB
