# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.244
metadata : {}


# id : NWRW1800000046.244.1.1
[만물상] 바가지 스타벅스 커피

[만물상]	[/SS+만물상/NNG+]/SS
바가지	바가지/NNG
스타벅스	스타벅스/NNP
커피	커피/NNG


# id : NWRW1800000046.244.2.1
2007년 미국 시애틀에 갔다가 '커피 마니아'인 아내 손에 이끌려 스타벅스 1호점을 찾아 나섰다.

2007년	2007/SN+년/NNB
미국	미국/NNP
시애틀에	시애틀/NNP+에/JKB
갔다가	가/VV+았/EP+다가/EC
'커피	'/SS+커피/NNG
마니아'인	마니아/NNG+'/SS+이/VCP+ㄴ/ETM
아내	아내/NNG
손에	손/NNG+에/JKB
이끌려	이끌리/VV+어/EC
스타벅스	스타벅스/NNP
1호점을	1/SN+호점/NNB+을/JKO
찾아	찾/VV+아/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.244.2.2
이름난 어시장 파이크 플레이스 마켓 근처라고 해서 복잡한 시장통에서 어떻게 찾나 걱정했다.

이름난	이름나/VV+ㄴ/ETM
어시장	어시장/NNG
파이크	파이크/NNP
플레이스	플레이스/NNP
마켓	마켓/NNP
근처라고	근처/NNG+이/VCP+라고/EC
해서	하/VV+아서/EC
복잡한	복잡하/VA+ㄴ/ETM
시장통에서	시장통/NNG+에서/JKB
어떻게	어떻/VA+게/EC
찾나	찾/VV+나/EC
걱정했다.	걱정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.2.3
하지만 커피점 위치는 물어볼 필요도 없었다.

하지만	하지만/MAJ
커피점	커피점/NNG
위치는	위치/NNG+는/JX
물어볼	물어보/VV+ㄹ/ETM
필요도	필요/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.244.2.4
여행객 차림 손님들이 문밖까지 늘어선 데다 가게 안은 발 디딜 틈 없이 북새통이었다.

여행객	여행객/NNG
차림	차림/NNG
손님들이	손/NNG+님/XSN+들/XSN+이/JKS
문밖까지	문밖/NNG+까지/JX
늘어선	늘어서/VV+ㄴ/ETM
데다	데/NNB+다/JX
가게	가게/NNG
안은	안/NNG+은/JX
발	발/NNG
디딜	디디/VV+ㄹ/ETM
틈	틈/NNG
없이	없이/MAG
북새통이었다.	북새통/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.244.2.5
'스타벅스 문화'의 세례를 받은 사람이 시애틀에 왔다면 꼭 들러야 하는 성지(聖地) 같은 곳이었다.

'스타벅스	'/SS+스타벅스/NNP
문화'의	문화/NNG+'/SS+의/JKG
세례를	세례/NNG+를/JKO
받은	받/VV+은/ETM
사람이	사람/NNG+이/JKS
시애틀에	시애틀/NNP+에/JKB
왔다면	오/VV+았/EP+다면/EC
꼭	꼭/MAG
들러야	들르/VV+어야/EC
하는	하/VX+는/ETM
성지(聖地)	성지/NNG+(/SS+聖地/SH+)/SS
같은	같/VA+은/ETM
곳이었다.	곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.244.3.1
▶스타벅스 1호점이 1971년 문을 열었을 땐 커피 원두를 팔았다.

▶스타벅스	▶/SW+스타벅스/NNP
1호점이	1/SN+호점/NNB+이/JKS
1971년	1971/SN+년/NNB
문을	문/NNG+을/JKO
열었을	열/VV+었/EP+을/ETM
땐	때/NNG+ㄴ/JX
커피	커피/NNG
원두를	원두/NNG+를/JKO
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.3.2
상호는 소설 '모비딕'에 나오는 고래잡이 배의 일등 항해사 스타벅의 이름에서 따왔다.

상호는	상호/NNG+는/JX
소설	소설/NNG
'모비딕'에	'/SS+모비딕/NNP+'/SS+에/JKB
나오는	나오/VV+는/ETM
고래잡이	고래잡이/NNG
배의	배/NNG+의/JKG
일등	일등/NNG
항해사	항해사/NNG
스타벅의	스타벅/NNP+의/JKG
이름에서	이름/NNG+에서/JKB
따왔다.	따오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.3.3
1980년대 미국에선 웬만하면 원두를 사다 집이나 직장에서 커피를 내려 마셨다고 한다.

1980년대	1980/SN+년대/NNB
미국에선	미국/NNP+에서/JKB+ㄴ/JX
웬만하면	웬만하/VA+면/EC
원두를	원두/NNG+를/JKO
사다	사/VV+아다/EC
집이나	집/NNG+이나/JC
직장에서	직장/NNG+에서/JKB
커피를	커피/NNG+를/JKO
내려	내리/VV+어/EC
마셨다고	마시/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.244.3.4
간이식당이나 레스토랑이 만남 장소였고 커피 전문점에서 수다 떠는 문화는 없었다.

간이식당이나	간이식당/NNG+이나/JC
레스토랑이	레스토랑/NNG+이/JKS
만남	만남/NNG
장소였고	장소/NNG+이/VCP+었/EP+고/EC
커피	커피/NNG
전문점에서	전문점/NNG+에서/JKB
수다	수다/NNG
떠는	떨/VV+는/ETM
문화는	문화/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


