# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.382
metadata : {}


# id : NWRW1800000053.382.1.1
“연기금 수혈로 코스닥 활성화” vs “기초체력 없으면 혼란”

“연기금	“/SS+연기금/NNG
수혈로	수혈/NNG+로/JKB
코스닥	코스닥/NNP
활성화”	활성/NNG+화/XSN+”/SS
vs	vs/SL
“기초체력	“/SS+기초/NNG+체력/NNG
없으면	없/VA+으면/EC
혼란”	혼란/NNG+”/SS


# id : NWRW1800000053.382.2.1
정부 ‘연기금 투자 확대’ 실효성 논란

정부	정부/NNG
‘연기금	‘/SS+연기금/NNG
투자	투자/NNG
확대’	확대/NNG+’/SS
실효성	실효/NNG+성/XSN
논란	논란/NNG


# id : NWRW1800000053.382.3.1
정부가 코스닥 시장 활성화를 위해 국민연금 등 국내 연기금의 코스닥 투자를 확대하겠다고 밝히면서 코스닥이 무서운 기세로 상승하고 있다.

정부가	정부/NNG+가/JKS
코스닥	코스닥/NNP
시장	시장/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
국민연금	국민연금/NNG
등	등/NNB
국내	국내/NNG
연기금의	연기금/NNG+의/JKG
투자를	투자/NNG+를/JKO
확대하겠다고	확대/NNG+하/XSV+겠/EP+다고/EC
밝히면서	밝히/VV+면서/EC
코스닥이	코스닥/NNP+이/JKS
무서운	무섭/VA+ㄴ/ETM
기세로	기세/NNG+로/JKB
상승하고	상승/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.382.3.2
하지만 국민연금이 코스닥 시장에 적극적으로 투자하는 것에 대해 부작용을 우려하는 시선도 있다.

하지만	하지만/MAJ
국민연금이	국민연금/NNG+이/JKS
코스닥	코스닥/NNP
시장에	시장/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
투자하는	투자/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
부작용을	부작용/NNG+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
시선도	시선/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.382.4.1
21일 코스닥은 전날보다 0.52% 오른 789.38에 거래를 마쳤다.

21일	21/SN+일/NNB
코스닥은	코스닥/NNP+은/JX
전날보다	전날/NNG+보다/JKB
0.52%	0/SN+./SP+52/SN+%/SW
오른	오르/VV+ㄴ/ETM
789.38에	789/SN+./SP+38/SN+에/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.382.4.2
전날 10년 만에 최고치를 찍은 코스닥은 연일 고점을 높이고 있다.

전날	전날/NNG
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
최고치를	최고/NNG+치/XSN+를/JKO
찍은	찍/VV+은/ETM
코스닥은	코스닥/NNP+은/JX
연일	연일/MAG
고점을	고점/NNG+을/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.382.4.3
코스닥은 추석 연휴가 끝난 지난달 10일 이후 이달 21일까지 20.59%가 상승했다.

코스닥은	코스닥/NNP+은/JX
추석	추석/NNG
연휴가	연휴/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
지난달	지난달/NNG
10일	10/SN+일/NNB
이후	이후/NNG
이달	이달/NNG
21일까지	21/SN+일/NNB+까지/JX
20.59%가	20/SN+./SP+59/SN+%/SW+가/JKS
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.382.5.1
최근 코스닥이 급등한 것은 정부가 코스닥 시장 활성화를 위해 연기금의 투자 참여를 촉구하고 나섰기 때문이다.

최근	최근/NNG
코스닥이	코스닥/NNP+이/JKS
급등한	급등/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
정부가	정부/NNG+가/JKS
코스닥	코스닥/NNP
시장	시장/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
연기금의	연기금/NNG+의/JKG
투자	투자/NNG
참여를	참여/NNG+를/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
나섰기	나서/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.382.5.2
개인 투자자 중심의 코스닥 시장에 기관 자금이 수혈되면 수급이 개선될 것이란 기대가 높아진 것이다.

개인	개인/NNG
투자자	투자자/NNG
중심의	중심/NNG+의/JKG
코스닥	코스닥/NNP
시장에	시장/NNG+에/JKB
기관	기관/NNG
자금이	자금/NNG+이/JKS
수혈되면	수혈/NNG+되/XSV+면/EC
수급이	수급/NNG+이/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
기대가	기대/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.382.5.3
정부는 국민연금의 국내 주식 투자액 중 2.1%에 불과한 코스닥 비중을 점진적으로 늘려 10%까지 끌어올리겠다는 방침이다.

정부는	정부/NNG+는/JX
국민연금의	국민연금/NNG+의/JKG
국내	국내/NNG
주식	주식/NNG
투자액	투자액/NNG
중	중/NNB
2.1%에	2/SN+./SP+1/SN+%/SW+에/JKB
