# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.381
metadata : {}


# id : NWRW1800000028.381.1.1
세상엔 별별 음식자격증이 다 있네!

세상엔	세상/NNG+에/JKB+ㄴ/JX
별별	별별/MMA
음식자격증이	음식/NNG+자격증/NNG+이/JKS
다	다/MAG
있네!	있/VA+네/EF+!/SF


# id : NWRW1800000028.381.2.1
요리 자격증 하면 한식·중식·일식·양식·복어 자격증이 대표적이다.

요리	요리/NNG
자격증	자격증/NNG
하면	하/VV+면/EC
한식·중식·일식·양식·복어	한식/NNG+·/SP+중식/NNG+·/SP+일식/NNG+·/SP+양식/NNG+·/SP+복어/NNG
자격증이	자격증/NNG+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.2.2
한때 탤런트 김호진이 이 5종 자격증에 제과·제빵까지 총 7종의 자격증을 딴 것이 알려지면서 화제가 되기도 했다.

한때	한때/MAG
탤런트	탤런트/NNG
김호진이	김호진/NNP+이/JKS
이	이/MMD
5종	5/SN+종/NNG
자격증에	자격증/NNG+에/JKB
제과·제빵까지	제과/NNG+·/SP+제빵/NNG+까지/JX
총	총/MMA
7종의	7/SN+종/NNG+의/JKG
자격증을	자격증/NNG+을/JKO
딴	따/VV+ㄴ/ETM
것이	것/NNB+이/JKS
알려지면서	알려지/VV+면서/EC
화제가	화제/NNG+가/JKC
되기도	되/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.381.2.3
탤런트 권오중도 한식·양식에 바리스타 자격증을 보유하고 있으며 개그맨 박수홍도 한식조리사 자격증을 가지고 있다.

탤런트	탤런트/NNG
권오중도	권오중/NNP+도/JX
한식·양식에	한식/NNG+·/SP+양식/NNG+에/JKB
바리스타	바리스타/NNG
자격증을	자격증/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
개그맨	개그맨/NNG
박수홍도	박수홍/NNP+도/JX
한식조리사	한식/NNG+조리사/NNG
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.381.2.4
하지만 이들 대표적인 자격증 시장은 이미 포화상태.

하지만	하지만/MAJ
이들	이/NP+들/XSN
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
자격증	자격증/NNG
시장은	시장/NNG+은/JX
이미	이미/MAG
포화상태.	포화/NNG+상태/NNG+./SF


# id : NWRW1800000028.381.2.5
그럼 대중적으로 많이 알려지지 않은 이색적인 요리·음식 자격증·인증서엔 뭐가 있을까?

그럼	그럼/MAJ
대중적으로	대중/NNG+적/XSN+으로/JKB
많이	많이/MAG
알려지지	알려지/VV+지/EC
않은	않/VX+은/ETM
이색적인	이색/NNG+적/XSN+이/VCP+ㄴ/ETM
요리·음식	요리/NNG+·/SP+음식/NNG
자격증·인증서엔	자격증/NNG+·/SP+인증서/NNG+에/JKB+ㄴ/JX
뭐가	뭐/NP+가/JKS
있을까?	있/VA+을까/EF+?/SF


# id : NWRW1800000028.381.3.1
요리치료사 | 장애아 또는 장애는 없지만 너무 산만하거나 우울한 아이들을 ‘요리’를 통해 치료하는 전문가를 위한 자격증이다.

요리치료사	요리/NNG+치료사/NNG
|	|/SW
장애아	장애아/NNG
또는	또는/MAG
장애는	장애/NNG+는/JX
없지만	없/VA+지만/EC
너무	너무/MAG
산만하거나	산만하/VA+거나/EC
우울한	우울/NNG+하/XSA+ㄴ/ETM
아이들을	아이/NNG+들/XSN+을/JKO
‘요리’를	‘/SS+요리/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
치료하는	치료/NNG+하/XSV+는/ETM
전문가를	전문가/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
자격증이다.	자격증/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.2
아이의 성향을 파악한 뒤 알맞은 식재료를 골라 만지고 보고 요리하게 함으로써 아이를 정서적으로 안정되게 바꿔나가는 것을 목적으로 한다.

아이의	아이/NNG+의/JKG
성향을	성향/NNG+을/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
알맞은	알맞/VA+은/ETM
식재료를	식재료/NNG+를/JKO
골라	고르/VV+아/EC
만지고	만지/VV+고/EC
보고	보/VV+고/EC
요리하게	요리/NNG+하/XSV+게/EC
함으로써	하/VX+ㅁ/ETN+으로써/JKB
아이를	아이/NNG+를/JKO
정서적으로	정서/NNG+적/XSN+으로/JKB
안정되게	안정/NNG+되/XSV+게/EC
바꿔나가는	바꾸/VV+어/EC+나가/VX+는/ETM
것을	것/NNB+을/JKO
목적으로	목적/NNG+으로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.3
자격증은 비교적 따기 쉽다.

자격증은	자격증/NNG+은/JX
비교적	비교/NNG+적/XSN
따기	따/VV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000028.381.3.4
한국요리치료협회에서 실시하는 18시간짜리 강의를 들으면 자격증을 준다.

한국요리치료협회에서	한국요리치료협회/NNP+에서/JKB
실시하는	실시/NNG+하/XSV+는/ETM
18시간짜리	18/SN+시간/NNB+짜리/XSN
강의를	강의/NNG+를/JKO
들으면	듣/VV+으면/EC
자격증을	자격증/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.5
수강료는 약 30만원.

수강료는	수강료/NNG+는/JX
약	약/MMA
30만원.	30/SN+만/NR+원/NNB+./SF


# id : NWRW1800000028.381.3.6
자격증이 도입된 지 4년 정도 돼 자격증 보유자는 960명 정도로 추산된다.

자격증이	자격증/NNG+이/JKS
도입된	도입/NNG+되/XSV+ㄴ/ETM
지	지/NNB
4년	4/SN+년/NNB
정도	정도/NNG
돼	되/VV+어/EC
자격증	자격증/NNG
보유자는	보유자/NNG+는/JX
960명	960/SN+명/NNB
정도로	정도/NNG+로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.7
자격증이 있으면 특수학급이나 장애인복지관 쪽으로 취업할 수 있고, 치매나 우울증을 앓는 노인을 상대로도 활동할 수 있다.

자격증이	자격증/NNG+이/JKS
있으면	있/VA+으면/EC
특수학급이나	특수/NNG+학급/NNG+이나/JC
장애인복지관	장애인/NNG+복지관/NNG
쪽으로	쪽/NNB+으로/JKB
취업할	취업/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
치매나	치매/NNG+나/JC
우울증을	우울증/NNG+을/JKO
앓는	앓/VV+는/ETM
노인을	노인/NNG+을/JKO
상대로도	상대/NNG+로/JKB+도/JX
활동할	활동/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.381.3.8
한국요리치료협회 쪽은 “치료라고 하니깐 어렵게들 생각하는데 꼭 취업과 연계하지 않더라도 아이를 둔 엄마라면 배워두면 아이를 키우는 데 도움이 되고, 취업을 생각한다면 노인인구가 급증하고 있어 그쪽으로 활용하면 전망이 밝을 것”이라고 설명했다.

한국요리치료협회	한국요리치료협회/NNP
쪽은	쪽/NNB+은/JX
“치료라고	“/SS+치료/NNG+이/VCP+라고/EC
하니깐	하/VV+니까/EC+ㄴ/JX
어렵게들	어렵/VA+게/EC+들/XSN
생각하는데	생각/NNG+하/XSV+는데/EC
꼭	꼭/MAG
취업과	취업/NNG+과/JKB
연계하지	연계/NNG+하/XSV+지/EC
않더라도	않/VX+더라도/EC
아이를	아이/NNG+를/JKO
둔	두/VV+ㄴ/ETM
엄마라면	엄마/NNG+이/VCP+라면/EC
배워두면	배우/VV+어/EC+두/VX+면/EC
키우는	키우/VV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
취업을	취업/NNG+을/JKO
생각한다면	생각/NNG+하/XSV+ㄴ다면/EC
노인인구가	노인/NNG+인구/NNG+가/JKS
급증하고	급증/NNG+하/XSV+고/EC
있어	있/VX+어/EC
그쪽으로	그쪽/NP+으로/JKB
활용하면	활용/NNG+하/XSV+면/EC
전망이	전망/NNG+이/JKS
밝을	밝/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.381.3.9
(02)332-9163, cafe.naver.com/cooktherapy 아동요리지도사 | 요리치료사가 ‘치료’적 관점으로 접근하는 전문가라면, 아동요리지도사는 ‘놀이’적 관점으로 접근하는 전문가다.

(02)332-9163,	(/SS+02/SN+)/SS+332/SN+-/SO+9163/SN+,/SP
cafe.naver.com/cooktherapy	cafe/SL+./SP+naver/SL+./SP+com/SL+//SP+cooktherapy/SL
아동요리지도사	아동/NNG+요리/NNG+지도사/NNG
|	|/SW
요리치료사가	요리/NNG+치료사/NNG+가/JKS
‘치료’적	‘/SS+치료/NNG+’/SS+적/XSN
관점으로	관점/NNG+으로/JKB
접근하는	접근/NNG+하/XSV+는/ETM
전문가라면,	전문가/NNG+이/VCP+라면/EC+,/SP
아동요리지도사는	아동/NNG+요리/NNG+지도사/NNG+는/JX
‘놀이’적	‘/SS+놀이/NNG+’/SS+적/XSN
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.10
‘요리’라는 놀이를 통해 아이들의 정서적 안정과 창의성·사회성·집중력 등을 키우도록 지도하는 전문가다.

‘요리’라는	‘/SS+요리/NNG+’/SS+이/VCP+라는/ETM
놀이를	놀이/NNG+를/JKO
통해	통하/VV+아/EC
아이들의	아이/NNG+들/XSN+의/JKG
정서적	정서/NNG+적/XSN
안정과	안정/NNG+과/JC
창의성·사회성·집중력	창의/NNG+성/XSN+·/SP+사회/NNG+성/XSN+·/SP+집중력/NNG
등을	등/NNB+을/JKO
키우도록	키우/VV+도록/EC
지도하는	지도/NNG+하/XSV+는/ETM
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.11
한국아동요리지도자협회에서 평일에 오전 10시부터 오후 5시까지 5회 수업을 듣거나, 주말 오전 9시30분부터 오후 6시까지 4회 강의를 들은 뒤 간단한 테스트를 치르면 자격증을 받을 수 있다.

한국아동요리지도자협회에서	한국아동요리지도자협회/NNP+에서/JKB
평일에	평일/NNG+에/JKB
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
오후	오후/NNG
5시까지	5/SN+시/NNB+까지/JX
5회	5/SN+회/NNB
수업을	수업/NNG+을/JKO
듣거나,	듣/VV+거나/EC+,/SP
주말	주말/NNG
9시30분부터	9/SN+시/NNB+30/SN+분/NNB+부터/JX
6시까지	6/SN+시/NNB+까지/JX
