# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.24
metadata : {}


# id : NWRW1800000024.24.1.1
떨고 있는 동네슈퍼

떨고	떨/VV+고/EC
있는	있/VX+는/ETM
동네슈퍼	동네/NNG+슈퍼/NNG


# id : NWRW1800000024.24.2.1
동네 슈퍼마켓들이 지난해 하반기부터 달마다 평균 400곳씩 문을 닫고 있는 가운데, 올해 대기업들이 ‘기업형 슈퍼마켓’(SSM)에 잇따라 진출하겠다고 밝혀 동네 슈퍼마켓의 입지가 더 좁아질 것으로 보인다.

동네	동네/NNG
슈퍼마켓들이	슈퍼마켓/NNG+들/XSN+이/JKS
지난해	지난해/NNG
하반기부터	하반기/NNG+부터/JX
달마다	달/NNG+마다/JX
평균	평균/NNG
400곳씩	400/SN+곳/NNG+씩/XSN
문을	문/NNG+을/JKO
닫고	닫/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
올해	올해/NNG
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
‘기업형	‘/SS+기업/NNG+형/XSN
슈퍼마켓’(SSM)에	슈퍼마켓/NNG+’/SS+(/SS+SSM/SL+)/SS+에/JKB
잇따라	잇따르/VV+아/EC
진출하겠다고	진출/NNG+하/XSV+겠/EP+다고/EC
밝혀	밝히/VV+어/EC
슈퍼마켓의	슈퍼마켓/NNG+의/JKG
입지가	입지/NNG+가/JKS
더	더/MAG
좁아질	좁아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.24.2.2
기업형 슈퍼마켓은 대형마트와 동네 슈퍼마켓의 중간 정도 규모로 아파트 단지 등 주거밀집 지역을 중심으로 생활용품을 판매하는 근린형 생활점포다.

기업형	기업/NNG+형/XSN
슈퍼마켓은	슈퍼마켓/NNG+은/JX
대형마트와	대형/NNG+마트/NNG+와/JC
동네	동네/NNG
슈퍼마켓의	슈퍼마켓/NNG+의/JKG
중간	중간/NNG
