# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.53
metadata : {}


# id : NWRW1800000026.53.1.1
국내에 한그루뿐인 북한産 나무 '풍산가문비'가 죽어간다는데

국내에	국내/NNG+에/JKB
한그루뿐인	한/MMN+그루/NNB+뿐/NNB+이/VCP+ㄴ/ETM
북한産	북한/NNP+産/SH
나무	나무/NNG
'풍산가문비'가	'/SS+풍산가문비/NNG+'/SS+가/JKS
죽어간다는데	죽/VV+어/EC+가/VX+ㄴ다는데/EC


# id : NWRW1800000026.53.2.1
한국에 딱 한 그루 있는 북한산(北韓産) 나무가 고사(枯死)위기에 처해있다.

한국에	한국/NNP+에/JKB
딱	딱/MAG
한	한/MMN
그루	그루/NNB
있는	있/VA+는/ETM
북한산(北韓産)	북한산/NNP+(/SS+北韓産/SH+)/SS
나무가	나무/NNG+가/JKS
고사(枯死)위기에	고사/NNG+(/SS+枯死/SH+)/SS+위기/NNG+에/JKB
처해있다.	처하/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000026.53.2.2
서울 동대문구 국립 산림과학원내 홍릉 수목원은 봄이면 20만여개 꽃과 나무들이 화려한 잔치를 벌이는 곳이다.

서울	서울/NNP
동대문구	동대문구/NNP
국립	국립/NNG
산림과학원내	산림/NNG+과학원/NNG+내/NNB
홍릉	홍릉/NNP
수목원은	수목원/NNG+은/JX
봄이면	봄/NNG+이/VCP+면/EC
20만여개	20/SN+만/NR+여/XSN+개/NNB
꽃과	꽃/NNG+과/JC
나무들이	나무/NNG+들/XSN+이/JKS
화려한	화려하/VA+ㄴ/ETM
잔치를	잔치/NNG+를/JKO
벌이는	벌이/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.53.2.3
이곳 침엽수림에 일제 때 북한 풍산에서 캐 남으로 옮겨심은 나무가 있다.

이곳	이곳/NP
침엽수림에	침엽수림/NNG+에/JKB
일제	일제/NNG
때	때/NNG
북한	북한/NNP
풍산에서	풍산/NNP+에서/JKB
캐	캐/VV+어/EC
남으로	남/NNG+으로/JKB
옮겨심은	옮기/VV+어/EC+심/VV+은/ETM
나무가	나무/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.53.2.4
바로 북한산 '풍산가문비나무'<사진>다.

바로	바로/MAG
북한산	북한산/NNP
'풍산가문비나무'<사진>다.	'/SS+풍산가문비/NNG+나무/NNG+'/SS+</SS+사진/NNG+>/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.53.2.5
희귀성 때문에 그간 홍릉수목원 대표 나무로 손꼽혀왔다.

희귀성	희귀/NNG+성/XSN
때문에	때문/NNB+에/JKB
그간	그/NP+간/XSN
홍릉수목원	홍릉수목원/NNP
대표	대표/NNG
나무로	나무/NNG+로/JKB
손꼽혀왔다.	손꼽히/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.53.2.6
그런 나무가 시름시름 앓고 있다.

그런	그런/MMD
나무가	나무/NNG+가/JKS
시름시름	시름시름/MAG
앓고	앓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.53.3.1
밑동의 가지는 말라 비틀어졌고 윗부분의 가지 서너 개만 살아있다.

밑동의	밑동/NNG+의/JKG
가지는	가지/NNG+는/JX
