# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.13
metadata : {}


# id : NWRW1800000036.13.1.1
‘보그’ 담뱃값 인상 1년만에 원위치

‘보그’	‘/SS+보그/NNP+’/SS
담뱃값	담뱃값/NNG
인상	인상/NNG
1년만에	1/SN+년/NNB+만/NNB+에/JKB
원위치	원위치/NNG


# id : NWRW1800000036.13.2.1
[한겨레] BAT코리아의 굴욕

[한겨레]	[/SS+한겨레/NNP+]/SS
BAT코리아의	BAT/SL+코리아/NNP+의/JKG
굴욕	굴욕/NNG


# id : NWRW1800000036.13.3.1
판매 크게 줄자 가격 낮춰…던힐 등 주력제품은 그대로

판매	판매/NNG
크게	크/VA+게/EC
줄자	줄/VV+자/EC
가격	가격/NNG
낮춰…던힐	낮추/VV+어/EC+…/SE+던힐/NNG
등	등/NNB
주력제품은	주력/NNG+제품/NNG+은/JX
그대로	그대로/MAG


# id : NWRW1800000036.13.4.1
지난해 원자재값 상승을 이유로 담배값을 올렸던 비에이티(BAT) 코리아가 일부 제품 가격을 다시 원래대로 내리기로 했다.

지난해	지난해/NNG
원자재값	원자재/NNG+값/NNG
상승을	상승/NNG+을/JKO
이유로	이유/NNG+로/JKB
담배값을	담배/NNG+값/NNG+을/JKO
올렸던	올리/VV+었/EP+던/ETM
비에이티(BAT)	비에이티/NNP+(/SS+BAT/SL+)/SS
코리아가	코리아/NNP+가/JKS
일부	일부/NNG
제품	제품/NNG
가격을	가격/NNG+을/JKO
다시	다시/MAG
원래대로	원래/NNG+대로/JX
내리기로	내리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.4.2
판매 부진을 만회하기 위한 것이다.

판매	판매/NNG
부진을	부진/NNG+을/JKO
만회하기	만회/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.13.4.3
제조사의 일방적인 가격 인상이 소비자의 외면으로 철회된 것이어서 관심이 쏠리고 있다.

제조사의	제조사/NNG+의/JKG
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
가격	가격/NNG
인상이	인상/NNG+이/JKS
소비자의	소비자/NNG+의/JKG
외면으로	외면/NNG+으로/JKB
철회된	철회/NNG+되/XSV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.13.5.1
7일 외국계 담배회사인 비에이티 코리아는 지난해 값을 200원 올렸던 ‘보그’의 가격을 오는 12일부터 인상 이전 수준인 2500원으로 인하하기로 했다.

7일	7/SN+일/NNB
외국계	외국/NNG+계/XSN
담배회사인	담배/NNG+회사/NNG+이/VCP+ㄴ/ETM
비에이티	비에이티/NNP
코리아는	코리아/NNP+는/JX
지난해	지난해/NNG
값을	값/NNG+을/JKO
200원	200/SN+원/NNB
올렸던	올리/VV+었/EP+던/ETM
‘보그’의	‘/SS+보그/NNP+’/SS+의/JKG
가격을	가격/NNG+을/JKO
오는	오/VV+는/ETM
12일부터	12/SN+일/NNB+부터/JX
인상	인상/NNG
이전	이전/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
2500원으로	2500/SN+원/NNB+으로/JKB
인하하기로	인하/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.5.2
예성희 비에이티 코리아 홍보부장은 “에쎄 등 타사의 얇은 담배가 2500원대여서, 이들과 경쟁하기 위해 다시 2500원으로 돌아간다”고 말했다.

예성희	예성희/NNP
비에이티	비에이티/NNP
코리아	코리아/NNP
홍보부장은	홍보부장/NNG+은/JX
“에쎄	“/SS+에쎄/NNG
등	등/NNB
타사의	타사/NNG+의/JKG
얇은	얇/VA+은/ETM
담배가	담배/NNG+가/JKS
2500원대여서,	2500/SN+원/NNB+대/XSN+이/VCP+어서/EC+,/SP
이들과	이/NP+들/XSN+과/JKB
경쟁하기	경쟁/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
다시	다시/MAG
2500원으로	2500/SN+원/NNB+으로/JKB
돌아간다”고	돌아가/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.6.1
비에이티 코리아는 지난해 4월 말 던힐·켄트·보그 등 자사 주력 제품의 가격을 갑당 200원씩 인상한 바 있다.

비에이티	비에이티/NNP
코리아는	코리아/NNP+는/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
말	말/NNB
던힐·켄트·보그	던힐/NNP+·/SP+켄트/NNP+·/SP+보그/NNP
등	등/NNB
자사	자사/NNG
주력	주력/NNG
제품의	제품/NNG+의/JKG
가격을	가격/NNG+을/JKO
갑당	갑/NNG+당/XSN
200원씩	200/SN+원/NNB+씩/XSN
인상한	인상/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.13.6.2
