# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.202
metadata : {}


# id : NWRW1800000052.202.1.1
‘특검 무산’ 세월호 특조위, 3개월 활동연장

‘특검	‘/SS+특검/NNG
무산’	무산/NNG+’/SS
세월호	세월호/NNP
특조위,	특조위/NNG+,/SP
3개월	3/SN+개월/NNB
활동연장	활동/NNG+연장/NNG


# id : NWRW1800000052.202.2.1
이달말 예정 2차 청문회 증인

이달말	이달/NNG+말/NNB
예정	예정/NNG
2차	2/SN+차/NNB
청문회	청문회/NNG
증인	증인/NNG


# id : NWRW1800000052.202.3.1
진도·제주 VTS 관계자 등 포함

진도·제주	진도/NNP+·/SP+제주/NNP
VTS	VTS/SL
관계자	관계자/NNG
등	등/NNB
포함	포함/NNG


# id : NWRW1800000052.202.4.1
4·16 세월호 참사 특별조사위원회(특조위)가 국회에 요청한 특별검사 임명 요청안이 새누리당의 외면 속에 사실상 무산된 가운데 특조위가 활동기간을 3개월 연장하기로 결정했다.

4·16	4/SN+·/SP+16/SN
세월호	세월호/NNP
참사	참사/NNG
특별조사위원회(특조위)가	특별/NNG+조사/NNG+위원회/NNG+(/SS+특조위/NNG+)/SS+가/JKS
국회에	국회/NNG+에/JKB
요청한	요청/NNG+하/XSV+ㄴ/ETM
특별검사	특별/NNG+검사/NNG
임명	임명/NNG
요청안이	요청안/NNG+이/JKS
새누리당의	새누리당/NNP+의/JKG
외면	외면/NNG
속에	속/NNG+에/JKB
사실상	사실상/MAG
무산된	무산/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
특조위가	특조위/NNG+가/JKS
활동기간을	활동/NNG+기간/NNG+을/JKO
3개월	3/SN+개월/NNB
연장하기로	연장/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.202.4.2
세월호 참사 유가족들은 특조위가 국회에 낸 특별검사 임명 요청안 통과를 요구하며 단식을 시작했다.

세월호	세월호/NNP
참사	참사/NNG
유가족들은	유가족/NNG+들/XSN+은/JX
특조위가	특조위/NNG+가/JKS
국회에	국회/NNG+에/JKB
낸	내/VV+ㄴ/ETM
특별검사	특별/NNG+검사/NNG
임명	임명/NNG
요청안	요청안/NNG
통과를	통과/NNG+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
단식을	단식/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.202.5.1
