# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.251
metadata : {}


# id : NWRW1800000021.251.1.1
새 방통심의위원에 이진강씨… 오늘 위원장 선출될듯

새	새/MMA
방통심의위원에	방통/NNG+심의/NNG+위원/NNG+에/JKB
이진강씨…	이진강/NNP+씨/NNB+…/SE
오늘	오늘/NNG
위원장	위원장/NNG
선출될듯	선출/NNG+되/XSV+ㄹ/ETM+듯/NNB


# id : NWRW1800000021.251.2.1
이명박 대통령은 6일 오후 박명진 방송통신심의위원장의 사표를 수리하고 후임 방통심의위원에 이진강 전 대한변호사협회 회장(66)을 지명했다고 이동관 청와대 대변인이 밝혔다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
6일	6/SN+일/NNB
오후	오후/NNG
박명진	박명진/NNP
방송통신심의위원장의	방송/NNG+통신/NNG+심의/NNG+위원장/NNG+의/JKG
사표를	사표/NNG+를/JKO
수리하고	수리/NNG+하/XSV+고/EC
후임	후임/NNG
방통심의위원에	방통/NNG+심의/NNG+위원/NNG+에/JKB
이진강	이진강/NNP
전	전/MMD
대한변호사협회	대한변호사협회/NNP
회장(66)을	회장/NNG+(/SS+66/SN+)/SS+을/JKO
지명했다고	지명/NNG+하/XSV+았/EP+다고/EC
이동관	이동관/NNP
청와대	청와대/NNP
대변인이	대변인/NNG+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.251.2.2
이 전 회장은 7일 열리는 방통심의위 전체회의에서 위원장에 선출될 것으로 알려졌다.

이	이/NNP
전	전/MMD
회장은	회장/NNG+은/JX
7일	7/SN+일/NNB
열리는	열리/VV+는/ETM
방통심의위	방통심의위/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
위원장에	위원장/NNG+에/JKB
선출될	선출/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.251.2.3
방통심의위원장은 호선으로 선출된다.

방통심의위원장은	방통/NNG+심의/NNG+위원장/NNG+은/JX
호선으로	호선/NNG+으로/JKB
선출된다.	선출/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.251.3.1
이 전 회장은 경기 포천 출신으로 고려대 법대를 나와 사법시험 5회에 합격한 뒤 수원지검 성남지청장 등을 지냈다.

이	이/NNP
전	전/MMD
회장은	회장/NNG+은/JX
경기	경기/NNP
포천	포천/NNP
출신으로	출신/NNG+으로/JKB
고려대	고려대/NNP
법대를	법대/NNG+를/JKO
나와	나오/VV+아/EC
사법시험	사법/NNG+시험/NNG
5회에	5/SN+회/NNB+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수원지검	수원지검/NNP
성남지청장	성남/NNP+지청장/NNG
등을	등/NNB+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.251.3.2
현재 통일부 통일고문, 국가보훈처 6·25전쟁 60주년 기념사업위원회 위원을 맡고 있다.

현재	현재/MAG
통일부	통일부/NNG
통일고문,	통일/NNG+고문/NNG+,/SP
국가보훈처	국가/NNG+보훈처/NNG
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
60주년	60/SN+주년/NNB
기념사업위원회	기념사업/NNG+위원회/NNG
위원을	위원/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


