# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.311
metadata : {}


# id : NWRW1800000029.311.1.1
[기자의 눈] 의사에게 유독 약한 경찰… 왜일까?

[기자의	[/SS+기자/NNG+의/JKG
눈]	눈/NNG+]/SS
의사에게	의사/NNG+에게/JKB
유독	유독/MAG
약한	약하/VA+ㄴ/ETM
경찰…	경찰/NNG+…/SE
왜일까?	왜/MAG+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000029.311.2.1
13일 오후 울산지방경찰청 수사2계 사무실.

13일	13/SN+일/NNB
오후	오후/NNG
울산지방경찰청	울산지방경찰청/NNP
수사2계	수사/NNG+2/SN+계/NNG
사무실.	사무실/NNG+./SF


# id : NWRW1800000029.311.2.2
‘제약사 리베이트’를 수수한 혐의를 받고 있는 의사 200여 명을 수사하는 곳이다.

‘제약사	‘/SS+제약사/NNG
리베이트’를	리베이트/NNG+’/SS+를/JKO
수수한	수수/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
의사	의사/NNG
200여	200/SN+여/XSN
명을	명/NNB+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.311.2.3
하지만 피의자 조사용 접이식 철제 의자들은 벽 쪽으로 세워진 채 조사를 받는 의사는 아무도 없었다.

하지만	하지만/MAJ
피의자	피의자/NNG
조사용	조사/NNG+용/XSN
접이식	접이식/NNG
철제	철제/NNG
의자들은	의자/NNG+들/XSN+은/JX
벽	벽/NNG
쪽으로	쪽/NNB+으로/JKB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
채	채/NNB
조사를	조사/NNG+를/JKO
받는	받/VV+는/ETM
의사는	의사/NNG+는/JX
아무도	아무/NP+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.311.2.4
마치 수사가 끝난 듯한 한산한 분위기였다.

마치	마치/MAG
수사가	수사/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
한산한	한산하/VA+ㄴ/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.311.3.1
불과 일주일 전만 해도 경찰은 자못 비장했다.

불과	불과/MAG
일주일	일주일/NNG
전만	전/NNG+만/JX
해도	하/VV+아도/EC
경찰은	경찰/NNG+은/JX
자못	자못/MAG
비장했다.	비장하/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.311.3.2
7일 오전 10시 울산지방경찰청 프레스센터에서 열린 브리핑에서 서상완 수사2계장(경정)은 제약사에서 총 6100만 원의 리베이트를 받은 혐의(뇌물수수)로 공중보건의 3명을 입건한 수사 결과와 함께 전국의 의사 1000여 명이 국내외 15개 제약사에서 리베이트를 받은 사실도 발표했다.

7일	7/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
울산지방경찰청	울산지방경찰청/NNP
프레스센터에서	프레스센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
브리핑에서	브리핑/NNG+에서/JKB
서상완	서상완/NNP
수사2계장(경정)은	수사/NNG+2/SN+계장/NNG+(/SS+경정/NNG+)/SS+은/JX
제약사에서	제약사/NNG+에서/JKB
총	총/MMA
6100만	6100/SN+만/NR
원의	원/NNB+의/JKG
리베이트를	리베이트/NNG+를/JKO
받은	받/VV+은/ETM
혐의(뇌물수수)로	혐의/NNG+(/SS+뇌물/NNG+수수/NNG+)/SS+로/JKB
공중보건의	공중/NNG+보건의/NNG
3명을	3/SN+명/NNB+을/JKO
입건한	입건/NNG+하/XSV+ㄴ/ETM
수사	수사/NNG
결과와	결과/NNG+와/JKB
함께	함께/MAG
전국의	전국/NNG+의/JKG
의사	의사/NNG
1000여	1000/SN+여/XSN
명이	명/NNB+이/JKS
국내외	국내외/NNG
15개	15/SN+개/NNB
사실도	사실/NNG+도/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.311.3.3
그러면서 “공무원 신분인 공중보건의와 국립병원 의사에게는 뇌물수수 혐의를, 종합병원 전문의에게는 배임수재 혐의를 적용해 처벌하겠다”며 강한 수사 의지를 드러냈다.

그러면서	그러/VV+면서/EC
“공무원	“/SS+공무원/NNG
신분인	신분/NNG+이/VCP+ㄴ/ETM
공중보건의와	공중/NNG+보건의/NNG+와/JC
국립병원	국립/NNG+병원/NNG
의사에게는	의사/NNG+에게/JKB+는/JX
뇌물수수	뇌물/NNG+수수/NNG
혐의를,	혐의/NNG+를/JKO+,/SP
종합병원	종합/NNG+병원/NNG
전문의에게는	전문의/NNG+에게/JKB+는/JX
배임수재	배임/NNG+수재/NNG
혐의를	혐의/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
처벌하겠다”며	처벌/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
강한	강하/VA+ㄴ/ETM
수사	수사/NNG
의지를	의지/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.311.3.4
리베이트 흐름도와 입출금 내용도 취재진에 공개했다.

리베이트	리베이트/NNG
흐름도와	흐름도/NNG+와/JC
입출금	입출금/NNG
내용도	내용/NNG+도/JX
취재진에	취재진/NNG+에/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.311.3.5
이 사건은 지난해 11월부터 리베이트 적발 시 의사와 제약업체 양쪽 모두 처벌하는 ‘리베이트 쌍벌제’가 시행에 들어간 이후 첫 수사여서 전국의 이목을 끌었다.

이	이/MMD
사건은	사건/NNG+은/JX
지난해	지난해/NNG
11월부터	11/SN+월/NNB+부터/JX
리베이트	리베이트/NNG
적발	적발/NNG
시	시/NNB
의사와	의사/NNG+와/JC
제약업체	제약업체/NNG
양쪽	양쪽/NNG
모두	모두/MAG
처벌하는	처벌/NNG+하/XSV+는/ETM
‘리베이트	‘/SS+리베이트/NNG
쌍벌제’가	쌍벌/NNG+제/XSN+’/SS+가/JKS
시행에	시행/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
이후	이후/NNG
첫	첫/MMN
수사여서	수사/NNG+이/VCP+어서/EC
전국의	전국/NNG+의/JKG
이목을	이목/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.311.4.1
그러나 경찰의 강력한 수사 의지는 바람 빠지는 풍선처럼 날이 갈수록 쪼그라들었다.

그러나	그러나/MAJ
경찰의	경찰/NNG+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
수사	수사/NNG
의지는	의지/NNG+는/JX
바람	바람/NNG
빠지는	빠지/VV+는/ETM
풍선처럼	풍선/NNG+처럼/JKB
날이	날/NNG+이/JKS
갈수록	가/VV+ㄹ수록/EC
쪼그라들었다.	쪼그라들/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.311.4.2
수사 방법도 특혜 논란이 일 정도로 의구심을 불러일으켰다.

수사	수사/NNG
방법도	방법/NNG+도/JX
특혜	특혜/NNG
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
의구심을	의구심/NNG+을/JKO
불러일으켰다.	불러일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.311.4.3
경찰은 소환 통보를 한 의사들이 수술과 학회 참석 등을 이유로 출석을 미루자 e메일로 조사했다.

